CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
Berlin,52.52,13.405,19790101,1200,2 metre temperature,2t,6.8024,52.5,13.5,259.6212158203
Berlin,52.52,13.405,19790102,1200,2 metre temperature,2t,6.8024,52.5,13.5,265.2944335938
Berlin,52.52,13.405,19790103,1200,2 metre temperature,2t,6.8024,52.5,13.5,266.2353515625
Berlin,52.52,13.405,19790104,1200,2 metre temperature,2t,6.8024,52.5,13.5,265.9340820313
Berlin,52.52,13.405,19790105,1200,2 metre temperature,2t,6.8024,52.5,13.5,264.2189941406
Berlin,52.52,13.405,19790106,1200,2 metre temperature,2t,6.8024,52.5,13.5,262.287109375
Berlin,52.52,13.405,19790107,1200,2 metre temperature,2t,6.8024,52.5,13.5,267.0393066406
Berlin,52.52,13.405,19790108,1200,2 metre temperature,2t,6.8024,52.5,13.5,273.6342773438
Berlin,52.52,13.405,19790109,1200,2 metre temperature,2t,6.8024,52.5,13.5,273.2824707031
Berlin,52.52,13.405,19790110,1200,2 metre temperature,2t,6.8024,52.5,13.5,274.0759277344
Berlin,52.52,13.405,19790111,1200,2 metre temperature,2t,6.8024,52.5,13.5,273.8156738281
Berlin,52.52,13.405,19790112,1200,2 metre temperature,2t,6.8024,52.5,13.5,272.9184570313
Berlin,52.52,13.405,19790113,1200,2 metre temperature,2t,6.8024,52.5,13.5,271.751953125
Berlin,52.52,13.405,19790114,1200,2 metre temperature,2t,6.8024,52.5,13.5,272.16796875
Berlin,52.52,13.405,19790115,1200,2 metre temperature,2t,6.8024,52.5,13.5,271.3630371094
Berlin,52.52,13.405,19790116,1200,2 metre temperature,2t,6.8024,52.5,13.5,272.6791992188
Berlin,52.52,13.405,19790117,1200,2 metre temperature,2t,6.8024,52.5,13.5,271.015625
Berlin,52.52,13.405,19790118,1200,2 metre temperature,2t,6.8024,52.5,13.5,268.5991210938
Berlin,52.52,13.405,19790119,1200,2 metre temperature,2t,6.8024,52.5,13.5,269.4759521484
Berlin,52.52,13.405,19790120,1200,2 metre temperature,2t,6.8024,52.5,13.5,267.802734375
Berlin,52.52,13.405,19790121,1200,2 metre temperature,2t,6.8024,52.5,13.5,264.7265625
Berlin,52.52,13.405,19790122,1200,2 metre temperature,2t,6.8024,52.5,13.5,266.3210449219
Berlin,52.52,13.405,19790123,1200,2 metre temperature,2t,6.8024,52.5,13.5,269.5671386719
Berlin,52.52,13.405,19790124,1200,2 metre temperature,2t,6.8024,52.5,13.5,272.33984375
Berlin,52.52,13.405,19790125,1200,2 metre temperature,2t,6.8024,52.5,13.5,273.4086914063
Berlin,52.52,13.405,19790126,1200,2 metre temperature,2t,6.8024,52.5,13.5,272.0944824219
Berlin,52.52,13.405,19790127,1200,2 metre temperature,2t,6.8024,52.5,13.5,273.5534667969
