,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
16,Algiers,36.7538,3.0588,19790101,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.96600341796875
38,Algiers,36.7538,3.0588,19790102,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.1459503173828
60,Algiers,36.7538,3.0588,19790103,1200,2 metre temperature,2t,5.2486,36.75,3.0,282.6627502441406
82,Algiers,36.7538,3.0588,19790104,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.63397216796875
104,Algiers,36.7538,3.0588,19790105,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.9124450683594
126,Algiers,36.7538,3.0588,19790106,1200,2 metre temperature,2t,5.2486,36.75,3.0,289.4658966064453
148,Algiers,36.7538,3.0588,19790107,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.220947265625
170,Algiers,36.7538,3.0588,19790108,1200,2 metre temperature,2t,5.2486,36.75,3.0,289.839111328125
192,Algiers,36.7538,3.0588,19790109,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.31298828125
214,Algiers,36.7538,3.0588,19790110,1200,2 metre temperature,2t,5.2486,36.75,3.0,286.15087890625
236,Algiers,36.7538,3.0588,19790111,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.6411437988281
258,Algiers,36.7538,3.0588,19790112,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.559814453125
280,Algiers,36.7538,3.0588,19790113,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.005615234375
302,Algiers,36.7538,3.0588,19790114,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.10009765625
324,Algiers,36.7538,3.0588,19790115,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.9317932128906
346,Algiers,36.7538,3.0588,19790116,1200,2 metre temperature,2t,5.2486,36.75,3.0,282.989990234375
368,Algiers,36.7538,3.0588,19790117,1200,2 metre temperature,2t,5.2486,36.75,3.0,284.948486328125
390,Algiers,36.7538,3.0588,19790118,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.7587890625
412,Algiers,36.7538,3.0588,19790119,1200,2 metre temperature,2t,5.2486,36.75,3.0,289.84228515625
434,Algiers,36.7538,3.0588,19790120,1200,2 metre temperature,2t,5.2486,36.75,3.0,289.3212890625
456,Algiers,36.7538,3.0588,19790121,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.14483642578125
478,Algiers,36.7538,3.0588,19790122,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.25830078125
500,Algiers,36.7538,3.0588,19790123,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.25340270996094
522,Algiers,36.7538,3.0588,19790124,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.82188415527344
544,Algiers,36.7538,3.0588,19790125,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.12754821777344
566,Algiers,36.7538,3.0588,19790126,1200,2 metre temperature,2t,5.2486,36.75,3.0,288.51719665527344
588,Algiers,36.7538,3.0588,19790127,1200,2 metre temperature,2t,5.2486,36.75,3.0,291.1016082763672
610,Algiers,36.7538,3.0588,19790128,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.69419860839844
632,Algiers,36.7538,3.0588,19790129,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.4422912597656
654,Algiers,36.7538,3.0588,19790130,1200,2 metre temperature,2t,5.2486,36.75,3.0,285.5743103027344
676,Algiers,36.7538,3.0588,19790131,1200,2 metre temperature,2t,5.2486,36.75,3.0,284.75294494628906
698,Algiers,36.7538,3.0588,19790201,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.44232177734375
720,Algiers,36.7538,3.0588,19790202,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.09228515625
742,Algiers,36.7538,3.0588,19790203,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.5634765625
764,Algiers,36.7538,3.0588,19790204,1200,2 metre temperature,2t,5.2486,36.75,3.0,287.7596130371094
786,Algiers,36.7538,3.0588,19790205,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.4127349853516
808,Algiers,36.7538,3.0588,19790206,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.2367858886719
830,Algiers,36.7538,3.0588,19790207,1200,2 metre temperature,2t,5.2486,36.75,3.0,291.151611328125
852,Algiers,36.7538,3.0588,19790208,1200,2 metre temperature,2t,5.2486,36.75,3.0,290.579833984375
874,Algiers,36.7538,3.0588,19790209,1200,2 metre temperature,2t,5.2486,36.75,3.0,294.286376953125
