,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
7,Amsterdam,52.3702,4.8952,19790101,1200,2 metre temperature,2t,28.0358,52.5,5.25,268.57928466796875
29,Amsterdam,52.3702,4.8952,19790102,1200,2 metre temperature,2t,28.0358,52.5,5.25,268.7133331298828
51,Amsterdam,52.3702,4.8952,19790103,1200,2 metre temperature,2t,28.0358,52.5,5.25,273.31216430664057
73,Amsterdam,52.3702,4.8952,19790104,1200,2 metre temperature,2t,28.0358,52.5,5.25,269.06951904296875
95,Amsterdam,52.3702,4.8952,19790105,1200,2 metre temperature,2t,28.0358,52.5,5.25,268.52963256835943
117,Amsterdam,52.3702,4.8952,19790106,1200,2 metre temperature,2t,28.0358,52.5,5.25,267.9571075439453
139,Amsterdam,52.3702,4.8952,19790107,1200,2 metre temperature,2t,28.0358,52.5,5.25,274.774658203125
161,Amsterdam,52.3702,4.8952,19790108,1200,2 metre temperature,2t,28.0358,52.5,5.25,277.199462890625
183,Amsterdam,52.3702,4.8952,19790109,1200,2 metre temperature,2t,28.0358,52.5,5.25,277.25927734375
205,Amsterdam,52.3702,4.8952,19790110,1200,2 metre temperature,2t,28.0358,52.5,5.25,274.71337890625
227,Amsterdam,52.3702,4.8952,19790111,1200,2 metre temperature,2t,28.0358,52.5,5.25,276.43997192382807
249,Amsterdam,52.3702,4.8952,19790112,1200,2 metre temperature,2t,28.0358,52.5,5.25,276.205322265625
271,Amsterdam,52.3702,4.8952,19790113,1200,2 metre temperature,2t,28.0358,52.5,5.25,275.518310546875
293,Amsterdam,52.3702,4.8952,19790114,1200,2 metre temperature,2t,28.0358,52.5,5.25,276.61083984375
315,Amsterdam,52.3702,4.8952,19790115,1200,2 metre temperature,2t,28.0358,52.5,5.25,272.29898071289057
337,Amsterdam,52.3702,4.8952,19790116,1200,2 metre temperature,2t,28.0358,52.5,5.25,270.936279296875
359,Amsterdam,52.3702,4.8952,19790117,1200,2 metre temperature,2t,28.0358,52.5,5.25,269.500244140625
