,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
21,Bangui,4.3947,18.5582,19790101,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.49920654296875
43,Bangui,4.3947,18.5582,19790102,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.2445831298828
65,Bangui,4.3947,18.5582,19790103,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.8287658691406
87,Bangui,4.3947,18.5582,19790104,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.51678466796875
109,Bangui,4.3947,18.5582,19790105,1200,2 metre temperature,2t,24.2626,4.5,18.75,301.5335388183594
131,Bangui,4.3947,18.5582,19790106,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.2100372314453
153,Bangui,4.3947,18.5582,19790107,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.994384765625
175,Bangui,4.3947,18.5582,19790108,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.036376953125
197,Bangui,4.3947,18.5582,19790109,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.43408203125
219,Bangui,4.3947,18.5582,19790110,1200,2 metre temperature,2t,24.2626,4.5,18.75,301.91845703125
241,Bangui,4.3947,18.5582,19790111,1200,2 metre temperature,2t,24.2626,4.5,18.75,299.1714172363281
263,Bangui,4.3947,18.5582,19790112,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.481689453125
285,Bangui,4.3947,18.5582,19790113,1200,2 metre temperature,2t,24.2626,4.5,18.75,300.337646484375
307,Bangui,4.3947,18.5582,19790114,1200,2 metre temperature,2t,24.2626,4.5,18.75,302.41162109375
329,Bangui,4.3947,18.5582,19790115,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.2286682128906
351,Bangui,4.3947,18.5582,19790116,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.489990234375
373,Bangui,4.3947,18.5582,19790117,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.801025390625
395,Bangui,4.3947,18.5582,19790118,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.1640625
417,Bangui,4.3947,18.5582,19790119,1200,2 metre temperature,2t,24.2626,4.5,18.75,300.65576171875
439,Bangui,4.3947,18.5582,19790120,1200,2 metre temperature,2t,24.2626,4.5,18.75,301.966796875
461,Bangui,4.3947,18.5582,19790121,1200,2 metre temperature,2t,24.2626,4.5,18.75,302.32257080078125
483,Bangui,4.3947,18.5582,19790122,1200,2 metre temperature,2t,24.2626,4.5,18.75,302.60400390625
505,Bangui,4.3947,18.5582,19790123,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.10496520996094
527,Bangui,4.3947,18.5582,19790124,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.31700134277344
549,Bangui,4.3947,18.5582,19790125,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.11192321777344
571,Bangui,4.3947,18.5582,19790126,1200,2 metre temperature,2t,24.2626,4.5,18.75,306.41172790527344
593,Bangui,4.3947,18.5582,19790127,1200,2 metre temperature,2t,24.2626,4.5,18.75,306.3047332763672
615,Bangui,4.3947,18.5582,19790128,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.20982360839844
637,Bangui,4.3947,18.5582,19790129,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.8729553222656
659,Bangui,4.3947,18.5582,19790130,1200,2 metre temperature,2t,24.2626,4.5,18.75,306.0049743652344
681,Bangui,4.3947,18.5582,19790131,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.78907775878906
703,Bangui,4.3947,18.5582,19790201,1200,2 metre temperature,2t,24.2626,4.5,18.75,302.93255615234375
725,Bangui,4.3947,18.5582,19790202,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.58251953125
747,Bangui,4.3947,18.5582,19790203,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.4775390625
769,Bangui,4.3947,18.5582,19790204,1200,2 metre temperature,2t,24.2626,4.5,18.75,306.6639099121094
791,Bangui,4.3947,18.5582,19790205,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.1871490478516
813,Bangui,4.3947,18.5582,19790206,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.9457702636719
835,Bangui,4.3947,18.5582,19790207,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.904541015625
857,Bangui,4.3947,18.5582,19790208,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.379638671875
879,Bangui,4.3947,18.5582,19790209,1200,2 metre temperature,2t,24.2626,4.5,18.75,305.265869140625
901,Bangui,4.3947,18.5582,19790210,1200,2 metre temperature,2t,24.2626,4.5,18.75,307.1812438964844
923,Bangui,4.3947,18.5582,19790211,1200,2 metre temperature,2t,24.2626,4.5,18.75,304.0158233642578
945,Bangui,4.3947,18.5582,19790212,1200,2 metre temperature,2t,24.2626,4.5,18.75,303.1158599853516
