,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Barcelona,41.3851,2.1734,19790101,1200,2 metre temperature,2t,16.315,41.25,2.25,288.8386993408203
5,Barcelona,41.3851,2.1734,19790102,1200,2 metre temperature,2t,16.315,41.25,2.25,278.0569305419922
9,Barcelona,41.3851,2.1734,19790103,1200,2 metre temperature,2t,16.315,41.25,2.25,280.8044586181641
13,Barcelona,41.3851,2.1734,19790104,1200,2 metre temperature,2t,16.315,41.25,2.25,285.63079833984375
17,Barcelona,41.3851,2.1734,19790105,1200,2 metre temperature,2t,16.315,41.25,2.25,284.009033203125
21,Barcelona,41.3851,2.1734,19790106,1200,2 metre temperature,2t,16.315,41.25,2.25,285.009033203125
25,Barcelona,41.3851,2.1734,19790107,1200,2 metre temperature,2t,16.315,41.25,2.25,283.156494140625
29,Barcelona,41.3851,2.1734,19790108,1200,2 metre temperature,2t,16.315,41.25,2.25,286.99365234375
33,Barcelona,41.3851,2.1734,19790109,1200,2 metre temperature,2t,16.315,41.25,2.25,285.820068359375
37,Barcelona,41.3851,2.1734,19790110,1200,2 metre temperature,2t,16.315,41.25,2.25,283.956787109375
41,Barcelona,41.3851,2.1734,19790111,1200,2 metre temperature,2t,16.315,41.25,2.25,287.302734375
45,Barcelona,41.3851,2.1734,19790112,1200,2 metre temperature,2t,16.315,41.25,2.25,285.2470703125
49,Barcelona,41.3851,2.1734,19790113,1200,2 metre temperature,2t,16.315,41.25,2.25,281.69921875
53,Barcelona,41.3851,2.1734,19790114,1200,2 metre temperature,2t,16.315,41.25,2.25,281.71044921875
57,Barcelona,41.3851,2.1734,19790115,1200,2 metre temperature,2t,16.315,41.25,2.25,282.980712890625
61,Barcelona,41.3851,2.1734,19790116,1200,2 metre temperature,2t,16.315,41.25,2.25,283.26953125
65,Barcelona,41.3851,2.1734,19790117,1200,2 metre temperature,2t,16.315,41.25,2.25,282.458251953125
69,Barcelona,41.3851,2.1734,19790118,1200,2 metre temperature,2t,16.315,41.25,2.25,283.11474609375
73,Barcelona,41.3851,2.1734,19790119,1200,2 metre temperature,2t,16.315,41.25,2.25,286.031005859375
