,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
11,Belgrade,44.7866,20.4489,19790101,1200,2 metre temperature,2t,28.4232,45.0,20.25,286.33319091796875
33,Belgrade,44.7866,20.4489,19790102,1200,2 metre temperature,2t,28.4232,45.0,20.25,264.6293487548828
55,Belgrade,44.7866,20.4489,19790103,1200,2 metre temperature,2t,28.4232,45.0,20.25,266.44985961914057
77,Belgrade,44.7866,20.4489,19790104,1200,2 metre temperature,2t,28.4232,45.0,20.25,271.58905029296875
99,Belgrade,44.7866,20.4489,19790105,1200,2 metre temperature,2t,28.4232,45.0,20.25,268.53549194335943
121,Belgrade,44.7866,20.4489,19790106,1200,2 metre temperature,2t,28.4232,45.0,20.25,268.0205841064453
143,Belgrade,44.7866,20.4489,19790107,1200,2 metre temperature,2t,28.4232,45.0,20.25,267.666259765625
165,Belgrade,44.7866,20.4489,19790108,1200,2 metre temperature,2t,28.4232,45.0,20.25,271.127197265625
187,Belgrade,44.7866,20.4489,19790109,1200,2 metre temperature,2t,28.4232,45.0,20.25,273.72900390625
209,Belgrade,44.7866,20.4489,19790110,1200,2 metre temperature,2t,28.4232,45.0,20.25,278.98095703125
231,Belgrade,44.7866,20.4489,19790111,1200,2 metre temperature,2t,28.4232,45.0,20.25,280.70071411132807
253,Belgrade,44.7866,20.4489,19790112,1200,2 metre temperature,2t,28.4232,45.0,20.25,274.705322265625
275,Belgrade,44.7866,20.4489,19790113,1200,2 metre temperature,2t,28.4232,45.0,20.25,274.637451171875
297,Belgrade,44.7866,20.4489,19790114,1200,2 metre temperature,2t,28.4232,45.0,20.25,273.09228515625
319,Belgrade,44.7866,20.4489,19790115,1200,2 metre temperature,2t,28.4232,45.0,20.25,272.11636352539057
341,Belgrade,44.7866,20.4489,19790116,1200,2 metre temperature,2t,28.4232,45.0,20.25,270.487060546875
363,Belgrade,44.7866,20.4489,19790117,1200,2 metre temperature,2t,28.4232,45.0,20.25,269.651611328125
385,Belgrade,44.7866,20.4489,19790118,1200,2 metre temperature,2t,28.4232,45.0,20.25,269.9794921875
407,Belgrade,44.7866,20.4489,19790119,1200,2 metre temperature,2t,28.4232,45.0,20.25,270.74365234375
429,Belgrade,44.7866,20.4489,19790120,1200,2 metre temperature,2t,28.4232,45.0,20.25,272.6748046875
451,Belgrade,44.7866,20.4489,19790121,1200,2 metre temperature,2t,28.4232,45.0,20.25,273.25909423828125
473,Belgrade,44.7866,20.4489,19790122,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.07470703125
495,Belgrade,44.7866,20.4489,19790123,1200,2 metre temperature,2t,28.4232,45.0,20.25,278.0278167724609
517,Belgrade,44.7866,20.4489,19790124,1200,2 metre temperature,2t,28.4232,45.0,20.25,280.35118103027344
539,Belgrade,44.7866,20.4489,19790125,1200,2 metre temperature,2t,28.4232,45.0,20.25,278.25450134277344
561,Belgrade,44.7866,20.4489,19790126,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.27696228027344
583,Belgrade,44.7866,20.4489,19790127,1200,2 metre temperature,2t,28.4232,45.0,20.25,282.6953582763672
605,Belgrade,44.7866,20.4489,19790128,1200,2 metre temperature,2t,28.4232,45.0,20.25,287.87974548339844
627,Belgrade,44.7866,20.4489,19790129,1200,2 metre temperature,2t,28.4232,45.0,20.25,286.9706115722656
649,Belgrade,44.7866,20.4489,19790130,1200,2 metre temperature,2t,28.4232,45.0,20.25,281.44247436523443
671,Belgrade,44.7866,20.4489,19790131,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.936538696289
693,Belgrade,44.7866,20.4489,19790201,1200,2 metre temperature,2t,28.4232,45.0,20.25,279.3300170898437
715,Belgrade,44.7866,20.4489,19790202,1200,2 metre temperature,2t,28.4232,45.0,20.25,281.14794921875
737,Belgrade,44.7866,20.4489,19790203,1200,2 metre temperature,2t,28.4232,45.0,20.25,283.642578125
759,Belgrade,44.7866,20.4489,19790204,1200,2 metre temperature,2t,28.4232,45.0,20.25,281.9637145996094
781,Belgrade,44.7866,20.4489,19790205,1200,2 metre temperature,2t,28.4232,45.0,20.25,284.4537506103516
803,Belgrade,44.7866,20.4489,19790206,1200,2 metre temperature,2t,28.4232,45.0,20.25,279.35983276367193
825,Belgrade,44.7866,20.4489,19790207,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.125244140625
847,Belgrade,44.7866,20.4489,19790208,1200,2 metre temperature,2t,28.4232,45.0,20.25,278.209716796875
869,Belgrade,44.7866,20.4489,19790209,1200,2 metre temperature,2t,28.4232,45.0,20.25,278.804931640625
891,Belgrade,44.7866,20.4489,19790210,1200,2 metre temperature,2t,28.4232,45.0,20.25,282.8482360839844
913,Belgrade,44.7866,20.4489,19790211,1200,2 metre temperature,2t,28.4232,45.0,20.25,275.7091827392578
935,Belgrade,44.7866,20.4489,19790212,1200,2 metre temperature,2t,28.4232,45.0,20.25,286.4547271728516
957,Belgrade,44.7866,20.4489,19790213,1200,2 metre temperature,2t,28.4232,45.0,20.25,281.18875122070307
979,Belgrade,44.7866,20.4489,19790214,1200,2 metre temperature,2t,28.4232,45.0,20.25,284.43016052246094
1001,Belgrade,44.7866,20.4489,19790215,1200,2 metre temperature,2t,28.4232,45.0,20.25,285.9061737060547
1023,Belgrade,44.7866,20.4489,19790216,1200,2 metre temperature,2t,28.4232,45.0,20.25,283.02978515625
1045,Belgrade,44.7866,20.4489,19790217,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.186767578125
1067,Belgrade,44.7866,20.4489,19790218,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.948974609375
1089,Belgrade,44.7866,20.4489,19790219,1200,2 metre temperature,2t,28.4232,45.0,20.25,277.3056640625
1111,Belgrade,44.7866,20.4489,19790220,1200,2 metre temperature,2t,28.4232,45.0,20.25,275.866455078125
1133,Belgrade,44.7866,20.4489,19790221,1200,2 metre temperature,2t,28.4232,45.0,20.25,275.491943359375
1155,Belgrade,44.7866,20.4489,19790222,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.30126953125
1177,Belgrade,44.7866,20.4489,19790223,1200,2 metre temperature,2t,28.4232,45.0,20.25,276.412109375
