,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
2,Bonn,50.7374,7.0982,19790101,1200,2 metre temperature,2t,38.0514,51.0,6.75,261.77459716796875
24,Bonn,50.7374,7.0982,19790102,1200,2 metre temperature,2t,38.0514,51.0,6.75,263.3012237548828
46,Bonn,50.7374,7.0982,19790103,1200,2 metre temperature,2t,38.0514,51.0,6.75,266.82876586914057
68,Bonn,50.7374,7.0982,19790104,1200,2 metre temperature,2t,38.0514,51.0,6.75,264.85076904296875
90,Bonn,50.7374,7.0982,19790105,1200,2 metre temperature,2t,38.0514,51.0,6.75,261.90072631835943
112,Bonn,50.7374,7.0982,19790106,1200,2 metre temperature,2t,38.0514,51.0,6.75,263.3496856689453
134,Bonn,50.7374,7.0982,19790107,1200,2 metre temperature,2t,38.0514,51.0,6.75,269.049072265625
156,Bonn,50.7374,7.0982,19790108,1200,2 metre temperature,2t,38.0514,51.0,6.75,270.846923828125
178,Bonn,50.7374,7.0982,19790109,1200,2 metre temperature,2t,38.0514,51.0,6.75,272.94384765625
200,Bonn,50.7374,7.0982,19790110,1200,2 metre temperature,2t,38.0514,51.0,6.75,273.85205078125
222,Bonn,50.7374,7.0982,19790111,1200,2 metre temperature,2t,38.0514,51.0,6.75,273.28176879882807
244,Bonn,50.7374,7.0982,19790112,1200,2 metre temperature,2t,38.0514,51.0,6.75,274.119384765625
266,Bonn,50.7374,7.0982,19790113,1200,2 metre temperature,2t,38.0514,51.0,6.75,273.111083984375
288,Bonn,50.7374,7.0982,19790114,1200,2 metre temperature,2t,38.0514,51.0,6.75,271.62060546875
310,Bonn,50.7374,7.0982,19790115,1200,2 metre temperature,2t,38.0514,51.0,6.75,269.57339477539057
332,Bonn,50.7374,7.0982,19790116,1200,2 metre temperature,2t,38.0514,51.0,6.75,267.222412109375
354,Bonn,50.7374,7.0982,19790117,1200,2 metre temperature,2t,38.0514,51.0,6.75,268.130126953125
376,Bonn,50.7374,7.0982,19790118,1200,2 metre temperature,2t,38.0514,51.0,6.75,268.9658203125
398,Bonn,50.7374,7.0982,19790119,1200,2 metre temperature,2t,38.0514,51.0,6.75,270.48681640625
420,Bonn,50.7374,7.0982,19790120,1200,2 metre temperature,2t,38.0514,51.0,6.75,270.6025390625
442,Bonn,50.7374,7.0982,19790121,1200,2 metre temperature,2t,38.0514,51.0,6.75,271.65753173828125
464,Bonn,50.7374,7.0982,19790122,1200,2 metre temperature,2t,38.0514,51.0,6.75,269.65771484375
486,Bonn,50.7374,7.0982,19790123,1200,2 metre temperature,2t,38.0514,51.0,6.75,275.0932464599609
508,Bonn,50.7374,7.0982,19790124,1200,2 metre temperature,2t,38.0514,51.0,6.75,272.36094665527344
530,Bonn,50.7374,7.0982,19790125,1200,2 metre temperature,2t,38.0514,51.0,6.75,272.70567321777344
552,Bonn,50.7374,7.0982,19790126,1200,2 metre temperature,2t,38.0514,51.0,6.75,272.55235290527344
574,Bonn,50.7374,7.0982,19790127,1200,2 metre temperature,2t,38.0514,51.0,6.75,272.6934051513672
596,Bonn,50.7374,7.0982,19790128,1200,2 metre temperature,2t,38.0514,51.0,6.75,271.11216735839844
618,Bonn,50.7374,7.0982,19790129,1200,2 metre temperature,2t,38.0514,51.0,6.75,273.82705688476557
640,Bonn,50.7374,7.0982,19790130,1200,2 metre temperature,2t,38.0514,51.0,6.75,275.63192749023443
