,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
6,Brussels,50.8503,4.3517,19790101,1200,2 metre temperature,2t,19.6087,51.0,4.5,263.88592529296875
28,Brussels,50.8503,4.3517,19790102,1200,2 metre temperature,2t,19.6087,51.0,4.5,269.0404815673828
50,Brussels,50.8503,4.3517,19790103,1200,2 metre temperature,2t,19.6087,51.0,4.5,268.45181274414057
72,Brussels,50.8503,4.3517,19790104,1200,2 metre temperature,2t,19.6087,51.0,4.5,267.64178466796875
94,Brussels,50.8503,4.3517,19790105,1200,2 metre temperature,2t,19.6087,51.0,4.5,263.72494506835943
116,Brussels,50.8503,4.3517,19790106,1200,2 metre temperature,2t,19.6087,51.0,4.5,264.9180450439453
138,Brussels,50.8503,4.3517,19790107,1200,2 metre temperature,2t,19.6087,51.0,4.5,270.090087890625
160,Brussels,50.8503,4.3517,19790108,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.285400390625
182,Brussels,50.8503,4.3517,19790109,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.99853515625
204,Brussels,50.8503,4.3517,19790110,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.16455078125
226,Brussels,50.8503,4.3517,19790111,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.34036254882807
248,Brussels,50.8503,4.3517,19790112,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.886962890625
270,Brussels,50.8503,4.3517,19790113,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.118896484375
292,Brussels,50.8503,4.3517,19790114,1200,2 metre temperature,2t,19.6087,51.0,4.5,271.70263671875
314,Brussels,50.8503,4.3517,19790115,1200,2 metre temperature,2t,19.6087,51.0,4.5,271.72769165039057
336,Brussels,50.8503,4.3517,19790116,1200,2 metre temperature,2t,19.6087,51.0,4.5,270.336669921875
358,Brussels,50.8503,4.3517,19790117,1200,2 metre temperature,2t,19.6087,51.0,4.5,268.864501953125
380,Brussels,50.8503,4.3517,19790118,1200,2 metre temperature,2t,19.6087,51.0,4.5,270.3603515625
402,Brussels,50.8503,4.3517,19790119,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.94091796875
424,Brussels,50.8503,4.3517,19790120,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.4990234375
446,Brussels,50.8503,4.3517,19790121,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.36846923828125
468,Brussels,50.8503,4.3517,19790122,1200,2 metre temperature,2t,19.6087,51.0,4.5,270.91943359375
490,Brussels,50.8503,4.3517,19790123,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.5131683349609
512,Brussels,50.8503,4.3517,19790124,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.60215759277344
534,Brussels,50.8503,4.3517,19790125,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.34043884277344
556,Brussels,50.8503,4.3517,19790126,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.49571228027344
578,Brussels,50.8503,4.3517,19790127,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.1230926513672
600,Brussels,50.8503,4.3517,19790128,1200,2 metre temperature,2t,19.6087,51.0,4.5,270.47740173339844
622,Brussels,50.8503,4.3517,19790129,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.84170532226557
644,Brussels,50.8503,4.3517,19790130,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.11532592773443
666,Brussels,50.8503,4.3517,19790131,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.548843383789
688,Brussels,50.8503,4.3517,19790201,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.2216186523437
710,Brussels,50.8503,4.3517,19790202,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.40478515625
732,Brussels,50.8503,4.3517,19790203,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.974609375
754,Brussels,50.8503,4.3517,19790204,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.17758178710943
776,Brussels,50.8503,4.3517,19790205,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.4029693603516
798,Brussels,50.8503,4.3517,19790206,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.78561401367193
820,Brussels,50.8503,4.3517,19790207,1200,2 metre temperature,2t,19.6087,51.0,4.5,276.528564453125
842,Brussels,50.8503,4.3517,19790208,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.887451171875
864,Brussels,50.8503,4.3517,19790209,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.163330078125
886,Brussels,50.8503,4.3517,19790210,1200,2 metre temperature,2t,19.6087,51.0,4.5,274.46249389648443
908,Brussels,50.8503,4.3517,19790211,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.0314483642578
930,Brussels,50.8503,4.3517,19790212,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.2008209228516
952,Brussels,50.8503,4.3517,19790213,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.38015747070307
974,Brussels,50.8503,4.3517,19790214,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.1176605224609
996,Brussels,50.8503,4.3517,19790215,1200,2 metre temperature,2t,19.6087,51.0,4.5,267.8905487060547
1018,Brussels,50.8503,4.3517,19790216,1200,2 metre temperature,2t,19.6087,51.0,4.5,268.16748046875
1040,Brussels,50.8503,4.3517,19790217,1200,2 metre temperature,2t,19.6087,51.0,4.5,268.558837890625
1062,Brussels,50.8503,4.3517,19790218,1200,2 metre temperature,2t,19.6087,51.0,4.5,268.038818359375
1084,Brussels,50.8503,4.3517,19790219,1200,2 metre temperature,2t,19.6087,51.0,4.5,271.0771484375
1106,Brussels,50.8503,4.3517,19790220,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.379150390625
1128,Brussels,50.8503,4.3517,19790221,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.635498046875
1150,Brussels,50.8503,4.3517,19790222,1200,2 metre temperature,2t,19.6087,51.0,4.5,271.47021484375
1172,Brussels,50.8503,4.3517,19790223,1200,2 metre temperature,2t,19.6087,51.0,4.5,276.1904296875
1194,Brussels,50.8503,4.3517,19790224,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.27099609375
1216,Brussels,50.8503,4.3517,19790225,1200,2 metre temperature,2t,19.6087,51.0,4.5,272.004638671875
1238,Brussels,50.8503,4.3517,19790226,1200,2 metre temperature,2t,19.6087,51.0,4.5,273.26318359375
1260,Brussels,50.8503,4.3517,19790227,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.66943359375
1282,Brussels,50.8503,4.3517,19790228,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.9248046875
1304,Brussels,50.8503,4.3517,19790301,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.415771484375
1326,Brussels,50.8503,4.3517,19790302,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.405517578125
1348,Brussels,50.8503,4.3517,19790303,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.94287109375
1370,Brussels,50.8503,4.3517,19790304,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.193603515625
1392,Brussels,50.8503,4.3517,19790305,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.0703125
1414,Brussels,50.8503,4.3517,19790306,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.23388671875
1436,Brussels,50.8503,4.3517,19790307,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.3271484375
1458,Brussels,50.8503,4.3517,19790308,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.010986328125
1480,Brussels,50.8503,4.3517,19790309,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.91748046875
1502,Brussels,50.8503,4.3517,19790310,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.0166015625
1524,Brussels,50.8503,4.3517,19790311,1200,2 metre temperature,2t,19.6087,51.0,4.5,283.133056640625
1546,Brussels,50.8503,4.3517,19790312,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.374755859375
1568,Brussels,50.8503,4.3517,19790313,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.32568359375
1590,Brussels,50.8503,4.3517,19790314,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.34375
1612,Brussels,50.8503,4.3517,19790315,1200,2 metre temperature,2t,19.6087,51.0,4.5,275.547607421875
1634,Brussels,50.8503,4.3517,19790316,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.462646484375
1656,Brussels,50.8503,4.3517,19790317,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.694580078125
1678,Brussels,50.8503,4.3517,19790318,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.640380859375
1700,Brussels,50.8503,4.3517,19790319,1200,2 metre temperature,2t,19.6087,51.0,4.5,276.404296875
1722,Brussels,50.8503,4.3517,19790320,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.334228515625
1744,Brussels,50.8503,4.3517,19790321,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.186279296875
1766,Brussels,50.8503,4.3517,19790322,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.505615234375
1788,Brussels,50.8503,4.3517,19790323,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.923095703125
1810,Brussels,50.8503,4.3517,19790324,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.02197265625
1832,Brussels,50.8503,4.3517,19790325,1200,2 metre temperature,2t,19.6087,51.0,4.5,285.60302734375
1854,Brussels,50.8503,4.3517,19790326,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.171142578125
1876,Brussels,50.8503,4.3517,19790327,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.1650390625
1898,Brussels,50.8503,4.3517,19790328,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.38232421875
1920,Brussels,50.8503,4.3517,19790329,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.7412109375
1942,Brussels,50.8503,4.3517,19790330,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.565673828125
1964,Brussels,50.8503,4.3517,19790331,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.460205078125
1986,Brussels,50.8503,4.3517,19790401,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.0029296875
2008,Brussels,50.8503,4.3517,19790402,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.433349609375
2030,Brussels,50.8503,4.3517,19790403,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.755859375
2052,Brussels,50.8503,4.3517,19790404,1200,2 metre temperature,2t,19.6087,51.0,4.5,277.38037109375
2074,Brussels,50.8503,4.3517,19790405,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.14306640625
2096,Brussels,50.8503,4.3517,19790406,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.84228515625
2118,Brussels,50.8503,4.3517,19790407,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.43359375
2140,Brussels,50.8503,4.3517,19790408,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.1220703125
2162,Brussels,50.8503,4.3517,19790409,1200,2 metre temperature,2t,19.6087,51.0,4.5,288.207275390625
2184,Brussels,50.8503,4.3517,19790410,1200,2 metre temperature,2t,19.6087,51.0,4.5,290.656494140625
2206,Brussels,50.8503,4.3517,19790411,1200,2 metre temperature,2t,19.6087,51.0,4.5,289.0673828125
2228,Brussels,50.8503,4.3517,19790412,1200,2 metre temperature,2t,19.6087,51.0,4.5,287.723876953125
2250,Brussels,50.8503,4.3517,19790413,1200,2 metre temperature,2t,19.6087,51.0,4.5,290.271728515625
2272,Brussels,50.8503,4.3517,19790414,1200,2 metre temperature,2t,19.6087,51.0,4.5,293.43896484375
2294,Brussels,50.8503,4.3517,19790415,1200,2 metre temperature,2t,19.6087,51.0,4.5,292.762939453125
2316,Brussels,50.8503,4.3517,19790416,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.361328125
2338,Brussels,50.8503,4.3517,19790417,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.4345703125
2360,Brussels,50.8503,4.3517,19790418,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.9833984375
2382,Brussels,50.8503,4.3517,19790419,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.884765625
2404,Brussels,50.8503,4.3517,19790420,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.89453125
2426,Brussels,50.8503,4.3517,19790421,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.257080078125
2448,Brussels,50.8503,4.3517,19790422,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.08740234375
2470,Brussels,50.8503,4.3517,19790423,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.78857421875
2492,Brussels,50.8503,4.3517,19790424,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.40185546875
2514,Brussels,50.8503,4.3517,19790425,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.56494140625
2536,Brussels,50.8503,4.3517,19790426,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.666748046875
2558,Brussels,50.8503,4.3517,19790427,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.365966796875
2580,Brussels,50.8503,4.3517,19790428,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.390380859375
2602,Brussels,50.8503,4.3517,19790429,1200,2 metre temperature,2t,19.6087,51.0,4.5,282.96142578125
2624,Brussels,50.8503,4.3517,19790430,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.779296875
2646,Brussels,50.8503,4.3517,19790501,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.976318359375
2668,Brussels,50.8503,4.3517,19790502,1200,2 metre temperature,2t,19.6087,51.0,4.5,278.11328125
2690,Brussels,50.8503,4.3517,19790503,1200,2 metre temperature,2t,19.6087,51.0,4.5,280.11083984375
2712,Brussels,50.8503,4.3517,19790504,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.238037109375
2734,Brussels,50.8503,4.3517,19790505,1200,2 metre temperature,2t,19.6087,51.0,4.5,279.16162109375
2756,Brussels,50.8503,4.3517,19790506,1200,2 metre temperature,2t,19.6087,51.0,4.5,281.767333984375
2778,Brussels,50.8503,4.3517,19790507,1200,2 metre temperature,2t,19.6087,51.0,4.5,285.07763671875
2800,Brussels,50.8503,4.3517,19790508,1200,2 metre temperature,2t,19.6087,51.0,4.5,288.60302734375
2822,Brussels,50.8503,4.3517,19790509,1200,2 metre temperature,2t,19.6087,51.0,4.5,289.57666015625
2844,Brussels,50.8503,4.3517,19790510,1200,2 metre temperature,2t,19.6087,51.0,4.5,283.407470703125
2866,Brussels,50.8503,4.3517,19790511,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.37060546875
2888,Brussels,50.8503,4.3517,19790512,1200,2 metre temperature,2t,19.6087,51.0,4.5,288.12451171875
2910,Brussels,50.8503,4.3517,19790513,1200,2 metre temperature,2t,19.6087,51.0,4.5,291.4267578125
2932,Brussels,50.8503,4.3517,19790514,1200,2 metre temperature,2t,19.6087,51.0,4.5,295.06396484375
2954,Brussels,50.8503,4.3517,19790515,1200,2 metre temperature,2t,19.6087,51.0,4.5,297.493408203125
2976,Brussels,50.8503,4.3517,19790516,1200,2 metre temperature,2t,19.6087,51.0,4.5,299.000244140625
2998,Brussels,50.8503,4.3517,19790517,1200,2 metre temperature,2t,19.6087,51.0,4.5,286.611572265625
3020,Brussels,50.8503,4.3517,19790518,1200,2 metre temperature,2t,19.6087,51.0,4.5,287.53759765625
3042,Brussels,50.8503,4.3517,19790519,1200,2 metre temperature,2t,19.6087,51.0,4.5,290.69189453125
3064,Brussels,50.8503,4.3517,19790520,1200,2 metre temperature,2t,19.6087,51.0,4.5,291.33837890625
3086,Brussels,50.8503,4.3517,19790521,1200,2 metre temperature,2t,19.6087,51.0,4.5,287.331787109375
3108,Brussels,50.8503,4.3517,19790522,1200,2 metre temperature,2t,19.6087,51.0,4.5,289.05810546875
3130,Brussels,50.8503,4.3517,19790523,1200,2 metre temperature,2t,19.6087,51.0,4.5,285.802734375
3152,Brussels,50.8503,4.3517,19790524,1200,2 metre temperature,2t,19.6087,51.0,4.5,286.287353515625
3174,Brussels,50.8503,4.3517,19790525,1200,2 metre temperature,2t,19.6087,51.0,4.5,284.947265625
