,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,Buenos Aires,-34.6037,-58.3816,19790101,1200,2 metre temperature,2t,15.8209,-34.5,301.5,293.923095703125
2,Buenos Aires,-34.6037,-58.3816,19790102,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.203125
4,Buenos Aires,-34.6037,-58.3816,19790103,1200,2 metre temperature,2t,15.8209,-34.5,301.5,291.497802734375
6,Buenos Aires,-34.6037,-58.3816,19790104,1200,2 metre temperature,2t,15.8209,-34.5,301.5,291.18359375
8,Buenos Aires,-34.6037,-58.3816,19790105,1200,2 metre temperature,2t,15.8209,-34.5,301.5,294.254150390625
10,Buenos Aires,-34.6037,-58.3816,19790106,1200,2 metre temperature,2t,15.8209,-34.5,301.5,292.872802734375
12,Buenos Aires,-34.6037,-58.3816,19790107,1200,2 metre temperature,2t,15.8209,-34.5,301.5,295.06005859375
14,Buenos Aires,-34.6037,-58.3816,19790108,1200,2 metre temperature,2t,15.8209,-34.5,301.5,294.68896484375
16,Buenos Aires,-34.6037,-58.3816,19790109,1200,2 metre temperature,2t,15.8209,-34.5,301.5,295.468505859375
18,Buenos Aires,-34.6037,-58.3816,19790110,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.79931640625
20,Buenos Aires,-34.6037,-58.3816,19790111,1200,2 metre temperature,2t,15.8209,-34.5,301.5,300.307373046875
22,Buenos Aires,-34.6037,-58.3816,19790112,1200,2 metre temperature,2t,15.8209,-34.5,301.5,301.072265625
24,Buenos Aires,-34.6037,-58.3816,19790113,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.603515625
26,Buenos Aires,-34.6037,-58.3816,19790114,1200,2 metre temperature,2t,15.8209,-34.5,301.5,298.241455078125
28,Buenos Aires,-34.6037,-58.3816,19790115,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.238037109375
30,Buenos Aires,-34.6037,-58.3816,19790116,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.4375
32,Buenos Aires,-34.6037,-58.3816,19790117,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.459716796875
34,Buenos Aires,-34.6037,-58.3816,19790118,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.311767578125
36,Buenos Aires,-34.6037,-58.3816,19790119,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.454833984375
38,Buenos Aires,-34.6037,-58.3816,19790120,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.458251953125
40,Buenos Aires,-34.6037,-58.3816,19790121,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.61083984375
42,Buenos Aires,-34.6037,-58.3816,19790122,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.698974609375
44,Buenos Aires,-34.6037,-58.3816,19790123,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.339111328125
46,Buenos Aires,-34.6037,-58.3816,19790124,1200,2 metre temperature,2t,15.8209,-34.5,301.5,298.651611328125
48,Buenos Aires,-34.6037,-58.3816,19790125,1200,2 metre temperature,2t,15.8209,-34.5,301.5,300.501953125
50,Buenos Aires,-34.6037,-58.3816,19790126,1200,2 metre temperature,2t,15.8209,-34.5,301.5,299.0830078125
52,Buenos Aires,-34.6037,-58.3816,19790127,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.7568359375
54,Buenos Aires,-34.6037,-58.3816,19790128,1200,2 metre temperature,2t,15.8209,-34.5,301.5,291.798583984375
56,Buenos Aires,-34.6037,-58.3816,19790129,1200,2 metre temperature,2t,15.8209,-34.5,301.5,293.246826171875
58,Buenos Aires,-34.6037,-58.3816,19790130,1200,2 metre temperature,2t,15.8209,-34.5,301.5,292.573974609375
60,Buenos Aires,-34.6037,-58.3816,19790131,1200,2 metre temperature,2t,15.8209,-34.5,301.5,293.334228515625
62,Buenos Aires,-34.6037,-58.3816,19790201,1200,2 metre temperature,2t,15.8209,-34.5,301.5,295.384765625
64,Buenos Aires,-34.6037,-58.3816,19790202,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.82470703125
66,Buenos Aires,-34.6037,-58.3816,19790203,1200,2 metre temperature,2t,15.8209,-34.5,301.5,299.4033203125
68,Buenos Aires,-34.6037,-58.3816,19790204,1200,2 metre temperature,2t,15.8209,-34.5,301.5,301.34716796875
70,Buenos Aires,-34.6037,-58.3816,19790205,1200,2 metre temperature,2t,15.8209,-34.5,301.5,294.935791015625
72,Buenos Aires,-34.6037,-58.3816,19790206,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.107666015625
74,Buenos Aires,-34.6037,-58.3816,19790207,1200,2 metre temperature,2t,15.8209,-34.5,301.5,296.03564453125
76,Buenos Aires,-34.6037,-58.3816,19790208,1200,2 metre temperature,2t,15.8209,-34.5,301.5,292.361572265625
78,Buenos Aires,-34.6037,-58.3816,19790209,1200,2 metre temperature,2t,15.8209,-34.5,301.5,294.318603515625
80,Buenos Aires,-34.6037,-58.3816,19790210,1200,2 metre temperature,2t,15.8209,-34.5,301.5,297.526123046875
82,Buenos Aires,-34.6037,-58.3816,19790211,1200,2 metre temperature,2t,15.8209,-34.5,301.5,295.946533203125
84,Buenos Aires,-34.6037,-58.3816,19790212,1200,2 metre temperature,2t,15.8209,-34.5,301.5,295.841064453125
