,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,Canberra,-35.3,149.1,19790101,1200,2 metre temperature,2t,14.6999,-35.25,149.25,297.8171081542969
3,Canberra,-35.3,149.1,19790102,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.9670715332031
6,Canberra,-35.3,149.1,19790103,1200,2 metre temperature,2t,14.6999,-35.25,149.25,289.12493896484375
9,Canberra,-35.3,149.1,19790104,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.3360595703125
12,Canberra,-35.3,149.1,19790105,1200,2 metre temperature,2t,14.6999,-35.25,149.25,300.7672576904297
15,Canberra,-35.3,149.1,19790106,1200,2 metre temperature,2t,14.6999,-35.25,149.25,302.53826904296875
18,Canberra,-35.3,149.1,19790107,1200,2 metre temperature,2t,14.6999,-35.25,149.25,299.2638397216797
21,Canberra,-35.3,149.1,19790108,1200,2 metre temperature,2t,14.6999,-35.25,149.25,297.8602600097656
24,Canberra,-35.3,149.1,19790109,1200,2 metre temperature,2t,14.6999,-35.25,149.25,304.47520446777344
27,Canberra,-35.3,149.1,19790110,1200,2 metre temperature,2t,14.6999,-35.25,149.25,298.29833984375
30,Canberra,-35.3,149.1,19790111,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.4383239746094
33,Canberra,-35.3,149.1,19790112,1200,2 metre temperature,2t,14.6999,-35.25,149.25,292.3064727783203
36,Canberra,-35.3,149.1,19790113,1200,2 metre temperature,2t,14.6999,-35.25,149.25,293.5912628173828
39,Canberra,-35.3,149.1,19790114,1200,2 metre temperature,2t,14.6999,-35.25,149.25,303.24806213378906
42,Canberra,-35.3,149.1,19790115,1200,2 metre temperature,2t,14.6999,-35.25,149.25,292.3114776611328
45,Canberra,-35.3,149.1,19790116,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.90855407714844
48,Canberra,-35.3,149.1,19790117,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.666748046875
51,Canberra,-35.3,149.1,19790118,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.3840789794922
54,Canberra,-35.3,149.1,19790119,1200,2 metre temperature,2t,14.6999,-35.25,149.25,293.42823791503906
57,Canberra,-35.3,149.1,19790120,1200,2 metre temperature,2t,14.6999,-35.25,149.25,296.25889587402344
60,Canberra,-35.3,149.1,19790121,1200,2 metre temperature,2t,14.6999,-35.25,149.25,289.8877410888672
63,Canberra,-35.3,149.1,19790122,1200,2 metre temperature,2t,14.6999,-35.25,149.25,289.0130615234375
66,Canberra,-35.3,149.1,19790123,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.2813720703125
69,Canberra,-35.3,149.1,19790124,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.1300201416016
72,Canberra,-35.3,149.1,19790125,1200,2 metre temperature,2t,14.6999,-35.25,149.25,299.7576446533203
75,Canberra,-35.3,149.1,19790126,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.0513153076172
78,Canberra,-35.3,149.1,19790127,1200,2 metre temperature,2t,14.6999,-35.25,149.25,288.63926696777344
81,Canberra,-35.3,149.1,19790128,1200,2 metre temperature,2t,14.6999,-35.25,149.25,288.582275390625
84,Canberra,-35.3,149.1,19790129,1200,2 metre temperature,2t,14.6999,-35.25,149.25,293.24656677246094
87,Canberra,-35.3,149.1,19790130,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.7247772216797
90,Canberra,-35.3,149.1,19790131,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.89442443847656
93,Canberra,-35.3,149.1,19790201,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.9353485107422
96,Canberra,-35.3,149.1,19790202,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.8457794189453
99,Canberra,-35.3,149.1,19790203,1200,2 metre temperature,2t,14.6999,-35.25,149.25,298.7964782714844
102,Canberra,-35.3,149.1,19790204,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.0712432861328
105,Canberra,-35.3,149.1,19790205,1200,2 metre temperature,2t,14.6999,-35.25,149.25,290.2742614746094
108,Canberra,-35.3,149.1,19790206,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.50315856933594
111,Canberra,-35.3,149.1,19790207,1200,2 metre temperature,2t,14.6999,-35.25,149.25,293.736328125
114,Canberra,-35.3,149.1,19790208,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.45147705078125
117,Canberra,-35.3,149.1,19790209,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.05145263671875
120,Canberra,-35.3,149.1,19790210,1200,2 metre temperature,2t,14.6999,-35.25,149.25,297.44683837890625
123,Canberra,-35.3,149.1,19790211,1200,2 metre temperature,2t,14.6999,-35.25,149.25,297.3679962158203
126,Canberra,-35.3,149.1,19790212,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.40887451171875
129,Canberra,-35.3,149.1,19790213,1200,2 metre temperature,2t,14.6999,-35.25,149.25,299.4800567626953
132,Canberra,-35.3,149.1,19790214,1200,2 metre temperature,2t,14.6999,-35.25,149.25,288.8990478515625
135,Canberra,-35.3,149.1,19790215,1200,2 metre temperature,2t,14.6999,-35.25,149.25,292.43603515625
138,Canberra,-35.3,149.1,19790216,1200,2 metre temperature,2t,14.6999,-35.25,149.25,287.31895446777344
141,Canberra,-35.3,149.1,19790217,1200,2 metre temperature,2t,14.6999,-35.25,149.25,289.5381164550781
144,Canberra,-35.3,149.1,19790218,1200,2 metre temperature,2t,14.6999,-35.25,149.25,290.79270935058594
147,Canberra,-35.3,149.1,19790219,1200,2 metre temperature,2t,14.6999,-35.25,149.25,287.630126953125
150,Canberra,-35.3,149.1,19790220,1200,2 metre temperature,2t,14.6999,-35.25,149.25,290.4148864746094
153,Canberra,-35.3,149.1,19790221,1200,2 metre temperature,2t,14.6999,-35.25,149.25,291.588623046875
156,Canberra,-35.3,149.1,19790222,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.5262451171875
159,Canberra,-35.3,149.1,19790223,1200,2 metre temperature,2t,14.6999,-35.25,149.25,296.95713806152344
162,Canberra,-35.3,149.1,19790224,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.6016845703125
165,Canberra,-35.3,149.1,19790225,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.5606384277344
168,Canberra,-35.3,149.1,19790226,1200,2 metre temperature,2t,14.6999,-35.25,149.25,296.74249267578125
171,Canberra,-35.3,149.1,19790227,1200,2 metre temperature,2t,14.6999,-35.25,149.25,292.4175567626953
174,Canberra,-35.3,149.1,19790228,1200,2 metre temperature,2t,14.6999,-35.25,149.25,289.2155303955078
177,Canberra,-35.3,149.1,19790301,1200,2 metre temperature,2t,14.6999,-35.25,149.25,295.16453552246094
180,Canberra,-35.3,149.1,19790302,1200,2 metre temperature,2t,14.6999,-35.25,149.25,294.28173828125
183,Canberra,-35.3,149.1,19790303,1200,2 metre temperature,2t,14.6999,-35.25,149.25,286.9467010498047
186,Canberra,-35.3,149.1,19790304,1200,2 metre temperature,2t,14.6999,-35.25,149.25,286.985107421875
189,Canberra,-35.3,149.1,19790305,1200,2 metre temperature,2t,14.6999,-35.25,149.25,286.6218566894531
192,Canberra,-35.3,149.1,19790306,1200,2 metre temperature,2t,14.6999,-35.25,149.25,285.10546875
195,Canberra,-35.3,149.1,19790307,1200,2 metre temperature,2t,14.6999,-35.25,149.25,287.06919860839844
