CityName,Longitude,Latitude,Timezone,Country
Berlin,13.404954,52.520008,1,DE
Paris,2.352222,48.856614,1,FR
Stockholm,18.068581,59.329323,1,SE
Bonn,7.098207,50.73743,1,DE
Marseille,5.36978,43.296482,1,FR
Lyon,4.835659,45.764043,1,FR
Oslo,10.752245,59.913869,1,NO
Brussels,4.351721,50.850346,1,BE
Amsterdam,4.895168,52.370216,1,NL
Rome,12.496366,41.902784,1,IT
Naples,14.268124,40.851775,1,IT
Tirana,19.818698,41.327546,1,AL
Belgrade,20.448922,44.786568,1,RS
Warsaw,21.012229,52.229676,1,PL
Prague,14.4378,50.075538,1,CZ
Madrid,-3.70379,40.416775,1,ES
Tunis,10.181532,36.806495,1,TN
Algiers,3.058756,36.753768,1,DZ
Douala,9.767869,4.051056,1,CM
Lagos,3.379206,6.524379,1,NG
Kinshasa,15.266293,-4.441931,1,CD
Lomé,1.231362,6.172497,0,TG
Bangui,18.55819,4.394674,1,CF
London,-0.118092,51.509865,0,GB
Phoenix,-112.074037,33.448377,-7,US
Ciudad Juárez,-106.424548,31.690364,-7,MX
New York City,-74.005973,40.712775,-5,US
Toronto,-79.383184,43.653226,-5,CA
Ottawa,-75.697193,45.42153,-5,CA
Chicago,-87.6297982,41.8781136,-6,US
Barcelona,2.173403,41.385064,1,ES
Vienna,16.373819,48.208174,1,AT
Zürich,8.541694,47.376887,1,CH
Buenos Aires,-58.381559,-34.603684,-3,AR
Rio de Janeiro,-43.172896,-22.906847,-3,BR
Maribor,15.645881,46.554650,1,SI
Roermond,5.987772,51.191320,1,NL
Copenhagen,12.568337,55.676097,1,DK
Milan,9.189982,45.464204,1,IT
Santiago del Cile,-70.669265,-33.448890,-4,CL
Canberra,149.1,-35.3,10,AU
Delhi,77.22,28.65,5,IN
Bishkek,74.61,42.88,6,KG
