,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Ciudad Juárez,31.6904,-106.4245,19790101,1200,2 metre temperature,2t,22.3289,31.5,253.5,276.3565216064453
6,Ciudad Juárez,31.6904,-106.4245,19790102,1200,2 metre temperature,2t,22.3289,31.5,253.5,266.2101287841797
11,Ciudad Juárez,31.6904,-106.4245,19790103,1200,2 metre temperature,2t,22.3289,31.5,253.5,269.04727172851557
16,Ciudad Juárez,31.6904,-106.4245,19790104,1200,2 metre temperature,2t,22.3289,31.5,253.5,273.0468597412109
21,Ciudad Juárez,31.6904,-106.4245,19790105,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.8200225830078
26,Ciudad Juárez,31.6904,-106.4245,19790106,1200,2 metre temperature,2t,22.3289,31.5,253.5,280.184814453125
31,Ciudad Juárez,31.6904,-106.4245,19790107,1200,2 metre temperature,2t,22.3289,31.5,253.5,277.2393798828125
36,Ciudad Juárez,31.6904,-106.4245,19790108,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.11285400390625
41,Ciudad Juárez,31.6904,-106.4245,19790109,1200,2 metre temperature,2t,22.3289,31.5,253.5,271.10818481445307
46,Ciudad Juárez,31.6904,-106.4245,19790110,1200,2 metre temperature,2t,22.3289,31.5,253.5,278.78958129882807
51,Ciudad Juárez,31.6904,-106.4245,19790111,1200,2 metre temperature,2t,22.3289,31.5,253.5,273.335205078125
56,Ciudad Juárez,31.6904,-106.4245,19790112,1200,2 metre temperature,2t,22.3289,31.5,253.5,275.512939453125
61,Ciudad Juárez,31.6904,-106.4245,19790113,1200,2 metre temperature,2t,22.3289,31.5,253.5,281.9046325683594
66,Ciudad Juárez,31.6904,-106.4245,19790114,1200,2 metre temperature,2t,22.3289,31.5,253.5,269.7583465576172
71,Ciudad Juárez,31.6904,-106.4245,19790115,1200,2 metre temperature,2t,22.3289,31.5,253.5,276.2301483154297
76,Ciudad Juárez,31.6904,-106.4245,19790116,1200,2 metre temperature,2t,22.3289,31.5,253.5,278.36068725585943
81,Ciudad Juárez,31.6904,-106.4245,19790117,1200,2 metre temperature,2t,22.3289,31.5,253.5,277.301513671875
86,Ciudad Juárez,31.6904,-106.4245,19790118,1200,2 metre temperature,2t,22.3289,31.5,253.5,282.01002502441406
91,Ciudad Juárez,31.6904,-106.4245,19790119,1200,2 metre temperature,2t,22.3289,31.5,253.5,278.9400634765625
96,Ciudad Juárez,31.6904,-106.4245,19790120,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.50885009765625
101,Ciudad Juárez,31.6904,-106.4245,19790121,1200,2 metre temperature,2t,22.3289,31.5,253.5,273.30108642578125
106,Ciudad Juárez,31.6904,-106.4245,19790122,1200,2 metre temperature,2t,22.3289,31.5,253.5,275.57516479492193
111,Ciudad Juárez,31.6904,-106.4245,19790123,1200,2 metre temperature,2t,22.3289,31.5,253.5,276.17498779296875
116,Ciudad Juárez,31.6904,-106.4245,19790124,1200,2 metre temperature,2t,22.3289,31.5,253.5,273.26309204101557
121,Ciudad Juárez,31.6904,-106.4245,19790125,1200,2 metre temperature,2t,22.3289,31.5,253.5,280.3237152099609
126,Ciudad Juárez,31.6904,-106.4245,19790126,1200,2 metre temperature,2t,22.3289,31.5,253.5,280.8651885986328
131,Ciudad Juárez,31.6904,-106.4245,19790127,1200,2 metre temperature,2t,22.3289,31.5,253.5,271.88641357421875
136,Ciudad Juárez,31.6904,-106.4245,19790128,1200,2 metre temperature,2t,22.3289,31.5,253.5,270.1105499267578
141,Ciudad Juárez,31.6904,-106.4245,19790129,1200,2 metre temperature,2t,22.3289,31.5,253.5,276.0280303955078
146,Ciudad Juárez,31.6904,-106.4245,19790130,1200,2 metre temperature,2t,22.3289,31.5,253.5,270.5771484375
151,Ciudad Juárez,31.6904,-106.4245,19790131,1200,2 metre temperature,2t,22.3289,31.5,253.5,266.9459686279297
156,Ciudad Juárez,31.6904,-106.4245,19790201,1200,2 metre temperature,2t,22.3289,31.5,253.5,271.6991424560547
161,Ciudad Juárez,31.6904,-106.4245,19790202,1200,2 metre temperature,2t,22.3289,31.5,253.5,278.3466339111328
166,Ciudad Juárez,31.6904,-106.4245,19790203,1200,2 metre temperature,2t,22.3289,31.5,253.5,277.78579711914057
171,Ciudad Juárez,31.6904,-106.4245,19790204,1200,2 metre temperature,2t,22.3289,31.5,253.5,275.48678588867193
176,Ciudad Juárez,31.6904,-106.4245,19790205,1200,2 metre temperature,2t,22.3289,31.5,253.5,275.18106079101557
181,Ciudad Juárez,31.6904,-106.4245,19790206,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.7951812744141
186,Ciudad Juárez,31.6904,-106.4245,19790207,1200,2 metre temperature,2t,22.3289,31.5,253.5,270.0315093994141
191,Ciudad Juárez,31.6904,-106.4245,19790208,1200,2 metre temperature,2t,22.3289,31.5,253.5,272.1822509765625
196,Ciudad Juárez,31.6904,-106.4245,19790209,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.1588897705078
201,Ciudad Juárez,31.6904,-106.4245,19790210,1200,2 metre temperature,2t,22.3289,31.5,253.5,275.0258331298828
206,Ciudad Juárez,31.6904,-106.4245,19790211,1200,2 metre temperature,2t,22.3289,31.5,253.5,274.81588745117193
211,Ciudad Juárez,31.6904,-106.4245,19790212,1200,2 metre temperature,2t,22.3289,31.5,253.5,276.2569732666016
216,Ciudad Juárez,31.6904,-106.4245,19790213,1200,2 metre temperature,2t,22.3289,31.5,253.5,278.7819061279297
