,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
2,Copenhagen,55.6761,12.5683,19790101,1200,2 metre temperature,2t,22.6533,55.5,12.75,266.0424346923828
6,Copenhagen,55.6761,12.5683,19790102,1200,2 metre temperature,2t,22.6533,55.5,12.75,266.7905731201172
10,Copenhagen,55.6761,12.5683,19790103,1200,2 metre temperature,2t,22.6533,55.5,12.75,265.94680786132807
14,Copenhagen,55.6761,12.5683,19790104,1200,2 metre temperature,2t,22.6533,55.5,12.75,266.4643096923828
18,Copenhagen,55.6761,12.5683,19790105,1200,2 metre temperature,2t,22.6533,55.5,12.75,266.874252319336
22,Copenhagen,55.6761,12.5683,19790106,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.2822265625
26,Copenhagen,55.6761,12.5683,19790107,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.251220703125
30,Copenhagen,55.6761,12.5683,19790108,1200,2 metre temperature,2t,22.6533,55.5,12.75,274.36328125
34,Copenhagen,55.6761,12.5683,19790109,1200,2 metre temperature,2t,22.6533,55.5,12.75,273.745361328125
38,Copenhagen,55.6761,12.5683,19790110,1200,2 metre temperature,2t,22.6533,55.5,12.75,273.22119140625
42,Copenhagen,55.6761,12.5683,19790111,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.259521484375
46,Copenhagen,55.6761,12.5683,19790112,1200,2 metre temperature,2t,22.6533,55.5,12.75,273.4169921875
50,Copenhagen,55.6761,12.5683,19790113,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.8037109375
54,Copenhagen,55.6761,12.5683,19790114,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.810546875
58,Copenhagen,55.6761,12.5683,19790115,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.1029052734375
62,Copenhagen,55.6761,12.5683,19790116,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.16259765625
66,Copenhagen,55.6761,12.5683,19790117,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.054443359375
70,Copenhagen,55.6761,12.5683,19790118,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.5693359375
74,Copenhagen,55.6761,12.5683,19790119,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.659912109375
78,Copenhagen,55.6761,12.5683,19790120,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.70263671875
82,Copenhagen,55.6761,12.5683,19790121,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.697021484375
86,Copenhagen,55.6761,12.5683,19790122,1200,2 metre temperature,2t,22.6533,55.5,12.75,268.314208984375
90,Copenhagen,55.6761,12.5683,19790123,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.9990234375
94,Copenhagen,55.6761,12.5683,19790124,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.626708984375
98,Copenhagen,55.6761,12.5683,19790125,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.352294921875
102,Copenhagen,55.6761,12.5683,19790126,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.2642364501953
106,Copenhagen,55.6761,12.5683,19790127,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.7332305908203
110,Copenhagen,55.6761,12.5683,19790128,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.6567840576172
114,Copenhagen,55.6761,12.5683,19790129,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.99029541015625
118,Copenhagen,55.6761,12.5683,19790130,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.7298583984375
122,Copenhagen,55.6761,12.5683,19790131,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.05874633789057
126,Copenhagen,55.6761,12.5683,19790201,1200,2 metre temperature,2t,22.6533,55.5,12.75,273.8876953125
130,Copenhagen,55.6761,12.5683,19790202,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.3564453125
134,Copenhagen,55.6761,12.5683,19790203,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.971923828125
138,Copenhagen,55.6761,12.5683,19790204,1200,2 metre temperature,2t,22.6533,55.5,12.75,271.774658203125
142,Copenhagen,55.6761,12.5683,19790205,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.791015625
146,Copenhagen,55.6761,12.5683,19790206,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.515869140625
150,Copenhagen,55.6761,12.5683,19790207,1200,2 metre temperature,2t,22.6533,55.5,12.75,267.75439453125
154,Copenhagen,55.6761,12.5683,19790208,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.06689453125
158,Copenhagen,55.6761,12.5683,19790209,1200,2 metre temperature,2t,22.6533,55.5,12.75,272.31494140625
162,Copenhagen,55.6761,12.5683,19790210,1200,2 metre temperature,2t,22.6533,55.5,12.75,266.40673828125
166,Copenhagen,55.6761,12.5683,19790211,1200,2 metre temperature,2t,22.6533,55.5,12.75,265.379150390625
170,Copenhagen,55.6761,12.5683,19790212,1200,2 metre temperature,2t,22.6533,55.5,12.75,269.278076171875
174,Copenhagen,55.6761,12.5683,19790213,1200,2 metre temperature,2t,22.6533,55.5,12.75,270.5672607421875
178,Copenhagen,55.6761,12.5683,19790214,1200,2 metre temperature,2t,22.6533,55.5,12.75,264.5224151611328
182,Copenhagen,55.6761,12.5683,19790215,1200,2 metre temperature,2t,22.6533,55.5,12.75,267.0005645751953
186,Copenhagen,55.6761,12.5683,19790216,1200,2 metre temperature,2t,22.6533,55.5,12.75,268.643310546875
190,Copenhagen,55.6761,12.5683,19790217,1200,2 metre temperature,2t,22.6533,55.5,12.75,268.396240234375
194,Copenhagen,55.6761,12.5683,19790218,1200,2 metre temperature,2t,22.6533,55.5,12.75,268.917724609375
