,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Delhi,28.65,77.22,19790101,1200,2 metre temperature,2t,16.9252,28.5,77.25,292.3210144042969
4,Delhi,28.65,77.22,19790102,1200,2 metre temperature,2t,16.9252,28.5,77.25,292.2444152832031
7,Delhi,28.65,77.22,19790103,1200,2 metre temperature,2t,16.9252,28.5,77.25,292.95013427734375
10,Delhi,28.65,77.22,19790104,1200,2 metre temperature,2t,16.9252,28.5,77.25,293.6231689453125
13,Delhi,28.65,77.22,19790105,1200,2 metre temperature,2t,16.9252,28.5,77.25,293.4371795654297
16,Delhi,28.65,77.22,19790106,1200,2 metre temperature,2t,16.9252,28.5,77.25,295.27166748046875
19,Delhi,28.65,77.22,19790107,1200,2 metre temperature,2t,16.9252,28.5,77.25,292.1036834716797
22,Delhi,28.65,77.22,19790108,1200,2 metre temperature,2t,16.9252,28.5,77.25,295.8387756347656
25,Delhi,28.65,77.22,19790109,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.53184509277344
28,Delhi,28.65,77.22,19790110,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.15771484375
31,Delhi,28.65,77.22,19790111,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.8699645996094
34,Delhi,28.65,77.22,19790112,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.6658477783203
37,Delhi,28.65,77.22,19790113,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.7572784423828
40,Delhi,28.65,77.22,19790114,1200,2 metre temperature,2t,16.9252,28.5,77.25,294.42774963378906
43,Delhi,28.65,77.22,19790115,1200,2 metre temperature,2t,16.9252,28.5,77.25,292.0146026611328
46,Delhi,28.65,77.22,19790116,1200,2 metre temperature,2t,16.9252,28.5,77.25,288.83042907714844
49,Delhi,28.65,77.22,19790117,1200,2 metre temperature,2t,16.9252,28.5,77.25,290.608154296875
52,Delhi,28.65,77.22,19790118,1200,2 metre temperature,2t,16.9252,28.5,77.25,290.7864227294922
