,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
17,Douala,4.0511,9.7679,19790101,1200,2 metre temperature,2t,33.516,3.75,9.75,301.73162841796875
39,Douala,4.0511,9.7679,19790102,1200,2 metre temperature,2t,33.516,3.75,9.75,301.9018096923828
61,Douala,4.0511,9.7679,19790103,1200,2 metre temperature,2t,33.516,3.75,9.75,302.0455627441406
83,Douala,4.0511,9.7679,19790104,1200,2 metre temperature,2t,33.516,3.75,9.75,301.51873779296875
105,Douala,4.0511,9.7679,19790105,1200,2 metre temperature,2t,33.516,3.75,9.75,302.3811950683594
127,Douala,4.0511,9.7679,19790106,1200,2 metre temperature,2t,33.516,3.75,9.75,302.3662872314453
149,Douala,4.0511,9.7679,19790107,1200,2 metre temperature,2t,33.516,3.75,9.75,301.012939453125
171,Douala,4.0511,9.7679,19790108,1200,2 metre temperature,2t,33.516,3.75,9.75,303.685791015625
193,Douala,4.0511,9.7679,19790109,1200,2 metre temperature,2t,33.516,3.75,9.75,303.04345703125
215,Douala,4.0511,9.7679,19790110,1200,2 metre temperature,2t,33.516,3.75,9.75,301.52099609375
237,Douala,4.0511,9.7679,19790111,1200,2 metre temperature,2t,33.516,3.75,9.75,301.5884094238281
259,Douala,4.0511,9.7679,19790112,1200,2 metre temperature,2t,33.516,3.75,9.75,301.586181640625
281,Douala,4.0511,9.7679,19790113,1200,2 metre temperature,2t,33.516,3.75,9.75,302.572998046875
303,Douala,4.0511,9.7679,19790114,1200,2 metre temperature,2t,33.516,3.75,9.75,301.71826171875
325,Douala,4.0511,9.7679,19790115,1200,2 metre temperature,2t,33.516,3.75,9.75,300.0763244628906
347,Douala,4.0511,9.7679,19790116,1200,2 metre temperature,2t,33.516,3.75,9.75,302.689208984375
369,Douala,4.0511,9.7679,19790117,1200,2 metre temperature,2t,33.516,3.75,9.75,302.334228515625
391,Douala,4.0511,9.7679,19790118,1200,2 metre temperature,2t,33.516,3.75,9.75,302.3212890625
413,Douala,4.0511,9.7679,19790119,1200,2 metre temperature,2t,33.516,3.75,9.75,301.46728515625
435,Douala,4.0511,9.7679,19790120,1200,2 metre temperature,2t,33.516,3.75,9.75,301.767578125
457,Douala,4.0511,9.7679,19790121,1200,2 metre temperature,2t,33.516,3.75,9.75,301.51300048828125
479,Douala,4.0511,9.7679,19790122,1200,2 metre temperature,2t,33.516,3.75,9.75,302.58642578125
501,Douala,4.0511,9.7679,19790123,1200,2 metre temperature,2t,33.516,3.75,9.75,302.17332458496094
523,Douala,4.0511,9.7679,19790124,1200,2 metre temperature,2t,33.516,3.75,9.75,302.63047790527344
545,Douala,4.0511,9.7679,19790125,1200,2 metre temperature,2t,33.516,3.75,9.75,302.07579040527344
567,Douala,4.0511,9.7679,19790126,1200,2 metre temperature,2t,33.516,3.75,9.75,302.90391540527344
589,Douala,4.0511,9.7679,19790127,1200,2 metre temperature,2t,33.516,3.75,9.75,303.3301239013672
611,Douala,4.0511,9.7679,19790128,1200,2 metre temperature,2t,33.516,3.75,9.75,301.10240173339844
633,Douala,4.0511,9.7679,19790129,1200,2 metre temperature,2t,33.516,3.75,9.75,301.1981506347656
655,Douala,4.0511,9.7679,19790130,1200,2 metre temperature,2t,33.516,3.75,9.75,301.6172790527344
677,Douala,4.0511,9.7679,19790131,1200,2 metre temperature,2t,33.516,3.75,9.75,302.10548400878906
699,Douala,4.0511,9.7679,19790201,1200,2 metre temperature,2t,33.516,3.75,9.75,298.43743896484375
721,Douala,4.0511,9.7679,19790202,1200,2 metre temperature,2t,33.516,3.75,9.75,301.71728515625
743,Douala,4.0511,9.7679,19790203,1200,2 metre temperature,2t,33.516,3.75,9.75,300.728515625
765,Douala,4.0511,9.7679,19790204,1200,2 metre temperature,2t,33.516,3.75,9.75,302.0350036621094
787,Douala,4.0511,9.7679,19790205,1200,2 metre temperature,2t,33.516,3.75,9.75,301.2271881103516
809,Douala,4.0511,9.7679,19790206,1200,2 metre temperature,2t,33.516,3.75,9.75,302.7006530761719
831,Douala,4.0511,9.7679,19790207,1200,2 metre temperature,2t,33.516,3.75,9.75,302.992431640625
853,Douala,4.0511,9.7679,19790208,1200,2 metre temperature,2t,33.516,3.75,9.75,302.871826171875
875,Douala,4.0511,9.7679,19790209,1200,2 metre temperature,2t,33.516,3.75,9.75,301.856689453125
897,Douala,4.0511,9.7679,19790210,1200,2 metre temperature,2t,33.516,3.75,9.75,301.8990173339844
919,Douala,4.0511,9.7679,19790211,1200,2 metre temperature,2t,33.516,3.75,9.75,300.8615264892578
941,Douala,4.0511,9.7679,19790212,1200,2 metre temperature,2t,33.516,3.75,9.75,302.9117584228516
963,Douala,4.0511,9.7679,19790213,1200,2 metre temperature,2t,33.516,3.75,9.75,302.5442199707031
985,Douala,4.0511,9.7679,19790214,1200,2 metre temperature,2t,33.516,3.75,9.75,302.41258239746094
1007,Douala,4.0511,9.7679,19790215,1200,2 metre temperature,2t,33.516,3.75,9.75,300.7323455810547
1029,Douala,4.0511,9.7679,19790216,1200,2 metre temperature,2t,33.516,3.75,9.75,300.99658203125
1051,Douala,4.0511,9.7679,19790217,1200,2 metre temperature,2t,33.516,3.75,9.75,303.050048828125
1073,Douala,4.0511,9.7679,19790218,1200,2 metre temperature,2t,33.516,3.75,9.75,301.091552734375
1095,Douala,4.0511,9.7679,19790219,1200,2 metre temperature,2t,33.516,3.75,9.75,302.43359375
1117,Douala,4.0511,9.7679,19790220,1200,2 metre temperature,2t,33.516,3.75,9.75,302.193603515625
1139,Douala,4.0511,9.7679,19790221,1200,2 metre temperature,2t,33.516,3.75,9.75,301.804443359375
1161,Douala,4.0511,9.7679,19790222,1200,2 metre temperature,2t,33.516,3.75,9.75,301.39697265625
1183,Douala,4.0511,9.7679,19790223,1200,2 metre temperature,2t,33.516,3.75,9.75,300.830078125
1205,Douala,4.0511,9.7679,19790224,1200,2 metre temperature,2t,33.516,3.75,9.75,303.06005859375
1227,Douala,4.0511,9.7679,19790225,1200,2 metre temperature,2t,33.516,3.75,9.75,302.205810546875
1249,Douala,4.0511,9.7679,19790226,1200,2 metre temperature,2t,33.516,3.75,9.75,302.41845703125
1271,Douala,4.0511,9.7679,19790227,1200,2 metre temperature,2t,33.516,3.75,9.75,298.82666015625
1293,Douala,4.0511,9.7679,19790228,1200,2 metre temperature,2t,33.516,3.75,9.75,299.6875
1315,Douala,4.0511,9.7679,19790301,1200,2 metre temperature,2t,33.516,3.75,9.75,299.120849609375
1337,Douala,4.0511,9.7679,19790302,1200,2 metre temperature,2t,33.516,3.75,9.75,302.552001953125
1359,Douala,4.0511,9.7679,19790303,1200,2 metre temperature,2t,33.516,3.75,9.75,304.28662109375
1381,Douala,4.0511,9.7679,19790304,1200,2 metre temperature,2t,33.516,3.75,9.75,300.821533203125
1403,Douala,4.0511,9.7679,19790305,1200,2 metre temperature,2t,33.516,3.75,9.75,300.517578125
1425,Douala,4.0511,9.7679,19790306,1200,2 metre temperature,2t,33.516,3.75,9.75,304.21435546875
1447,Douala,4.0511,9.7679,19790307,1200,2 metre temperature,2t,33.516,3.75,9.75,302.216796875
1469,Douala,4.0511,9.7679,19790308,1200,2 metre temperature,2t,33.516,3.75,9.75,303.732666015625
1491,Douala,4.0511,9.7679,19790309,1200,2 metre temperature,2t,33.516,3.75,9.75,303.98583984375
1513,Douala,4.0511,9.7679,19790310,1200,2 metre temperature,2t,33.516,3.75,9.75,301.3515625
1535,Douala,4.0511,9.7679,19790311,1200,2 metre temperature,2t,33.516,3.75,9.75,301.883056640625
1557,Douala,4.0511,9.7679,19790312,1200,2 metre temperature,2t,33.516,3.75,9.75,301.143310546875
1579,Douala,4.0511,9.7679,19790313,1200,2 metre temperature,2t,33.516,3.75,9.75,302.54736328125
1601,Douala,4.0511,9.7679,19790314,1200,2 metre temperature,2t,33.516,3.75,9.75,299.7236328125
1623,Douala,4.0511,9.7679,19790315,1200,2 metre temperature,2t,33.516,3.75,9.75,302.594482421875
1645,Douala,4.0511,9.7679,19790316,1200,2 metre temperature,2t,33.516,3.75,9.75,302.207763671875
1667,Douala,4.0511,9.7679,19790317,1200,2 metre temperature,2t,33.516,3.75,9.75,302.967041015625
1689,Douala,4.0511,9.7679,19790318,1200,2 metre temperature,2t,33.516,3.75,9.75,304.886474609375
1711,Douala,4.0511,9.7679,19790319,1200,2 metre temperature,2t,33.516,3.75,9.75,302.212890625
1733,Douala,4.0511,9.7679,19790320,1200,2 metre temperature,2t,33.516,3.75,9.75,301.826416015625
1755,Douala,4.0511,9.7679,19790321,1200,2 metre temperature,2t,33.516,3.75,9.75,302.926513671875
1777,Douala,4.0511,9.7679,19790322,1200,2 metre temperature,2t,33.516,3.75,9.75,303.225341796875
1799,Douala,4.0511,9.7679,19790323,1200,2 metre temperature,2t,33.516,3.75,9.75,301.964111328125
1821,Douala,4.0511,9.7679,19790324,1200,2 metre temperature,2t,33.516,3.75,9.75,299.74072265625
1843,Douala,4.0511,9.7679,19790325,1200,2 metre temperature,2t,33.516,3.75,9.75,301.95263671875
1865,Douala,4.0511,9.7679,19790326,1200,2 metre temperature,2t,33.516,3.75,9.75,301.954345703125
1887,Douala,4.0511,9.7679,19790327,1200,2 metre temperature,2t,33.516,3.75,9.75,303.240234375
1909,Douala,4.0511,9.7679,19790328,1200,2 metre temperature,2t,33.516,3.75,9.75,302.87646484375
1931,Douala,4.0511,9.7679,19790329,1200,2 metre temperature,2t,33.516,3.75,9.75,300.98046875
