,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
19,Kinshasa,-4.4419,15.2663,19790101,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.91131591796875
41,Kinshasa,-4.4419,15.2663,19790102,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.5795440673828
63,Kinshasa,-4.4419,15.2663,19790103,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.4527893066406
85,Kinshasa,-4.4419,15.2663,19790104,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.04608154296875
107,Kinshasa,-4.4419,15.2663,19790105,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.6468200683594
129,Kinshasa,-4.4419,15.2663,19790106,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.6592559814453
151,Kinshasa,-4.4419,15.2663,19790107,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.366455078125
173,Kinshasa,-4.4419,15.2663,19790108,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.678955078125
195,Kinshasa,-4.4419,15.2663,19790109,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.51416015625
217,Kinshasa,-4.4419,15.2663,19790110,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.40478515625
239,Kinshasa,-4.4419,15.2663,19790111,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.8598937988281
261,Kinshasa,-4.4419,15.2663,19790112,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.195556640625
283,Kinshasa,-4.4419,15.2663,19790113,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.258544921875
305,Kinshasa,-4.4419,15.2663,19790114,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.63330078125
327,Kinshasa,-4.4419,15.2663,19790115,1200,2 metre temperature,2t,30.2015,-4.5,15.0,296.9376525878906
349,Kinshasa,-4.4419,15.2663,19790116,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.000732421875
371,Kinshasa,-4.4419,15.2663,19790117,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.271728515625
393,Kinshasa,-4.4419,15.2663,19790118,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.2548828125
415,Kinshasa,-4.4419,15.2663,19790119,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.87353515625
437,Kinshasa,-4.4419,15.2663,19790120,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.564453125
459,Kinshasa,-4.4419,15.2663,19790121,1200,2 metre temperature,2t,30.2015,-4.5,15.0,296.89093017578125
481,Kinshasa,-4.4419,15.2663,19790122,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.68017578125
503,Kinshasa,-4.4419,15.2663,19790123,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.01316833496094
525,Kinshasa,-4.4419,15.2663,19790124,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.29161071777344
547,Kinshasa,-4.4419,15.2663,19790125,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.68418884277344
569,Kinshasa,-4.4419,15.2663,19790126,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.04258728027344
591,Kinshasa,-4.4419,15.2663,19790127,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.9121551513672
613,Kinshasa,-4.4419,15.2663,19790128,1200,2 metre temperature,2t,30.2015,-4.5,15.0,295.95396423339844
635,Kinshasa,-4.4419,15.2663,19790129,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.7958068847656
657,Kinshasa,-4.4419,15.2663,19790130,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.4493103027344
679,Kinshasa,-4.4419,15.2663,19790131,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.59767150878906
701,Kinshasa,-4.4419,15.2663,19790201,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.17083740234375
723,Kinshasa,-4.4419,15.2663,19790202,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.50927734375
745,Kinshasa,-4.4419,15.2663,19790203,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.1005859375
767,Kinshasa,-4.4419,15.2663,19790204,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.3289489746094
789,Kinshasa,-4.4419,15.2663,19790205,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.1656646728516
811,Kinshasa,-4.4419,15.2663,19790206,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.1938171386719
833,Kinshasa,-4.4419,15.2663,19790207,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.649658203125
855,Kinshasa,-4.4419,15.2663,19790208,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.386474609375
877,Kinshasa,-4.4419,15.2663,19790209,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.496337890625
899,Kinshasa,-4.4419,15.2663,19790210,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.0171813964844
921,Kinshasa,-4.4419,15.2663,19790211,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.7414093017578
943,Kinshasa,-4.4419,15.2663,19790212,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.7223052978516
965,Kinshasa,-4.4419,15.2663,19790213,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.5852355957031
987,Kinshasa,-4.4419,15.2663,19790214,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.28172302246094
1009,Kinshasa,-4.4419,15.2663,19790215,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.4315643310547
1031,Kinshasa,-4.4419,15.2663,19790216,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.87353515625
1053,Kinshasa,-4.4419,15.2663,19790217,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.071533203125
1075,Kinshasa,-4.4419,15.2663,19790218,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.024169921875
1097,Kinshasa,-4.4419,15.2663,19790219,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.740234375
1119,Kinshasa,-4.4419,15.2663,19790220,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.330322265625
1141,Kinshasa,-4.4419,15.2663,19790221,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.300537109375
1163,Kinshasa,-4.4419,15.2663,19790222,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.55224609375
1185,Kinshasa,-4.4419,15.2663,19790223,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.625
1207,Kinshasa,-4.4419,15.2663,19790224,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.60791015625
1229,Kinshasa,-4.4419,15.2663,19790225,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.448974609375
1251,Kinshasa,-4.4419,15.2663,19790226,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.45654296875
1273,Kinshasa,-4.4419,15.2663,19790227,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.91748046875
1295,Kinshasa,-4.4419,15.2663,19790228,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.8896484375
1317,Kinshasa,-4.4419,15.2663,19790301,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.938232421875
1339,Kinshasa,-4.4419,15.2663,19790302,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.403564453125
1361,Kinshasa,-4.4419,15.2663,19790303,1200,2 metre temperature,2t,30.2015,-4.5,15.0,304.77001953125
1383,Kinshasa,-4.4419,15.2663,19790304,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.260986328125
1405,Kinshasa,-4.4419,15.2663,19790305,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.33984375
1427,Kinshasa,-4.4419,15.2663,19790306,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.70849609375
1449,Kinshasa,-4.4419,15.2663,19790307,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.75390625
1471,Kinshasa,-4.4419,15.2663,19790308,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.200439453125
1493,Kinshasa,-4.4419,15.2663,19790309,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.73681640625
1515,Kinshasa,-4.4419,15.2663,19790310,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.9033203125
1537,Kinshasa,-4.4419,15.2663,19790311,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.879150390625
1559,Kinshasa,-4.4419,15.2663,19790312,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.340576171875
1581,Kinshasa,-4.4419,15.2663,19790313,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.02294921875
1603,Kinshasa,-4.4419,15.2663,19790314,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.2626953125
1625,Kinshasa,-4.4419,15.2663,19790315,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.230224609375
1647,Kinshasa,-4.4419,15.2663,19790316,1200,2 metre temperature,2t,30.2015,-4.5,15.0,304.034912109375
1669,Kinshasa,-4.4419,15.2663,19790317,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.013916015625
1691,Kinshasa,-4.4419,15.2663,19790318,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.577880859375
1713,Kinshasa,-4.4419,15.2663,19790319,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.4580078125
1735,Kinshasa,-4.4419,15.2663,19790320,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.681884765625
1757,Kinshasa,-4.4419,15.2663,19790321,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.415771484375
1779,Kinshasa,-4.4419,15.2663,19790322,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.569091796875
1801,Kinshasa,-4.4419,15.2663,19790323,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.982666015625
1823,Kinshasa,-4.4419,15.2663,19790324,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.43505859375
1845,Kinshasa,-4.4419,15.2663,19790325,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.29541015625
1867,Kinshasa,-4.4419,15.2663,19790326,1200,2 metre temperature,2t,30.2015,-4.5,15.0,298.419189453125
1889,Kinshasa,-4.4419,15.2663,19790327,1200,2 metre temperature,2t,30.2015,-4.5,15.0,297.505859375
1911,Kinshasa,-4.4419,15.2663,19790328,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.57275390625
1933,Kinshasa,-4.4419,15.2663,19790329,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.2021484375
1955,Kinshasa,-4.4419,15.2663,19790330,1200,2 metre temperature,2t,30.2015,-4.5,15.0,302.338134765625
1977,Kinshasa,-4.4419,15.2663,19790331,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.982666015625
1999,Kinshasa,-4.4419,15.2663,19790401,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.01171875
2021,Kinshasa,-4.4419,15.2663,19790402,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.930419921875
2043,Kinshasa,-4.4419,15.2663,19790403,1200,2 metre temperature,2t,30.2015,-4.5,15.0,301.4970703125
2065,Kinshasa,-4.4419,15.2663,19790404,1200,2 metre temperature,2t,30.2015,-4.5,15.0,303.77294921875
2087,Kinshasa,-4.4419,15.2663,19790405,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.67041015625
2109,Kinshasa,-4.4419,15.2663,19790406,1200,2 metre temperature,2t,30.2015,-4.5,15.0,299.37939453125
2131,Kinshasa,-4.4419,15.2663,19790407,1200,2 metre temperature,2t,30.2015,-4.5,15.0,300.337890625
