,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
18,Lagos,6.5244,3.3792,19790101,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.46795654296875
40,Lagos,6.5244,3.3792,19790102,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.0961456298828
62,Lagos,6.5244,3.3792,19790103,1200,2 metre temperature,2t,48.0009,6.75,3.75,302.8414611816406
84,Lagos,6.5244,3.3792,19790104,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.57342529296875
106,Lagos,6.5244,3.3792,19790105,1200,2 metre temperature,2t,48.0009,6.75,3.75,302.9202575683594
128,Lagos,6.5244,3.3792,19790106,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.0010528564453
150,Lagos,6.5244,3.3792,19790107,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.207275390625
172,Lagos,6.5244,3.3792,19790108,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.733642578125
194,Lagos,6.5244,3.3792,19790109,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.92236328125
216,Lagos,6.5244,3.3792,19790110,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.63232421875
238,Lagos,6.5244,3.3792,19790111,1200,2 metre temperature,2t,48.0009,6.75,3.75,302.2925109863281
260,Lagos,6.5244,3.3792,19790112,1200,2 metre temperature,2t,48.0009,6.75,3.75,301.918212890625
282,Lagos,6.5244,3.3792,19790113,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.622802734375
304,Lagos,6.5244,3.3792,19790114,1200,2 metre temperature,2t,48.0009,6.75,3.75,302.17919921875
326,Lagos,6.5244,3.3792,19790115,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.0958557128906
348,Lagos,6.5244,3.3792,19790116,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.254638671875
370,Lagos,6.5244,3.3792,19790117,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.012939453125
392,Lagos,6.5244,3.3792,19790118,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.5107421875
414,Lagos,6.5244,3.3792,19790119,1200,2 metre temperature,2t,48.0009,6.75,3.75,303.75439453125
436,Lagos,6.5244,3.3792,19790120,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.0283203125
458,Lagos,6.5244,3.3792,19790121,1200,2 metre temperature,2t,48.0009,6.75,3.75,304.31475830078125
