,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
20,Lomé,6.1725,1.2314,19790101,1200,2 metre temperature,2t,35.338,6.0,1.5,301.51092529296875
42,Lomé,6.1725,1.2314,19790102,1200,2 metre temperature,2t,35.338,6.0,1.5,302.3070831298828
64,Lomé,6.1725,1.2314,19790103,1200,2 metre temperature,2t,35.338,6.0,1.5,301.5240783691406
86,Lomé,6.1725,1.2314,19790104,1200,2 metre temperature,2t,35.338,6.0,1.5,301.04608154296875
108,Lomé,6.1725,1.2314,19790105,1200,2 metre temperature,2t,35.338,6.0,1.5,301.4768981933594
130,Lomé,6.1725,1.2314,19790106,1200,2 metre temperature,2t,35.338,6.0,1.5,302.5547637939453
152,Lomé,6.1725,1.2314,19790107,1200,2 metre temperature,2t,35.338,6.0,1.5,301.643798828125
174,Lomé,6.1725,1.2314,19790108,1200,2 metre temperature,2t,35.338,6.0,1.5,301.674072265625
196,Lomé,6.1725,1.2314,19790109,1200,2 metre temperature,2t,35.338,6.0,1.5,302.00439453125
218,Lomé,6.1725,1.2314,19790110,1200,2 metre temperature,2t,35.338,6.0,1.5,301.90087890625
240,Lomé,6.1725,1.2314,19790111,1200,2 metre temperature,2t,35.338,6.0,1.5,301.5395812988281
262,Lomé,6.1725,1.2314,19790112,1200,2 metre temperature,2t,35.338,6.0,1.5,301.597900390625
284,Lomé,6.1725,1.2314,19790113,1200,2 metre temperature,2t,35.338,6.0,1.5,302.272216796875
306,Lomé,6.1725,1.2314,19790114,1200,2 metre temperature,2t,35.338,6.0,1.5,301.59130859375
328,Lomé,6.1725,1.2314,19790115,1200,2 metre temperature,2t,35.338,6.0,1.5,302.3204650878906
350,Lomé,6.1725,1.2314,19790116,1200,2 metre temperature,2t,35.338,6.0,1.5,302.016357421875
372,Lomé,6.1725,1.2314,19790117,1200,2 metre temperature,2t,35.338,6.0,1.5,301.430908203125
394,Lomé,6.1725,1.2314,19790118,1200,2 metre temperature,2t,35.338,6.0,1.5,302.0966796875
416,Lomé,6.1725,1.2314,19790119,1200,2 metre temperature,2t,35.338,6.0,1.5,301.39599609375
438,Lomé,6.1725,1.2314,19790120,1200,2 metre temperature,2t,35.338,6.0,1.5,301.83203125
460,Lomé,6.1725,1.2314,19790121,1200,2 metre temperature,2t,35.338,6.0,1.5,301.83721923828125
482,Lomé,6.1725,1.2314,19790122,1200,2 metre temperature,2t,35.338,6.0,1.5,301.80712890625
504,Lomé,6.1725,1.2314,19790123,1200,2 metre temperature,2t,35.338,6.0,1.5,301.92332458496094
526,Lomé,6.1725,1.2314,19790124,1200,2 metre temperature,2t,35.338,6.0,1.5,301.87754821777344
548,Lomé,6.1725,1.2314,19790125,1200,2 metre temperature,2t,35.338,6.0,1.5,302.45372009277344
570,Lomé,6.1725,1.2314,19790126,1200,2 metre temperature,2t,35.338,6.0,1.5,302.36875915527344
592,Lomé,6.1725,1.2314,19790127,1200,2 metre temperature,2t,35.338,6.0,1.5,303.6758270263672
614,Lomé,6.1725,1.2314,19790128,1200,2 metre temperature,2t,35.338,6.0,1.5,302.22740173339844
636,Lomé,6.1725,1.2314,19790129,1200,2 metre temperature,2t,35.338,6.0,1.5,301.3485412597656
658,Lomé,6.1725,1.2314,19790130,1200,2 metre temperature,2t,35.338,6.0,1.5,302.6788024902344
680,Lomé,6.1725,1.2314,19790131,1200,2 metre temperature,2t,35.338,6.0,1.5,302.04884338378906
702,Lomé,6.1725,1.2314,19790201,1200,2 metre temperature,2t,35.338,6.0,1.5,300.93157958984375
724,Lomé,6.1725,1.2314,19790202,1200,2 metre temperature,2t,35.338,6.0,1.5,301.61474609375
746,Lomé,6.1725,1.2314,19790203,1200,2 metre temperature,2t,35.338,6.0,1.5,301.224609375
768,Lomé,6.1725,1.2314,19790204,1200,2 metre temperature,2t,35.338,6.0,1.5,301.0193786621094
790,Lomé,6.1725,1.2314,19790205,1200,2 metre temperature,2t,35.338,6.0,1.5,302.5738677978516
812,Lomé,6.1725,1.2314,19790206,1200,2 metre temperature,2t,35.338,6.0,1.5,302.9594421386719
834,Lomé,6.1725,1.2314,19790207,1200,2 metre temperature,2t,35.338,6.0,1.5,302.842041015625
856,Lomé,6.1725,1.2314,19790208,1200,2 metre temperature,2t,35.338,6.0,1.5,302.586669921875
878,Lomé,6.1725,1.2314,19790209,1200,2 metre temperature,2t,35.338,6.0,1.5,302.893798828125
900,Lomé,6.1725,1.2314,19790210,1200,2 metre temperature,2t,35.338,6.0,1.5,301.9537048339844
922,Lomé,6.1725,1.2314,19790211,1200,2 metre temperature,2t,35.338,6.0,1.5,303.1916046142578
944,Lomé,6.1725,1.2314,19790212,1200,2 metre temperature,2t,35.338,6.0,1.5,301.9625396728516
966,Lomé,6.1725,1.2314,19790213,1200,2 metre temperature,2t,35.338,6.0,1.5,302.2922668457031
988,Lomé,6.1725,1.2314,19790214,1200,2 metre temperature,2t,35.338,6.0,1.5,302.88328552246094
1010,Lomé,6.1725,1.2314,19790215,1200,2 metre temperature,2t,35.338,6.0,1.5,301.7850799560547
1032,Lomé,6.1725,1.2314,19790216,1200,2 metre temperature,2t,35.338,6.0,1.5,301.19873046875
1054,Lomé,6.1725,1.2314,19790217,1200,2 metre temperature,2t,35.338,6.0,1.5,301.966064453125
1076,Lomé,6.1725,1.2314,19790218,1200,2 metre temperature,2t,35.338,6.0,1.5,299.964599609375
1098,Lomé,6.1725,1.2314,19790219,1200,2 metre temperature,2t,35.338,6.0,1.5,302.2451171875
1120,Lomé,6.1725,1.2314,19790220,1200,2 metre temperature,2t,35.338,6.0,1.5,302.364501953125
1142,Lomé,6.1725,1.2314,19790221,1200,2 metre temperature,2t,35.338,6.0,1.5,303.099365234375
1164,Lomé,6.1725,1.2314,19790222,1200,2 metre temperature,2t,35.338,6.0,1.5,302.63916015625
1186,Lomé,6.1725,1.2314,19790223,1200,2 metre temperature,2t,35.338,6.0,1.5,301.8310546875
1208,Lomé,6.1725,1.2314,19790224,1200,2 metre temperature,2t,35.338,6.0,1.5,302.26513671875
1230,Lomé,6.1725,1.2314,19790225,1200,2 metre temperature,2t,35.338,6.0,1.5,302.572998046875
1252,Lomé,6.1725,1.2314,19790226,1200,2 metre temperature,2t,35.338,6.0,1.5,301.62548828125
1274,Lomé,6.1725,1.2314,19790227,1200,2 metre temperature,2t,35.338,6.0,1.5,303.06005859375
1296,Lomé,6.1725,1.2314,19790228,1200,2 metre temperature,2t,35.338,6.0,1.5,303.6796875
1318,Lomé,6.1725,1.2314,19790301,1200,2 metre temperature,2t,35.338,6.0,1.5,300.730224609375
1340,Lomé,6.1725,1.2314,19790302,1200,2 metre temperature,2t,35.338,6.0,1.5,301.648681640625
1362,Lomé,6.1725,1.2314,19790303,1200,2 metre temperature,2t,35.338,6.0,1.5,301.69873046875
1384,Lomé,6.1725,1.2314,19790304,1200,2 metre temperature,2t,35.338,6.0,1.5,299.609619140625
1406,Lomé,6.1725,1.2314,19790305,1200,2 metre temperature,2t,35.338,6.0,1.5,302.970703125
1428,Lomé,6.1725,1.2314,19790306,1200,2 metre temperature,2t,35.338,6.0,1.5,303.15673828125
1450,Lomé,6.1725,1.2314,19790307,1200,2 metre temperature,2t,35.338,6.0,1.5,302.4140625
1472,Lomé,6.1725,1.2314,19790308,1200,2 metre temperature,2t,35.338,6.0,1.5,303.411376953125
1494,Lomé,6.1725,1.2314,19790309,1200,2 metre temperature,2t,35.338,6.0,1.5,303.18115234375
1516,Lomé,6.1725,1.2314,19790310,1200,2 metre temperature,2t,35.338,6.0,1.5,302.7001953125
1538,Lomé,6.1725,1.2314,19790311,1200,2 metre temperature,2t,35.338,6.0,1.5,303.028564453125
1560,Lomé,6.1725,1.2314,19790312,1200,2 metre temperature,2t,35.338,6.0,1.5,303.242919921875
1582,Lomé,6.1725,1.2314,19790313,1200,2 metre temperature,2t,35.338,6.0,1.5,303.15478515625
1604,Lomé,6.1725,1.2314,19790314,1200,2 metre temperature,2t,35.338,6.0,1.5,302.3046875
1626,Lomé,6.1725,1.2314,19790315,1200,2 metre temperature,2t,35.338,6.0,1.5,303.391357421875
1648,Lomé,6.1725,1.2314,19790316,1200,2 metre temperature,2t,35.338,6.0,1.5,303.750732421875
1670,Lomé,6.1725,1.2314,19790317,1200,2 metre temperature,2t,35.338,6.0,1.5,303.360595703125
1692,Lomé,6.1725,1.2314,19790318,1200,2 metre temperature,2t,35.338,6.0,1.5,303.677490234375
1714,Lomé,6.1725,1.2314,19790319,1200,2 metre temperature,2t,35.338,6.0,1.5,304.169921875
1736,Lomé,6.1725,1.2314,19790320,1200,2 metre temperature,2t,35.338,6.0,1.5,302.507080078125
1758,Lomé,6.1725,1.2314,19790321,1200,2 metre temperature,2t,35.338,6.0,1.5,302.849365234375
1780,Lomé,6.1725,1.2314,19790322,1200,2 metre temperature,2t,35.338,6.0,1.5,300.568115234375
1802,Lomé,6.1725,1.2314,19790323,1200,2 metre temperature,2t,35.338,6.0,1.5,302.288330078125
1824,Lomé,6.1725,1.2314,19790324,1200,2 metre temperature,2t,35.338,6.0,1.5,300.90380859375
1846,Lomé,6.1725,1.2314,19790325,1200,2 metre temperature,2t,35.338,6.0,1.5,300.54248046875
1868,Lomé,6.1725,1.2314,19790326,1200,2 metre temperature,2t,35.338,6.0,1.5,301.843994140625
1890,Lomé,6.1725,1.2314,19790327,1200,2 metre temperature,2t,35.338,6.0,1.5,303.1796875
1912,Lomé,6.1725,1.2314,19790328,1200,2 metre temperature,2t,35.338,6.0,1.5,303.33056640625
1934,Lomé,6.1725,1.2314,19790329,1200,2 metre temperature,2t,35.338,6.0,1.5,303.013671875
