,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,London,51.5099,-0.1181,19790101,1200,2 metre temperature,2t,27.9027,51.75,0.0,269.0242462158203
4,London,51.5099,-0.1181,19790102,1200,2 metre temperature,2t,27.9027,51.75,0.0,274.0579071044922
8,London,51.5099,-0.1181,19790103,1200,2 metre temperature,2t,27.9027,51.75,0.0,272.4001617431641
12,London,51.5099,-0.1181,19790104,1200,2 metre temperature,2t,27.9027,51.75,0.0,273.1757202148437
16,London,51.5099,-0.1181,19790105,1200,2 metre temperature,2t,27.9027,51.75,0.0,271.364013671875
20,London,51.5099,-0.1181,19790106,1200,2 metre temperature,2t,27.9027,51.75,0.0,269.727783203125
24,London,51.5099,-0.1181,19790107,1200,2 metre temperature,2t,27.9027,51.75,0.0,277.942626953125
28,London,51.5099,-0.1181,19790108,1200,2 metre temperature,2t,27.9027,51.75,0.0,279.4267578125
32,London,51.5099,-0.1181,19790109,1200,2 metre temperature,2t,27.9027,51.75,0.0,276.102783203125
36,London,51.5099,-0.1181,19790110,1200,2 metre temperature,2t,27.9027,51.75,0.0,276.064697265625
40,London,51.5099,-0.1181,19790111,1200,2 metre temperature,2t,27.9027,51.75,0.0,276.3017578125
44,London,51.5099,-0.1181,19790112,1200,2 metre temperature,2t,27.9027,51.75,0.0,274.701171875
48,London,51.5099,-0.1181,19790113,1200,2 metre temperature,2t,27.9027,51.75,0.0,273.0078125
52,London,51.5099,-0.1181,19790114,1200,2 metre temperature,2t,27.9027,51.75,0.0,275.47314453125
56,London,51.5099,-0.1181,19790115,1200,2 metre temperature,2t,27.9027,51.75,0.0,277.441162109375
60,London,51.5099,-0.1181,19790116,1200,2 metre temperature,2t,27.9027,51.75,0.0,277.58349609375
64,London,51.5099,-0.1181,19790117,1200,2 metre temperature,2t,27.9027,51.75,0.0,274.865966796875
68,London,51.5099,-0.1181,19790118,1200,2 metre temperature,2t,27.9027,51.75,0.0,273.017578125
72,London,51.5099,-0.1181,19790119,1200,2 metre temperature,2t,27.9027,51.75,0.0,273.269287109375
76,London,51.5099,-0.1181,19790120,1200,2 metre temperature,2t,27.9027,51.75,0.0,276.1494140625
80,London,51.5099,-0.1181,19790121,1200,2 metre temperature,2t,27.9027,51.75,0.0,274.762451171875
84,London,51.5099,-0.1181,19790122,1200,2 metre temperature,2t,27.9027,51.75,0.0,272.7783203125
