,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
4,Lyon,45.763999999999996,4.8357,19790101,1200,2 metre temperature,2t,26.0731,45.75,4.5,267.69647216796875
26,Lyon,45.763999999999996,4.8357,19790102,1200,2 metre temperature,2t,26.0731,45.75,4.5,268.3637237548828
48,Lyon,45.763999999999996,4.8357,19790103,1200,2 metre temperature,2t,26.0731,45.75,4.5,270.46548461914057
70,Lyon,45.763999999999996,4.8357,19790104,1200,2 metre temperature,2t,26.0731,45.75,4.5,272.70037841796875
92,Lyon,45.763999999999996,4.8357,19790105,1200,2 metre temperature,2t,26.0731,45.75,4.5,274.81283569335943
114,Lyon,45.763999999999996,4.8357,19790106,1200,2 metre temperature,2t,26.0731,45.75,4.5,273.1172637939453
136,Lyon,45.763999999999996,4.8357,19790107,1200,2 metre temperature,2t,26.0731,45.75,4.5,272.495361328125
158,Lyon,45.763999999999996,4.8357,19790108,1200,2 metre temperature,2t,26.0731,45.75,4.5,273.314697265625
180,Lyon,45.763999999999996,4.8357,19790109,1200,2 metre temperature,2t,26.0731,45.75,4.5,276.79443359375
202,Lyon,45.763999999999996,4.8357,19790110,1200,2 metre temperature,2t,26.0731,45.75,4.5,275.16943359375
224,Lyon,45.763999999999996,4.8357,19790111,1200,2 metre temperature,2t,26.0731,45.75,4.5,275.38333129882807
246,Lyon,45.763999999999996,4.8357,19790112,1200,2 metre temperature,2t,26.0731,45.75,4.5,273.792236328125
268,Lyon,45.763999999999996,4.8357,19790113,1200,2 metre temperature,2t,26.0731,45.75,4.5,273.223388671875
290,Lyon,45.763999999999996,4.8357,19790114,1200,2 metre temperature,2t,26.0731,45.75,4.5,270.32080078125
312,Lyon,45.763999999999996,4.8357,19790115,1200,2 metre temperature,2t,26.0731,45.75,4.5,271.45230102539057
334,Lyon,45.763999999999996,4.8357,19790116,1200,2 metre temperature,2t,26.0731,45.75,4.5,269.292724609375
356,Lyon,45.763999999999996,4.8357,19790117,1200,2 metre temperature,2t,26.0731,45.75,4.5,269.323486328125
378,Lyon,45.763999999999996,4.8357,19790118,1200,2 metre temperature,2t,26.0731,45.75,4.5,275.7109375
400,Lyon,45.763999999999996,4.8357,19790119,1200,2 metre temperature,2t,26.0731,45.75,4.5,276.93994140625
422,Lyon,45.763999999999996,4.8357,19790120,1200,2 metre temperature,2t,26.0731,45.75,4.5,277.3017578125
444,Lyon,45.763999999999996,4.8357,19790121,1200,2 metre temperature,2t,26.0731,45.75,4.5,275.56378173828125
466,Lyon,45.763999999999996,4.8357,19790122,1200,2 metre temperature,2t,26.0731,45.75,4.5,277.58447265625
488,Lyon,45.763999999999996,4.8357,19790123,1200,2 metre temperature,2t,26.0731,45.75,4.5,281.0766448974609
510,Lyon,45.763999999999996,4.8357,19790124,1200,2 metre temperature,2t,26.0731,45.75,4.5,276.52989196777344
532,Lyon,45.763999999999996,4.8357,19790125,1200,2 metre temperature,2t,26.0731,45.75,4.5,273.57188415527344
554,Lyon,45.763999999999996,4.8357,19790126,1200,2 metre temperature,2t,26.0731,45.75,4.5,275.23204040527344
576,Lyon,45.763999999999996,4.8357,19790127,1200,2 metre temperature,2t,26.0731,45.75,4.5,279.6211395263672
598,Lyon,45.763999999999996,4.8357,19790128,1200,2 metre temperature,2t,26.0731,45.75,4.5,274.70591735839844
620,Lyon,45.763999999999996,4.8357,19790129,1200,2 metre temperature,2t,26.0731,45.75,4.5,278.93057250976557
