,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
14,Madrid,40.4168,-3.7038,19790101,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.01092529296875
36,Madrid,40.4168,-3.7038,19790102,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.4799346923828
58,Madrid,40.4168,-3.7038,19790103,1200,2 metre temperature,2t,10.0406,40.5,-3.75,281.03384399414057
80,Madrid,40.4168,-3.7038,19790104,1200,2 metre temperature,2t,10.0406,40.5,-3.75,279.86248779296875
102,Madrid,40.4168,-3.7038,19790105,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.40267944335943
124,Madrid,40.4168,-3.7038,19790106,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.0088653564453
146,Madrid,40.4168,-3.7038,19790107,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.312744140625
168,Madrid,40.4168,-3.7038,19790108,1200,2 metre temperature,2t,10.0406,40.5,-3.75,279.891845703125
190,Madrid,40.4168,-3.7038,19790109,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.95849609375
212,Madrid,40.4168,-3.7038,19790110,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.42138671875
234,Madrid,40.4168,-3.7038,19790111,1200,2 metre temperature,2t,10.0406,40.5,-3.75,283.8462219238281
256,Madrid,40.4168,-3.7038,19790112,1200,2 metre temperature,2t,10.0406,40.5,-3.75,284.717041015625
278,Madrid,40.4168,-3.7038,19790113,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.662841796875
300,Madrid,40.4168,-3.7038,19790114,1200,2 metre temperature,2t,10.0406,40.5,-3.75,281.47998046875
322,Madrid,40.4168,-3.7038,19790115,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.82241821289057
344,Madrid,40.4168,-3.7038,19790116,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.108154296875
366,Madrid,40.4168,-3.7038,19790117,1200,2 metre temperature,2t,10.0406,40.5,-3.75,277.603759765625
388,Madrid,40.4168,-3.7038,19790118,1200,2 metre temperature,2t,10.0406,40.5,-3.75,279.4365234375
410,Madrid,40.4168,-3.7038,19790119,1200,2 metre temperature,2t,10.0406,40.5,-3.75,284.30908203125
432,Madrid,40.4168,-3.7038,19790120,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.5673828125
454,Madrid,40.4168,-3.7038,19790121,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.29034423828125
476,Madrid,40.4168,-3.7038,19790122,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.32861328125
498,Madrid,40.4168,-3.7038,19790123,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.79832458496094
520,Madrid,40.4168,-3.7038,19790124,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.39317321777344
542,Madrid,40.4168,-3.7038,19790125,1200,2 metre temperature,2t,10.0406,40.5,-3.75,281.02403259277344
564,Madrid,40.4168,-3.7038,19790126,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.38829040527344
586,Madrid,40.4168,-3.7038,19790127,1200,2 metre temperature,2t,10.0406,40.5,-3.75,283.9648895263672
608,Madrid,40.4168,-3.7038,19790128,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.62193298339844
630,Madrid,40.4168,-3.7038,19790129,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.94326782226557
652,Madrid,40.4168,-3.7038,19790130,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.40341186523443
674,Madrid,40.4168,-3.7038,19790131,1200,2 metre temperature,2t,10.0406,40.5,-3.75,277.923843383789
696,Madrid,40.4168,-3.7038,19790201,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.6317749023437
718,Madrid,40.4168,-3.7038,19790202,1200,2 metre temperature,2t,10.0406,40.5,-3.75,285.41748046875
740,Madrid,40.4168,-3.7038,19790203,1200,2 metre temperature,2t,10.0406,40.5,-3.75,284.4833984375
762,Madrid,40.4168,-3.7038,19790204,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.8123474121094
784,Madrid,40.4168,-3.7038,19790205,1200,2 metre temperature,2t,10.0406,40.5,-3.75,286.0142974853516
806,Madrid,40.4168,-3.7038,19790206,1200,2 metre temperature,2t,10.0406,40.5,-3.75,285.8647155761719
828,Madrid,40.4168,-3.7038,19790207,1200,2 metre temperature,2t,10.0406,40.5,-3.75,284.614501953125
850,Madrid,40.4168,-3.7038,19790208,1200,2 metre temperature,2t,10.0406,40.5,-3.75,285.720458984375
872,Madrid,40.4168,-3.7038,19790209,1200,2 metre temperature,2t,10.0406,40.5,-3.75,287.232666015625
894,Madrid,40.4168,-3.7038,19790210,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.8853454589844
916,Madrid,40.4168,-3.7038,19790211,1200,2 metre temperature,2t,10.0406,40.5,-3.75,282.3917999267578
938,Madrid,40.4168,-3.7038,19790212,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.5767974853516
960,Madrid,40.4168,-3.7038,19790213,1200,2 metre temperature,2t,10.0406,40.5,-3.75,281.00320434570307
982,Madrid,40.4168,-3.7038,19790214,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.5707855224609
1004,Madrid,40.4168,-3.7038,19790215,1200,2 metre temperature,2t,10.0406,40.5,-3.75,279.4686737060547
1026,Madrid,40.4168,-3.7038,19790216,1200,2 metre temperature,2t,10.0406,40.5,-3.75,273.37939453125
1048,Madrid,40.4168,-3.7038,19790217,1200,2 metre temperature,2t,10.0406,40.5,-3.75,276.320556640625
1070,Madrid,40.4168,-3.7038,19790218,1200,2 metre temperature,2t,10.0406,40.5,-3.75,278.315185546875
1092,Madrid,40.4168,-3.7038,19790219,1200,2 metre temperature,2t,10.0406,40.5,-3.75,283.2783203125
1114,Madrid,40.4168,-3.7038,19790220,1200,2 metre temperature,2t,10.0406,40.5,-3.75,281.972900390625
1136,Madrid,40.4168,-3.7038,19790221,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.923583984375
1158,Madrid,40.4168,-3.7038,19790222,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.94970703125
1180,Madrid,40.4168,-3.7038,19790223,1200,2 metre temperature,2t,10.0406,40.5,-3.75,280.3984375
1202,Madrid,40.4168,-3.7038,19790224,1200,2 metre temperature,2t,10.0406,40.5,-3.75,279.11865234375
1224,Madrid,40.4168,-3.7038,19790225,1200,2 metre temperature,2t,10.0406,40.5,-3.75,277.032958984375
