,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,Maribor,46.5547,15.6459,19790101,1200,2 metre temperature,2t,10.0132,46.5,15.75,276.3227081298828
4,Maribor,46.5547,15.6459,19790102,1200,2 metre temperature,2t,10.0132,46.5,15.75,266.2212371826172
8,Maribor,46.5547,15.6459,19790103,1200,2 metre temperature,2t,10.0132,46.5,15.75,267.31985473632807
12,Maribor,46.5547,15.6459,19790104,1200,2 metre temperature,2t,10.0132,46.5,15.75,269.3891143798828
16,Maribor,46.5547,15.6459,19790105,1200,2 metre temperature,2t,10.0132,46.5,15.75,267.734603881836
20,Maribor,46.5547,15.6459,19790106,1200,2 metre temperature,2t,10.0132,46.5,15.75,267.2216796875
24,Maribor,46.5547,15.6459,19790107,1200,2 metre temperature,2t,10.0132,46.5,15.75,268.178466796875
28,Maribor,46.5547,15.6459,19790108,1200,2 metre temperature,2t,10.0132,46.5,15.75,271.3486328125
32,Maribor,46.5547,15.6459,19790109,1200,2 metre temperature,2t,10.0132,46.5,15.75,273.359130859375
36,Maribor,46.5547,15.6459,19790110,1200,2 metre temperature,2t,10.0132,46.5,15.75,274.228515625
40,Maribor,46.5547,15.6459,19790111,1200,2 metre temperature,2t,10.0132,46.5,15.75,274.811279296875
44,Maribor,46.5547,15.6459,19790112,1200,2 metre temperature,2t,10.0132,46.5,15.75,273.02685546875
48,Maribor,46.5547,15.6459,19790113,1200,2 metre temperature,2t,10.0132,46.5,15.75,272.05615234375
52,Maribor,46.5547,15.6459,19790114,1200,2 metre temperature,2t,10.0132,46.5,15.75,273.693359375
56,Maribor,46.5547,15.6459,19790115,1200,2 metre temperature,2t,10.0132,46.5,15.75,273.8524169921875
60,Maribor,46.5547,15.6459,19790116,1200,2 metre temperature,2t,10.0132,46.5,15.75,270.796875
