,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
3,Marseille,43.2965,5.3698,19790101,1200,2 metre temperature,2t,24.5989,43.5,5.25,278.04217529296875
25,Marseille,43.2965,5.3698,19790102,1200,2 metre temperature,2t,24.5989,43.5,5.25,271.3656768798828
47,Marseille,43.2965,5.3698,19790103,1200,2 metre temperature,2t,24.5989,43.5,5.25,274.20181274414057
69,Marseille,43.2965,5.3698,19790104,1200,2 metre temperature,2t,24.5989,43.5,5.25,276.40545654296875
91,Marseille,43.2965,5.3698,19790105,1200,2 metre temperature,2t,24.5989,43.5,5.25,276.85385131835943
113,Marseille,43.2965,5.3698,19790106,1200,2 metre temperature,2t,24.5989,43.5,5.25,279.4024200439453
135,Marseille,43.2965,5.3698,19790107,1200,2 metre temperature,2t,24.5989,43.5,5.25,280.801025390625
157,Marseille,43.2965,5.3698,19790108,1200,2 metre temperature,2t,24.5989,43.5,5.25,278.065673828125
179,Marseille,43.2965,5.3698,19790109,1200,2 metre temperature,2t,24.5989,43.5,5.25,279.95849609375
201,Marseille,43.2965,5.3698,19790110,1200,2 metre temperature,2t,24.5989,43.5,5.25,279.14404296875
223,Marseille,43.2965,5.3698,19790111,1200,2 metre temperature,2t,24.5989,43.5,5.25,278.74368286132807
245,Marseille,43.2965,5.3698,19790112,1200,2 metre temperature,2t,24.5989,43.5,5.25,277.329345703125
267,Marseille,43.2965,5.3698,19790113,1200,2 metre temperature,2t,24.5989,43.5,5.25,277.388427734375
289,Marseille,43.2965,5.3698,19790114,1200,2 metre temperature,2t,24.5989,43.5,5.25,275.65283203125
311,Marseille,43.2965,5.3698,19790115,1200,2 metre temperature,2t,24.5989,43.5,5.25,276.19741821289057
333,Marseille,43.2965,5.3698,19790116,1200,2 metre temperature,2t,24.5989,43.5,5.25,275.601318359375
355,Marseille,43.2965,5.3698,19790117,1200,2 metre temperature,2t,24.5989,43.5,5.25,275.754150390625
377,Marseille,43.2965,5.3698,19790118,1200,2 metre temperature,2t,24.5989,43.5,5.25,277.9140625
399,Marseille,43.2965,5.3698,19790119,1200,2 metre temperature,2t,24.5989,43.5,5.25,278.47119140625
421,Marseille,43.2965,5.3698,19790120,1200,2 metre temperature,2t,24.5989,43.5,5.25,279.4013671875
443,Marseille,43.2965,5.3698,19790121,1200,2 metre temperature,2t,24.5989,43.5,5.25,281.84112548828125
465,Marseille,43.2965,5.3698,19790122,1200,2 metre temperature,2t,24.5989,43.5,5.25,283.12744140625
487,Marseille,43.2965,5.3698,19790123,1200,2 metre temperature,2t,24.5989,43.5,5.25,282.07176208496094
509,Marseille,43.2965,5.3698,19790124,1200,2 metre temperature,2t,24.5989,43.5,5.25,282.35215759277344
531,Marseille,43.2965,5.3698,19790125,1200,2 metre temperature,2t,24.5989,43.5,5.25,279.14219665527344
553,Marseille,43.2965,5.3698,19790126,1200,2 metre temperature,2t,24.5989,43.5,5.25,280.86875915527344
575,Marseille,43.2965,5.3698,19790127,1200,2 metre temperature,2t,24.5989,43.5,5.25,284.0312957763672
597,Marseille,43.2965,5.3698,19790128,1200,2 metre temperature,2t,24.5989,43.5,5.25,281.90904235839844
619,Marseille,43.2965,5.3698,19790129,1200,2 metre temperature,2t,24.5989,43.5,5.25,281.8768615722656
641,Marseille,43.2965,5.3698,19790130,1200,2 metre temperature,2t,24.5989,43.5,5.25,280.15634155273443
663,Marseille,43.2965,5.3698,19790131,1200,2 metre temperature,2t,24.5989,43.5,5.25,280.032241821289
685,Marseille,43.2965,5.3698,19790201,1200,2 metre temperature,2t,24.5989,43.5,5.25,280.1522827148437
707,Marseille,43.2965,5.3698,19790202,1200,2 metre temperature,2t,24.5989,43.5,5.25,284.34423828125
