,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
9,Naples,40.8518,14.2681,19790101,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.98944091796875
31,Naples,40.8518,14.2681,19790102,1200,2 metre temperature,2t,39.1238,40.5,14.25,280.2836456298828
53,Naples,40.8518,14.2681,19790103,1200,2 metre temperature,2t,39.1238,40.5,14.25,276.56704711914057
75,Naples,40.8518,14.2681,19790104,1200,2 metre temperature,2t,39.1238,40.5,14.25,279.86053466796875
97,Naples,40.8518,14.2681,19790105,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.1468200683594
119,Naples,40.8518,14.2681,19790106,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.1055450439453
141,Naples,40.8518,14.2681,19790107,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.743408203125
163,Naples,40.8518,14.2681,19790108,1200,2 metre temperature,2t,39.1238,40.5,14.25,283.541259765625
185,Naples,40.8518,14.2681,19790109,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.35791015625
207,Naples,40.8518,14.2681,19790110,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.32080078125
229,Naples,40.8518,14.2681,19790111,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.5249328613281
251,Naples,40.8518,14.2681,19790112,1200,2 metre temperature,2t,39.1238,40.5,14.25,281.709228515625
273,Naples,40.8518,14.2681,19790113,1200,2 metre temperature,2t,39.1238,40.5,14.25,281.459716796875
295,Naples,40.8518,14.2681,19790114,1200,2 metre temperature,2t,39.1238,40.5,14.25,280.36767578125
317,Naples,40.8518,14.2681,19790115,1200,2 metre temperature,2t,39.1238,40.5,14.25,280.03042602539057
339,Naples,40.8518,14.2681,19790116,1200,2 metre temperature,2t,39.1238,40.5,14.25,279.068115234375
361,Naples,40.8518,14.2681,19790117,1200,2 metre temperature,2t,39.1238,40.5,14.25,279.939697265625
383,Naples,40.8518,14.2681,19790118,1200,2 metre temperature,2t,39.1238,40.5,14.25,279.744140625
405,Naples,40.8518,14.2681,19790119,1200,2 metre temperature,2t,39.1238,40.5,14.25,281.45166015625
427,Naples,40.8518,14.2681,19790120,1200,2 metre temperature,2t,39.1238,40.5,14.25,283.087890625
449,Naples,40.8518,14.2681,19790121,1200,2 metre temperature,2t,39.1238,40.5,14.25,283.76983642578125
471,Naples,40.8518,14.2681,19790122,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.38330078125
493,Naples,40.8518,14.2681,19790123,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.25340270996094
515,Naples,40.8518,14.2681,19790124,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.01719665527344
537,Naples,40.8518,14.2681,19790125,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.59825134277344
559,Naples,40.8518,14.2681,19790126,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.07188415527344
581,Naples,40.8518,14.2681,19790127,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.5488739013672
603,Naples,40.8518,14.2681,19790128,1200,2 metre temperature,2t,39.1238,40.5,14.25,290.00865173339844
625,Naples,40.8518,14.2681,19790129,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.4657287597656
647,Naples,40.8518,14.2681,19790130,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.2891540527344
669,Naples,40.8518,14.2681,19790131,1200,2 metre temperature,2t,39.1238,40.5,14.25,281.71876525878906
691,Naples,40.8518,14.2681,19790201,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.78900146484375
713,Naples,40.8518,14.2681,19790202,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.79931640625
735,Naples,40.8518,14.2681,19790203,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.1728515625
757,Naples,40.8518,14.2681,19790204,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.9109802246094
779,Naples,40.8518,14.2681,19790205,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.3443756103516
801,Naples,40.8518,14.2681,19790206,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.3988952636719
823,Naples,40.8518,14.2681,19790207,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.475830078125
845,Naples,40.8518,14.2681,19790208,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.592529296875
867,Naples,40.8518,14.2681,19790209,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.710205078125
889,Naples,40.8518,14.2681,19790210,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.8804626464844
911,Naples,40.8518,14.2681,19790211,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.7453155517578
933,Naples,40.8518,14.2681,19790212,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.6344146728516
955,Naples,40.8518,14.2681,19790213,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.5071105957031
977,Naples,40.8518,14.2681,19790214,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.08250427246094
999,Naples,40.8518,14.2681,19790215,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.6952362060547
1021,Naples,40.8518,14.2681,19790216,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.32958984375
1043,Naples,40.8518,14.2681,19790217,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.140869140625
1065,Naples,40.8518,14.2681,19790218,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.111083984375
1087,Naples,40.8518,14.2681,19790219,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.4638671875
1109,Naples,40.8518,14.2681,19790220,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.227783203125
1131,Naples,40.8518,14.2681,19790221,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.985107421875
1153,Naples,40.8518,14.2681,19790222,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.38916015625
1175,Naples,40.8518,14.2681,19790223,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.603515625
1197,Naples,40.8518,14.2681,19790224,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.03662109375
1219,Naples,40.8518,14.2681,19790225,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.795654296875
1241,Naples,40.8518,14.2681,19790226,1200,2 metre temperature,2t,39.1238,40.5,14.25,282.45751953125
1263,Naples,40.8518,14.2681,19790227,1200,2 metre temperature,2t,39.1238,40.5,14.25,279.04931640625
1285,Naples,40.8518,14.2681,19790228,1200,2 metre temperature,2t,39.1238,40.5,14.25,280.9423828125
1307,Naples,40.8518,14.2681,19790301,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.891357421875
1329,Naples,40.8518,14.2681,19790302,1200,2 metre temperature,2t,39.1238,40.5,14.25,284.633056640625
1351,Naples,40.8518,14.2681,19790303,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.54638671875
1373,Naples,40.8518,14.2681,19790304,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.163330078125
1395,Naples,40.8518,14.2681,19790305,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.509765625
1417,Naples,40.8518,14.2681,19790306,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.77490234375
1439,Naples,40.8518,14.2681,19790307,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.0263671875
1461,Naples,40.8518,14.2681,19790308,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.259033203125
1483,Naples,40.8518,14.2681,19790309,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.20166015625
1505,Naples,40.8518,14.2681,19790310,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.9541015625
1527,Naples,40.8518,14.2681,19790311,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.532470703125
1549,Naples,40.8518,14.2681,19790312,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.126708984375
1571,Naples,40.8518,14.2681,19790313,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.17724609375
1593,Naples,40.8518,14.2681,19790314,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.6796875
1615,Naples,40.8518,14.2681,19790315,1200,2 metre temperature,2t,39.1238,40.5,14.25,290.111083984375
1637,Naples,40.8518,14.2681,19790316,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.193115234375
1659,Naples,40.8518,14.2681,19790317,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.583251953125
1681,Naples,40.8518,14.2681,19790318,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.947021484375
1703,Naples,40.8518,14.2681,19790319,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.40625
1725,Naples,40.8518,14.2681,19790320,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.384033203125
1747,Naples,40.8518,14.2681,19790321,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.195068359375
1769,Naples,40.8518,14.2681,19790322,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.609130859375
1791,Naples,40.8518,14.2681,19790323,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.998291015625
1813,Naples,40.8518,14.2681,19790324,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.21826171875
1835,Naples,40.8518,14.2681,19790325,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.84912109375
1857,Naples,40.8518,14.2681,19790326,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.766845703125
1879,Naples,40.8518,14.2681,19790327,1200,2 metre temperature,2t,39.1238,40.5,14.25,290.021484375
1901,Naples,40.8518,14.2681,19790328,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.02490234375
1923,Naples,40.8518,14.2681,19790329,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.4814453125
1945,Naples,40.8518,14.2681,19790330,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.311767578125
1967,Naples,40.8518,14.2681,19790331,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.508056640625
1989,Naples,40.8518,14.2681,19790401,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.888671875
2011,Naples,40.8518,14.2681,19790402,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.781982421875
2033,Naples,40.8518,14.2681,19790403,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.7060546875
2055,Naples,40.8518,14.2681,19790404,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.75439453125
2077,Naples,40.8518,14.2681,19790405,1200,2 metre temperature,2t,39.1238,40.5,14.25,288.02490234375
2099,Naples,40.8518,14.2681,19790406,1200,2 metre temperature,2t,39.1238,40.5,14.25,286.42822265625
2121,Naples,40.8518,14.2681,19790407,1200,2 metre temperature,2t,39.1238,40.5,14.25,285.9345703125
2143,Naples,40.8518,14.2681,19790408,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.810546875
2165,Naples,40.8518,14.2681,19790409,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.096923828125
2187,Naples,40.8518,14.2681,19790410,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.324462890625
2209,Naples,40.8518,14.2681,19790411,1200,2 metre temperature,2t,39.1238,40.5,14.25,290.1103515625
2231,Naples,40.8518,14.2681,19790412,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.574462890625
2253,Naples,40.8518,14.2681,19790413,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.057861328125
2275,Naples,40.8518,14.2681,19790414,1200,2 metre temperature,2t,39.1238,40.5,14.25,290.54736328125
2297,Naples,40.8518,14.2681,19790415,1200,2 metre temperature,2t,39.1238,40.5,14.25,291.453369140625
2319,Naples,40.8518,14.2681,19790416,1200,2 metre temperature,2t,39.1238,40.5,14.25,289.83203125
2341,Naples,40.8518,14.2681,19790417,1200,2 metre temperature,2t,39.1238,40.5,14.25,287.205078125
