,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
2,New York City,40.7128,-74.006,19790101,1200,2 metre temperature,2t,31.3538,40.5,285.75,282.5518341064453
7,New York City,40.7128,-74.006,19790102,1200,2 metre temperature,2t,31.3538,40.5,285.75,285.5030975341797
12,New York City,40.7128,-74.006,19790103,1200,2 metre temperature,2t,31.3538,40.5,285.75,267.05606079101557
17,New York City,40.7128,-74.006,19790104,1200,2 metre temperature,2t,31.3538,40.5,285.75,262.7558441162109
22,New York City,40.7128,-74.006,19790105,1200,2 metre temperature,2t,31.3538,40.5,285.75,268.1725616455078
27,New York City,40.7128,-74.006,19790106,1200,2 metre temperature,2t,31.3538,40.5,285.75,270.554931640625
32,New York City,40.7128,-74.006,19790107,1200,2 metre temperature,2t,31.3538,40.5,285.75,271.9991455078125
37,New York City,40.7128,-74.006,19790108,1200,2 metre temperature,2t,31.3538,40.5,285.75,280.96343994140625
42,New York City,40.7128,-74.006,19790109,1200,2 metre temperature,2t,31.3538,40.5,285.75,266.40701293945307
47,New York City,40.7128,-74.006,19790110,1200,2 metre temperature,2t,31.3538,40.5,285.75,265.50442504882807
52,New York City,40.7128,-74.006,19790111,1200,2 metre temperature,2t,31.3538,40.5,285.75,265.385986328125
57,New York City,40.7128,-74.006,19790112,1200,2 metre temperature,2t,31.3538,40.5,285.75,264.105712890625
62,New York City,40.7128,-74.006,19790113,1200,2 metre temperature,2t,31.3538,40.5,285.75,272.52572631835943
67,New York City,40.7128,-74.006,19790114,1200,2 metre temperature,2t,31.3538,40.5,285.75,275.9438934326172
72,New York City,40.7128,-74.006,19790115,1200,2 metre temperature,2t,31.3538,40.5,285.75,267.7281951904297
77,New York City,40.7128,-74.006,19790116,1200,2 metre temperature,2t,31.3538,40.5,285.75,270.15560913085943
82,New York City,40.7128,-74.006,19790117,1200,2 metre temperature,2t,31.3538,40.5,285.75,268.531982421875
87,New York City,40.7128,-74.006,19790118,1200,2 metre temperature,2t,31.3538,40.5,285.75,272.6994781494141
92,New York City,40.7128,-74.006,19790119,1200,2 metre temperature,2t,31.3538,40.5,285.75,259.4342041015625
97,New York City,40.7128,-74.006,19790120,1200,2 metre temperature,2t,31.3538,40.5,285.75,266.26177978515625
102,New York City,40.7128,-74.006,19790121,1200,2 metre temperature,2t,31.3538,40.5,285.75,281.09014892578125
