,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
5,Oslo,59.9139,10.7522,19790101,1200,2 metre temperature,2t,16.9881,60.0,10.5,252.96014404296875
27,Oslo,59.9139,10.7522,19790102,1200,2 metre temperature,2t,16.9881,60.0,10.5,262.8090362548828
49,Oslo,59.9139,10.7522,19790103,1200,2 metre temperature,2t,16.9881,60.0,10.5,260.75747680664057
71,Oslo,59.9139,10.7522,19790104,1200,2 metre temperature,2t,16.9881,60.0,10.5,254.94842529296875
93,Oslo,59.9139,10.7522,19790105,1200,2 metre temperature,2t,16.9881,60.0,10.5,254.83627319335938
115,Oslo,59.9139,10.7522,19790106,1200,2 metre temperature,2t,16.9881,60.0,10.5,265.8203887939453
137,Oslo,59.9139,10.7522,19790107,1200,2 metre temperature,2t,16.9881,60.0,10.5,276.304931640625
159,Oslo,59.9139,10.7522,19790108,1200,2 metre temperature,2t,16.9881,60.0,10.5,271.008056640625
181,Oslo,59.9139,10.7522,19790109,1200,2 metre temperature,2t,16.9881,60.0,10.5,265.65283203125
203,Oslo,59.9139,10.7522,19790110,1200,2 metre temperature,2t,16.9881,60.0,10.5,266.31298828125
225,Oslo,59.9139,10.7522,19790111,1200,2 metre temperature,2t,16.9881,60.0,10.5,268.77005004882807
247,Oslo,59.9139,10.7522,19790112,1200,2 metre temperature,2t,16.9881,60.0,10.5,268.993408203125
269,Oslo,59.9139,10.7522,19790113,1200,2 metre temperature,2t,16.9881,60.0,10.5,266.897216796875
291,Oslo,59.9139,10.7522,19790114,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.83837890625
313,Oslo,59.9139,10.7522,19790115,1200,2 metre temperature,2t,16.9881,60.0,10.5,260.07925415039057
335,Oslo,59.9139,10.7522,19790116,1200,2 metre temperature,2t,16.9881,60.0,10.5,264.659912109375
357,Oslo,59.9139,10.7522,19790117,1200,2 metre temperature,2t,16.9881,60.0,10.5,267.760009765625
379,Oslo,59.9139,10.7522,19790118,1200,2 metre temperature,2t,16.9881,60.0,10.5,269.474609375
401,Oslo,59.9139,10.7522,19790119,1200,2 metre temperature,2t,16.9881,60.0,10.5,269.30322265625
423,Oslo,59.9139,10.7522,19790120,1200,2 metre temperature,2t,16.9881,60.0,10.5,266.810546875
445,Oslo,59.9139,10.7522,19790121,1200,2 metre temperature,2t,16.9881,60.0,10.5,266.65362548828125
467,Oslo,59.9139,10.7522,19790122,1200,2 metre temperature,2t,16.9881,60.0,10.5,264.59228515625
489,Oslo,59.9139,10.7522,19790123,1200,2 metre temperature,2t,16.9881,60.0,10.5,264.7426605224609
511,Oslo,59.9139,10.7522,19790124,1200,2 metre temperature,2t,16.9881,60.0,10.5,265.49961853027344
533,Oslo,59.9139,10.7522,19790125,1200,2 metre temperature,2t,16.9881,60.0,10.5,260.66172790527344
555,Oslo,59.9139,10.7522,19790126,1200,2 metre temperature,2t,16.9881,60.0,10.5,252.60118103027344
577,Oslo,59.9139,10.7522,19790127,1200,2 metre temperature,2t,16.9881,60.0,10.5,254.9941864013672
599,Oslo,59.9139,10.7522,19790128,1200,2 metre temperature,2t,16.9881,60.0,10.5,258.50083923339844
621,Oslo,59.9139,10.7522,19790129,1200,2 metre temperature,2t,16.9881,60.0,10.5,261.07608032226557
643,Oslo,59.9139,10.7522,19790130,1200,2 metre temperature,2t,16.9881,60.0,10.5,260.52841186523443
665,Oslo,59.9139,10.7522,19790131,1200,2 metre temperature,2t,16.9881,60.0,10.5,262.954116821289
687,Oslo,59.9139,10.7522,19790201,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.0253295898437
709,Oslo,59.9139,10.7522,19790202,1200,2 metre temperature,2t,16.9881,60.0,10.5,262.32666015625
731,Oslo,59.9139,10.7522,19790203,1200,2 metre temperature,2t,16.9881,60.0,10.5,261.2470703125
753,Oslo,59.9139,10.7522,19790204,1200,2 metre temperature,2t,16.9881,60.0,10.5,264.13461303710943
775,Oslo,59.9139,10.7522,19790205,1200,2 metre temperature,2t,16.9881,60.0,10.5,262.6109771728516
797,Oslo,59.9139,10.7522,19790206,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.91549682617193
819,Oslo,59.9139,10.7522,19790207,1200,2 metre temperature,2t,16.9881,60.0,10.5,269.108642578125
841,Oslo,59.9139,10.7522,19790208,1200,2 metre temperature,2t,16.9881,60.0,10.5,270.923583984375
863,Oslo,59.9139,10.7522,19790209,1200,2 metre temperature,2t,16.9881,60.0,10.5,271.324462890625
885,Oslo,59.9139,10.7522,19790210,1200,2 metre temperature,2t,16.9881,60.0,10.5,271.65292358398443
907,Oslo,59.9139,10.7522,19790211,1200,2 metre temperature,2t,16.9881,60.0,10.5,267.0050811767578
929,Oslo,59.9139,10.7522,19790212,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.1197662353516
951,Oslo,59.9139,10.7522,19790213,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.80984497070307
973,Oslo,59.9139,10.7522,19790214,1200,2 metre temperature,2t,16.9881,60.0,10.5,258.8559417724609
995,Oslo,59.9139,10.7522,19790215,1200,2 metre temperature,2t,16.9881,60.0,10.5,261.5858612060547
1017,Oslo,59.9139,10.7522,19790216,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.01416015625
1039,Oslo,59.9139,10.7522,19790217,1200,2 metre temperature,2t,16.9881,60.0,10.5,262.144775390625
1061,Oslo,59.9139,10.7522,19790218,1200,2 metre temperature,2t,16.9881,60.0,10.5,265.347412109375
1083,Oslo,59.9139,10.7522,19790219,1200,2 metre temperature,2t,16.9881,60.0,10.5,268.4111328125
1105,Oslo,59.9139,10.7522,19790220,1200,2 metre temperature,2t,16.9881,60.0,10.5,268.885986328125
1127,Oslo,59.9139,10.7522,19790221,1200,2 metre temperature,2t,16.9881,60.0,10.5,270.121826171875
1149,Oslo,59.9139,10.7522,19790222,1200,2 metre temperature,2t,16.9881,60.0,10.5,268.29833984375
1171,Oslo,59.9139,10.7522,19790223,1200,2 metre temperature,2t,16.9881,60.0,10.5,269.880859375
1193,Oslo,59.9139,10.7522,19790224,1200,2 metre temperature,2t,16.9881,60.0,10.5,272.86572265625
1215,Oslo,59.9139,10.7522,19790225,1200,2 metre temperature,2t,16.9881,60.0,10.5,273.050537109375
1237,Oslo,59.9139,10.7522,19790226,1200,2 metre temperature,2t,16.9881,60.0,10.5,275.91259765625
1259,Oslo,59.9139,10.7522,19790227,1200,2 metre temperature,2t,16.9881,60.0,10.5,275.03759765625
1281,Oslo,59.9139,10.7522,19790228,1200,2 metre temperature,2t,16.9881,60.0,10.5,274.056640625
1303,Oslo,59.9139,10.7522,19790301,1200,2 metre temperature,2t,16.9881,60.0,10.5,271.347412109375
1325,Oslo,59.9139,10.7522,19790302,1200,2 metre temperature,2t,16.9881,60.0,10.5,273.646728515625
1347,Oslo,59.9139,10.7522,19790303,1200,2 metre temperature,2t,16.9881,60.0,10.5,279.77978515625
1369,Oslo,59.9139,10.7522,19790304,1200,2 metre temperature,2t,16.9881,60.0,10.5,277.264892578125
1391,Oslo,59.9139,10.7522,19790305,1200,2 metre temperature,2t,16.9881,60.0,10.5,278.2646484375
1413,Oslo,59.9139,10.7522,19790306,1200,2 metre temperature,2t,16.9881,60.0,10.5,277.67431640625
1435,Oslo,59.9139,10.7522,19790307,1200,2 metre temperature,2t,16.9881,60.0,10.5,272.7861328125
1457,Oslo,59.9139,10.7522,19790308,1200,2 metre temperature,2t,16.9881,60.0,10.5,276.747314453125
1479,Oslo,59.9139,10.7522,19790309,1200,2 metre temperature,2t,16.9881,60.0,10.5,274.24267578125
1501,Oslo,59.9139,10.7522,19790310,1200,2 metre temperature,2t,16.9881,60.0,10.5,274.4365234375
1523,Oslo,59.9139,10.7522,19790311,1200,2 metre temperature,2t,16.9881,60.0,10.5,274.012939453125
1545,Oslo,59.9139,10.7522,19790312,1200,2 metre temperature,2t,16.9881,60.0,10.5,272.140380859375
1567,Oslo,59.9139,10.7522,19790313,1200,2 metre temperature,2t,16.9881,60.0,10.5,271.94873046875
1589,Oslo,59.9139,10.7522,19790314,1200,2 metre temperature,2t,16.9881,60.0,10.5,272.025390625
1611,Oslo,59.9139,10.7522,19790315,1200,2 metre temperature,2t,16.9881,60.0,10.5,270.102294921875
1633,Oslo,59.9139,10.7522,19790316,1200,2 metre temperature,2t,16.9881,60.0,10.5,267.762451171875
1655,Oslo,59.9139,10.7522,19790317,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.002197265625
1677,Oslo,59.9139,10.7522,19790318,1200,2 metre temperature,2t,16.9881,60.0,10.5,263.309326171875
