,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
4,Ottawa,45.4215,-75.6972,19790101,1200,2 metre temperature,2t,36.7343,45.75,284.25,278.3242950439453
9,Ottawa,45.4215,-75.6972,19790102,1200,2 metre temperature,2t,36.7343,45.75,284.25,267.7765350341797
14,Ottawa,45.4215,-75.6972,19790103,1200,2 metre temperature,2t,36.7343,45.75,284.25,255.4037170410156
19,Ottawa,45.4215,-75.6972,19790104,1200,2 metre temperature,2t,36.7343,45.75,284.25,259.6835784912109
24,Ottawa,45.4215,-75.6972,19790105,1200,2 metre temperature,2t,36.7343,45.75,284.25,255.6188507080078
29,Ottawa,45.4215,-75.6972,19790106,1200,2 metre temperature,2t,36.7343,45.75,284.25,256.312744140625
34,Ottawa,45.4215,-75.6972,19790107,1200,2 metre temperature,2t,36.7343,45.75,284.25,261.1368408203125
39,Ottawa,45.4215,-75.6972,19790108,1200,2 metre temperature,2t,36.7343,45.75,284.25,262.78179931640625
44,Ottawa,45.4215,-75.6972,19790109,1200,2 metre temperature,2t,36.7343,45.75,284.25,258.94119262695307
49,Ottawa,45.4215,-75.6972,19790110,1200,2 metre temperature,2t,36.7343,45.75,284.25,253.3540344238281
54,Ottawa,45.4215,-75.6972,19790111,1200,2 metre temperature,2t,36.7343,45.75,284.25,244.121337890625
59,Ottawa,45.4215,-75.6972,19790112,1200,2 metre temperature,2t,36.7343,45.75,284.25,246.955322265625
64,Ottawa,45.4215,-75.6972,19790113,1200,2 metre temperature,2t,36.7343,45.75,284.25,256.35385131835943
69,Ottawa,45.4215,-75.6972,19790114,1200,2 metre temperature,2t,36.7343,45.75,284.25,270.2876434326172
74,Ottawa,45.4215,-75.6972,19790115,1200,2 metre temperature,2t,36.7343,45.75,284.25,253.0768280029297
79,Ottawa,45.4215,-75.6972,19790116,1200,2 metre temperature,2t,36.7343,45.75,284.25,258.02377319335943
84,Ottawa,45.4215,-75.6972,19790117,1200,2 metre temperature,2t,36.7343,45.75,284.25,248.048583984375
89,Ottawa,45.4215,-75.6972,19790118,1200,2 metre temperature,2t,36.7343,45.75,284.25,252.5442047119141
94,Ottawa,45.4215,-75.6972,19790119,1200,2 metre temperature,2t,36.7343,45.75,284.25,246.2730712890625
99,Ottawa,45.4215,-75.6972,19790120,1200,2 metre temperature,2t,36.7343,45.75,284.25,255.82427978515625
104,Ottawa,45.4215,-75.6972,19790121,1200,2 metre temperature,2t,36.7343,45.75,284.25,265.32647705078125
109,Ottawa,45.4215,-75.6972,19790122,1200,2 metre temperature,2t,36.7343,45.75,284.25,265.97067260742193
114,Ottawa,45.4215,-75.6972,19790123,1200,2 metre temperature,2t,36.7343,45.75,284.25,260.12908935546875
119,Ottawa,45.4215,-75.6972,19790124,1200,2 metre temperature,2t,36.7343,45.75,284.25,262.57559204101557
124,Ottawa,45.4215,-75.6972,19790125,1200,2 metre temperature,2t,36.7343,45.75,284.25,272.2729339599609
129,Ottawa,45.4215,-75.6972,19790126,1200,2 metre temperature,2t,36.7343,45.75,284.25,275.6083526611328
134,Ottawa,45.4215,-75.6972,19790127,1200,2 metre temperature,2t,36.7343,45.75,284.25,274.04461669921875
139,Ottawa,45.4215,-75.6972,19790128,1200,2 metre temperature,2t,36.7343,45.75,284.25,274.5021514892578
144,Ottawa,45.4215,-75.6972,19790129,1200,2 metre temperature,2t,36.7343,45.75,284.25,271.4059600830078
149,Ottawa,45.4215,-75.6972,19790130,1200,2 metre temperature,2t,36.7343,45.75,284.25,265.4443359375
154,Ottawa,45.4215,-75.6972,19790131,1200,2 metre temperature,2t,36.7343,45.75,284.25,262.6080780029297
159,Ottawa,45.4215,-75.6972,19790201,1200,2 metre temperature,2t,36.7343,45.75,284.25,260.1884002685547
