,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,Paris,48.8566,2.3522,19790101,1200,2 metre temperature,2t,14.0132,48.75,2.25,267.66326904296875
22,Paris,48.8566,2.3522,19790102,1200,2 metre temperature,2t,14.0132,48.75,2.25,272.4975128173828
44,Paris,48.8566,2.3522,19790103,1200,2 metre temperature,2t,14.0132,48.75,2.25,270.79751586914057
66,Paris,48.8566,2.3522,19790104,1200,2 metre temperature,2t,14.0132,48.75,2.25,270.96795654296875
88,Paris,48.8566,2.3522,19790105,1200,2 metre temperature,2t,14.0132,48.75,2.25,267.73275756835943
110,Paris,48.8566,2.3522,19790106,1200,2 metre temperature,2t,14.0132,48.75,2.25,267.0225372314453
132,Paris,48.8566,2.3522,19790107,1200,2 metre temperature,2t,14.0132,48.75,2.25,266.934814453125
154,Paris,48.8566,2.3522,19790108,1200,2 metre temperature,2t,14.0132,48.75,2.25,268.718994140625
176,Paris,48.8566,2.3522,19790109,1200,2 metre temperature,2t,14.0132,48.75,2.25,274.24658203125
198,Paris,48.8566,2.3522,19790110,1200,2 metre temperature,2t,14.0132,48.75,2.25,275.48193359375
220,Paris,48.8566,2.3522,19790111,1200,2 metre temperature,2t,14.0132,48.75,2.25,275.78176879882807
242,Paris,48.8566,2.3522,19790112,1200,2 metre temperature,2t,14.0132,48.75,2.25,275.386962890625
264,Paris,48.8566,2.3522,19790113,1200,2 metre temperature,2t,14.0132,48.75,2.25,273.961669921875
286,Paris,48.8566,2.3522,19790114,1200,2 metre temperature,2t,14.0132,48.75,2.25,270.82568359375
308,Paris,48.8566,2.3522,19790115,1200,2 metre temperature,2t,14.0132,48.75,2.25,273.14077758789057
330,Paris,48.8566,2.3522,19790116,1200,2 metre temperature,2t,14.0132,48.75,2.25,271.357177734375
352,Paris,48.8566,2.3522,19790117,1200,2 metre temperature,2t,14.0132,48.75,2.25,268.883056640625
374,Paris,48.8566,2.3522,19790118,1200,2 metre temperature,2t,14.0132,48.75,2.25,269.341796875
396,Paris,48.8566,2.3522,19790119,1200,2 metre temperature,2t,14.0132,48.75,2.25,275.43994140625
418,Paris,48.8566,2.3522,19790120,1200,2 metre temperature,2t,14.0132,48.75,2.25,278.48046875
440,Paris,48.8566,2.3522,19790121,1200,2 metre temperature,2t,14.0132,48.75,2.25,275.43194580078125
