,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
0,Phoenix,33.4484,-112.074,19790101,1200,2 metre temperature,2t,44.9811,33.75,248.25,273.6280059814453
5,Phoenix,33.4484,-112.074,19790102,1200,2 metre temperature,2t,44.9811,33.75,248.25,270.4425506591797
10,Phoenix,33.4484,-112.074,19790103,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.13516235351557
15,Phoenix,33.4484,-112.074,19790104,1200,2 metre temperature,2t,44.9811,33.75,248.25,274.6093597412109
20,Phoenix,33.4484,-112.074,19790105,1200,2 metre temperature,2t,44.9811,33.75,248.25,279.2340850830078
25,Phoenix,33.4484,-112.074,19790106,1200,2 metre temperature,2t,44.9811,33.75,248.25,280.222900390625
30,Phoenix,33.4484,-112.074,19790107,1200,2 metre temperature,2t,44.9811,33.75,248.25,281.4464111328125
35,Phoenix,33.4484,-112.074,19790108,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.38824462890625
40,Phoenix,33.4484,-112.074,19790109,1200,2 metre temperature,2t,44.9811,33.75,248.25,277.36502075195307
45,Phoenix,33.4484,-112.074,19790110,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.17337036132807
50,Phoenix,33.4484,-112.074,19790111,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.201416015625
55,Phoenix,33.4484,-112.074,19790112,1200,2 metre temperature,2t,44.9811,33.75,248.25,278.440673828125
60,Phoenix,33.4484,-112.074,19790113,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.01498413085943
65,Phoenix,33.4484,-112.074,19790114,1200,2 metre temperature,2t,44.9811,33.75,248.25,274.0298309326172
70,Phoenix,33.4484,-112.074,19790115,1200,2 metre temperature,2t,44.9811,33.75,248.25,279.6481170654297
75,Phoenix,33.4484,-112.074,19790116,1200,2 metre temperature,2t,44.9811,33.75,248.25,281.06576538085943
80,Phoenix,33.4484,-112.074,19790117,1200,2 metre temperature,2t,44.9811,33.75,248.25,282.717529296875
85,Phoenix,33.4484,-112.074,19790118,1200,2 metre temperature,2t,44.9811,33.75,248.25,280.3860015869141
90,Phoenix,33.4484,-112.074,19790119,1200,2 metre temperature,2t,44.9811,33.75,248.25,277.3892822265625
95,Phoenix,33.4484,-112.074,19790120,1200,2 metre temperature,2t,44.9811,33.75,248.25,273.18951416015625
100,Phoenix,33.4484,-112.074,19790121,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.28350830078125
105,Phoenix,33.4484,-112.074,19790122,1200,2 metre temperature,2t,44.9811,33.75,248.25,279.97164916992193
110,Phoenix,33.4484,-112.074,19790123,1200,2 metre temperature,2t,44.9811,33.75,248.25,273.55682373046875
115,Phoenix,33.4484,-112.074,19790124,1200,2 metre temperature,2t,44.9811,33.75,248.25,274.59707641601557
120,Phoenix,33.4484,-112.074,19790125,1200,2 metre temperature,2t,44.9811,33.75,248.25,277.0912933349609
125,Phoenix,33.4484,-112.074,19790126,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.0976104736328
130,Phoenix,33.4484,-112.074,19790127,1200,2 metre temperature,2t,44.9811,33.75,248.25,270.56317138671875
135,Phoenix,33.4484,-112.074,19790128,1200,2 metre temperature,2t,44.9811,33.75,248.25,271.4464874267578
140,Phoenix,33.4484,-112.074,19790129,1200,2 metre temperature,2t,44.9811,33.75,248.25,272.2174835205078
145,Phoenix,33.4484,-112.074,19790130,1200,2 metre temperature,2t,44.9811,33.75,248.25,266.89453125
150,Phoenix,33.4484,-112.074,19790131,1200,2 metre temperature,2t,44.9811,33.75,248.25,269.2819061279297
155,Phoenix,33.4484,-112.074,19790201,1200,2 metre temperature,2t,44.9811,33.75,248.25,277.1893768310547
160,Phoenix,33.4484,-112.074,19790202,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.5878448486328
165,Phoenix,33.4484,-112.074,19790203,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.07095336914057
170,Phoenix,33.4484,-112.074,19790204,1200,2 metre temperature,2t,44.9811,33.75,248.25,273.86373901367193
175,Phoenix,33.4484,-112.074,19790205,1200,2 metre temperature,2t,44.9811,33.75,248.25,274.77481079101557
180,Phoenix,33.4484,-112.074,19790206,1200,2 metre temperature,2t,44.9811,33.75,248.25,272.0549468994141
185,Phoenix,33.4484,-112.074,19790207,1200,2 metre temperature,2t,44.9811,33.75,248.25,273.3527984619141
190,Phoenix,33.4484,-112.074,19790208,1200,2 metre temperature,2t,44.9811,33.75,248.25,274.2486572265625
195,Phoenix,33.4484,-112.074,19790209,1200,2 metre temperature,2t,44.9811,33.75,248.25,275.1852569580078
200,Phoenix,33.4484,-112.074,19790210,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.6215362548828
205,Phoenix,33.4484,-112.074,19790211,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.36666870117193
210,Phoenix,33.4484,-112.074,19790212,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.7608795166016
215,Phoenix,33.4484,-112.074,19790213,1200,2 metre temperature,2t,44.9811,33.75,248.25,276.4664764404297
220,Phoenix,33.4484,-112.074,19790214,1200,2 metre temperature,2t,44.9811,33.75,248.25,279.9607391357422
225,Phoenix,33.4484,-112.074,19790215,1200,2 metre temperature,2t,44.9811,33.75,248.25,277.8627319335937
