,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
13,Prague,50.0755,14.4378,19790101,1200,2 metre temperature,2t,23.5515,50.25,14.25,254.54412841796875
35,Prague,50.0755,14.4378,19790102,1200,2 metre temperature,2t,23.5515,50.25,14.25,263.2016143798828
57,Prague,50.0755,14.4378,19790103,1200,2 metre temperature,2t,23.5515,50.25,14.25,264.25161743164057
79,Prague,50.0755,14.4378,19790104,1200,2 metre temperature,2t,23.5515,50.25,14.25,264.41131591796875
101,Prague,50.0755,14.4378,19790105,1200,2 metre temperature,2t,23.5515,50.25,14.25,262.47689819335943
123,Prague,50.0755,14.4378,19790106,1200,2 metre temperature,2t,23.5515,50.25,14.25,261.9209747314453
145,Prague,50.0755,14.4378,19790107,1200,2 metre temperature,2t,23.5515,50.25,14.25,264.688720703125
167,Prague,50.0755,14.4378,19790108,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.595947265625
189,Prague,50.0755,14.4378,19790109,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.76318359375
211,Prague,50.0755,14.4378,19790110,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.07373046875
233,Prague,50.0755,14.4378,19790111,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.62161254882807
255,Prague,50.0755,14.4378,19790112,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.024658203125
277,Prague,50.0755,14.4378,19790113,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.533935546875
299,Prague,50.0755,14.4378,19790114,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.69580078125
321,Prague,50.0755,14.4378,19790115,1200,2 metre temperature,2t,23.5515,50.25,14.25,269.32925415039057
343,Prague,50.0755,14.4378,19790116,1200,2 metre temperature,2t,23.5515,50.25,14.25,270.611083984375
365,Prague,50.0755,14.4378,19790117,1200,2 metre temperature,2t,23.5515,50.25,14.25,270.424072265625
387,Prague,50.0755,14.4378,19790118,1200,2 metre temperature,2t,23.5515,50.25,14.25,266.1826171875
409,Prague,50.0755,14.4378,19790119,1200,2 metre temperature,2t,23.5515,50.25,14.25,267.58740234375
431,Prague,50.0755,14.4378,19790120,1200,2 metre temperature,2t,23.5515,50.25,14.25,268.427734375
453,Prague,50.0755,14.4378,19790121,1200,2 metre temperature,2t,23.5515,50.25,14.25,267.12823486328125
475,Prague,50.0755,14.4378,19790122,1200,2 metre temperature,2t,23.5515,50.25,14.25,268.81787109375
497,Prague,50.0755,14.4378,19790123,1200,2 metre temperature,2t,23.5515,50.25,14.25,269.8871917724609
519,Prague,50.0755,14.4378,19790124,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.26329040527344
541,Prague,50.0755,14.4378,19790125,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.57188415527344
563,Prague,50.0755,14.4378,19790126,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.01329040527344
585,Prague,50.0755,14.4378,19790127,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.4394989013672
607,Prague,50.0755,14.4378,19790128,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.89732360839844
629,Prague,50.0755,14.4378,19790129,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.03994750976557
651,Prague,50.0755,14.4378,19790130,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.61337280273443
673,Prague,50.0755,14.4378,19790131,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.029312133789
695,Prague,50.0755,14.4378,19790201,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.4999389648437
717,Prague,50.0755,14.4378,19790202,1200,2 metre temperature,2t,23.5515,50.25,14.25,276.79443359375
739,Prague,50.0755,14.4378,19790203,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.330078125
761,Prague,50.0755,14.4378,19790204,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.72250366210943
783,Prague,50.0755,14.4378,19790205,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.8131256103516
805,Prague,50.0755,14.4378,19790206,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.00631713867193
827,Prague,50.0755,14.4378,19790207,1200,2 metre temperature,2t,23.5515,50.25,14.25,270.601806640625
849,Prague,50.0755,14.4378,19790208,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.477294921875
871,Prague,50.0755,14.4378,19790209,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.386962890625
893,Prague,50.0755,14.4378,19790210,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.24374389648443
915,Prague,50.0755,14.4378,19790211,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.0011749267578
937,Prague,50.0755,14.4378,19790212,1200,2 metre temperature,2t,23.5515,50.25,14.25,271.7896881103516
959,Prague,50.0755,14.4378,19790213,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.08914184570307
981,Prague,50.0755,14.4378,19790214,1200,2 metre temperature,2t,23.5515,50.25,14.25,277.2368011474609
1003,Prague,50.0755,14.4378,19790215,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.7352752685547
1025,Prague,50.0755,14.4378,19790216,1200,2 metre temperature,2t,23.5515,50.25,14.25,269.68017578125
1047,Prague,50.0755,14.4378,19790217,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.100830078125
1069,Prague,50.0755,14.4378,19790218,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.157958984375
1091,Prague,50.0755,14.4378,19790219,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.0048828125
1113,Prague,50.0755,14.4378,19790220,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.720947265625
1135,Prague,50.0755,14.4378,19790221,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.916748046875
1157,Prague,50.0755,14.4378,19790222,1200,2 metre temperature,2t,23.5515,50.25,14.25,274.57080078125
1179,Prague,50.0755,14.4378,19790223,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.9404296875
1201,Prague,50.0755,14.4378,19790224,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.92822265625
1223,Prague,50.0755,14.4378,19790225,1200,2 metre temperature,2t,23.5515,50.25,14.25,270.769287109375
1245,Prague,50.0755,14.4378,19790226,1200,2 metre temperature,2t,23.5515,50.25,14.25,272.46533203125
1267,Prague,50.0755,14.4378,19790227,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.08251953125
1289,Prague,50.0755,14.4378,19790228,1200,2 metre temperature,2t,23.5515,50.25,14.25,273.6201171875
1311,Prague,50.0755,14.4378,19790301,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.242919921875
1333,Prague,50.0755,14.4378,19790302,1200,2 metre temperature,2t,23.5515,50.25,14.25,277.987548828125
1355,Prague,50.0755,14.4378,19790303,1200,2 metre temperature,2t,23.5515,50.25,14.25,280.21923828125
1377,Prague,50.0755,14.4378,19790304,1200,2 metre temperature,2t,23.5515,50.25,14.25,281.035400390625
1399,Prague,50.0755,14.4378,19790305,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.6767578125
1421,Prague,50.0755,14.4378,19790306,1200,2 metre temperature,2t,23.5515,50.25,14.25,277.38916015625
1443,Prague,50.0755,14.4378,19790307,1200,2 metre temperature,2t,23.5515,50.25,14.25,279.810546875
1465,Prague,50.0755,14.4378,19790308,1200,2 metre temperature,2t,23.5515,50.25,14.25,278.054931640625
1487,Prague,50.0755,14.4378,19790309,1200,2 metre temperature,2t,23.5515,50.25,14.25,279.66455078125
1509,Prague,50.0755,14.4378,19790310,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.5849609375
1531,Prague,50.0755,14.4378,19790311,1200,2 metre temperature,2t,23.5515,50.25,14.25,275.118408203125
1553,Prague,50.0755,14.4378,19790312,1200,2 metre temperature,2t,23.5515,50.25,14.25,280.017333984375
1575,Prague,50.0755,14.4378,19790313,1200,2 metre temperature,2t,23.5515,50.25,14.25,279.70263671875
1597,Prague,50.0755,14.4378,19790314,1200,2 metre temperature,2t,23.5515,50.25,14.25,278.51953125
