,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Rio de Janeiro,-22.9068,-43.1729,19790101,1200,2 metre temperature,2t,50.7223,-23.25,316.5,300.061279296875
3,Rio de Janeiro,-22.9068,-43.1729,19790102,1200,2 metre temperature,2t,50.7223,-23.25,316.5,298.22509765625
5,Rio de Janeiro,-22.9068,-43.1729,19790103,1200,2 metre temperature,2t,50.7223,-23.25,316.5,298.708740234375
7,Rio de Janeiro,-22.9068,-43.1729,19790104,1200,2 metre temperature,2t,50.7223,-23.25,316.5,297.843994140625
9,Rio de Janeiro,-22.9068,-43.1729,19790105,1200,2 metre temperature,2t,50.7223,-23.25,316.5,296.354248046875
11,Rio de Janeiro,-22.9068,-43.1729,19790106,1200,2 metre temperature,2t,50.7223,-23.25,316.5,296.36962890625
13,Rio de Janeiro,-22.9068,-43.1729,19790107,1200,2 metre temperature,2t,50.7223,-23.25,316.5,296.82763671875
15,Rio de Janeiro,-22.9068,-43.1729,19790108,1200,2 metre temperature,2t,50.7223,-23.25,316.5,295.982177734375
17,Rio de Janeiro,-22.9068,-43.1729,19790109,1200,2 metre temperature,2t,50.7223,-23.25,316.5,295.904052734375
19,Rio de Janeiro,-22.9068,-43.1729,19790110,1200,2 metre temperature,2t,50.7223,-23.25,316.5,296.593017578125
21,Rio de Janeiro,-22.9068,-43.1729,19790111,1200,2 metre temperature,2t,50.7223,-23.25,316.5,297.2578125
23,Rio de Janeiro,-22.9068,-43.1729,19790112,1200,2 metre temperature,2t,50.7223,-23.25,316.5,297.626953125
25,Rio de Janeiro,-22.9068,-43.1729,19790113,1200,2 metre temperature,2t,50.7223,-23.25,316.5,297.33154296875
27,Rio de Janeiro,-22.9068,-43.1729,19790114,1200,2 metre temperature,2t,50.7223,-23.25,316.5,295.84814453125
29,Rio de Janeiro,-22.9068,-43.1729,19790115,1200,2 metre temperature,2t,50.7223,-23.25,316.5,297.201904296875
31,Rio de Janeiro,-22.9068,-43.1729,19790116,1200,2 metre temperature,2t,50.7223,-23.25,316.5,298.22119140625
