,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Roermond,51.1913,5.9878,19790101,1200,2 metre temperature,2t,21.2791,51.0,6.0,262.8051300048828
5,Roermond,51.1913,5.9878,19790102,1200,2 metre temperature,2t,21.2791,51.0,6.0,264.9106903076172
9,Roermond,51.1913,5.9878,19790103,1200,2 metre temperature,2t,21.2791,51.0,6.0,267.39016723632807
13,Roermond,51.1913,5.9878,19790104,1200,2 metre temperature,2t,21.2791,51.0,6.0,265.9691925048828
17,Roermond,51.1913,5.9878,19790105,1200,2 metre temperature,2t,21.2791,51.0,6.0,262.657455444336
21,Roermond,51.1913,5.9878,19790106,1200,2 metre temperature,2t,21.2791,51.0,6.0,263.7724609375
25,Roermond,51.1913,5.9878,19790107,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.965576171875
29,Roermond,51.1913,5.9878,19790108,1200,2 metre temperature,2t,21.2791,51.0,6.0,271.1962890625
33,Roermond,51.1913,5.9878,19790109,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.103271484375
37,Roermond,51.1913,5.9878,19790110,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.0908203125
41,Roermond,51.1913,5.9878,19790111,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.472900390625
45,Roermond,51.1913,5.9878,19790112,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.26806640625
49,Roermond,51.1913,5.9878,19790113,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.41650390625
53,Roermond,51.1913,5.9878,19790114,1200,2 metre temperature,2t,21.2791,51.0,6.0,271.55224609375
57,Roermond,51.1913,5.9878,19790115,1200,2 metre temperature,2t,21.2791,51.0,6.0,270.0867919921875
61,Roermond,51.1913,5.9878,19790116,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.17626953125
65,Roermond,51.1913,5.9878,19790117,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.125244140625
69,Roermond,51.1913,5.9878,19790118,1200,2 metre temperature,2t,21.2791,51.0,6.0,269.5498046875
73,Roermond,51.1913,5.9878,19790119,1200,2 metre temperature,2t,21.2791,51.0,6.0,271.283935546875
77,Roermond,51.1913,5.9878,19790120,1200,2 metre temperature,2t,21.2791,51.0,6.0,271.38623046875
81,Roermond,51.1913,5.9878,19790121,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.085693359375
85,Roermond,51.1913,5.9878,19790122,1200,2 metre temperature,2t,21.2791,51.0,6.0,270.111572265625
89,Roermond,51.1913,5.9878,19790123,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.6806640625
93,Roermond,51.1913,5.9878,19790124,1200,2 metre temperature,2t,21.2791,51.0,6.0,272.648193359375
97,Roermond,51.1913,5.9878,19790125,1200,2 metre temperature,2t,21.2791,51.0,6.0,272.763427734375
101,Roermond,51.1913,5.9878,19790126,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.1831817626953
105,Roermond,51.1913,5.9878,19790127,1200,2 metre temperature,2t,21.2791,51.0,6.0,272.8728790283203
109,Roermond,51.1913,5.9878,19790128,1200,2 metre temperature,2t,21.2791,51.0,6.0,270.6216278076172
113,Roermond,51.1913,5.9878,19790129,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.81842041015625
117,Roermond,51.1913,5.9878,19790130,1200,2 metre temperature,2t,21.2791,51.0,6.0,275.5452880859375
121,Roermond,51.1913,5.9878,19790131,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.44448852539057
125,Roermond,51.1913,5.9878,19790201,1200,2 metre temperature,2t,21.2791,51.0,6.0,275.0673828125
129,Roermond,51.1913,5.9878,19790202,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.5966796875
133,Roermond,51.1913,5.9878,19790203,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.686767578125
137,Roermond,51.1913,5.9878,19790204,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.639404296875
141,Roermond,51.1913,5.9878,19790205,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.84375
145,Roermond,51.1913,5.9878,19790206,1200,2 metre temperature,2t,21.2791,51.0,6.0,272.523681640625
149,Roermond,51.1913,5.9878,19790207,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.9228515625
153,Roermond,51.1913,5.9878,19790208,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.88525390625
157,Roermond,51.1913,5.9878,19790209,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.37841796875
161,Roermond,51.1913,5.9878,19790210,1200,2 metre temperature,2t,21.2791,51.0,6.0,273.95068359375
165,Roermond,51.1913,5.9878,19790211,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.568603515625
169,Roermond,51.1913,5.9878,19790212,1200,2 metre temperature,2t,21.2791,51.0,6.0,278.910888671875
173,Roermond,51.1913,5.9878,19790213,1200,2 metre temperature,2t,21.2791,51.0,6.0,280.4295654296875
177,Roermond,51.1913,5.9878,19790214,1200,2 metre temperature,2t,21.2791,51.0,6.0,274.7509307861328
181,Roermond,51.1913,5.9878,19790215,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.4165802001953
185,Roermond,51.1913,5.9878,19790216,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.218505859375
189,Roermond,51.1913,5.9878,19790217,1200,2 metre temperature,2t,21.2791,51.0,6.0,267.495361328125
193,Roermond,51.1913,5.9878,19790218,1200,2 metre temperature,2t,21.2791,51.0,6.0,268.415283203125
