,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
8,Rome,41.9028,12.4964,19790101,1200,2 metre temperature,2t,23.5834,42.0,12.75,286.64178466796875
30,Rome,41.9028,12.4964,19790102,1200,2 metre temperature,2t,23.5834,42.0,12.75,274.5600128173828
52,Rome,41.9028,12.4964,19790103,1200,2 metre temperature,2t,23.5834,42.0,12.75,272.06216430664057
74,Rome,41.9028,12.4964,19790104,1200,2 metre temperature,2t,23.5834,42.0,12.75,274.83123779296875
96,Rome,41.9028,12.4964,19790105,1200,2 metre temperature,2t,23.5834,42.0,12.75,279.42807006835943
118,Rome,41.9028,12.4964,19790106,1200,2 metre temperature,2t,23.5834,42.0,12.75,279.7979278564453
140,Rome,41.9028,12.4964,19790107,1200,2 metre temperature,2t,23.5834,42.0,12.75,281.972900390625
162,Rome,41.9028,12.4964,19790108,1200,2 metre temperature,2t,23.5834,42.0,12.75,280.120361328125
184,Rome,41.9028,12.4964,19790109,1200,2 metre temperature,2t,23.5834,42.0,12.75,281.21826171875
206,Rome,41.9028,12.4964,19790110,1200,2 metre temperature,2t,23.5834,42.0,12.75,283.20068359375
228,Rome,41.9028,12.4964,19790111,1200,2 metre temperature,2t,23.5834,42.0,12.75,283.5932922363281
250,Rome,41.9028,12.4964,19790112,1200,2 metre temperature,2t,23.5834,42.0,12.75,279.520751953125
272,Rome,41.9028,12.4964,19790113,1200,2 metre temperature,2t,23.5834,42.0,12.75,278.462646484375
294,Rome,41.9028,12.4964,19790114,1200,2 metre temperature,2t,23.5834,42.0,12.75,277.44091796875
316,Rome,41.9028,12.4964,19790115,1200,2 metre temperature,2t,23.5834,42.0,12.75,278.61245727539057
338,Rome,41.9028,12.4964,19790116,1200,2 metre temperature,2t,23.5834,42.0,12.75,275.783935546875
360,Rome,41.9028,12.4964,19790117,1200,2 metre temperature,2t,23.5834,42.0,12.75,275.930908203125
382,Rome,41.9028,12.4964,19790118,1200,2 metre temperature,2t,23.5834,42.0,12.75,276.189453125
404,Rome,41.9028,12.4964,19790119,1200,2 metre temperature,2t,23.5834,42.0,12.75,278.36474609375
426,Rome,41.9028,12.4964,19790120,1200,2 metre temperature,2t,23.5834,42.0,12.75,279.8046875
448,Rome,41.9028,12.4964,19790121,1200,2 metre temperature,2t,23.5834,42.0,12.75,280.60577392578125
470,Rome,41.9028,12.4964,19790122,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.26611328125
492,Rome,41.9028,12.4964,19790123,1200,2 metre temperature,2t,23.5834,42.0,12.75,283.57176208496094
514,Rome,41.9028,12.4964,19790124,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.99766540527344
536,Rome,41.9028,12.4964,19790125,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.11582946777344
558,Rome,41.9028,12.4964,19790126,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.32969665527344
580,Rome,41.9028,12.4964,19790127,1200,2 metre temperature,2t,23.5834,42.0,12.75,286.3223114013672
602,Rome,41.9028,12.4964,19790128,1200,2 metre temperature,2t,23.5834,42.0,12.75,288.71568298339844
624,Rome,41.9028,12.4964,19790129,1200,2 metre temperature,2t,23.5834,42.0,12.75,283.9315490722656
646,Rome,41.9028,12.4964,19790130,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.1690368652344
668,Rome,41.9028,12.4964,19790131,1200,2 metre temperature,2t,23.5834,42.0,12.75,279.978530883789
690,Rome,41.9028,12.4964,19790201,1200,2 metre temperature,2t,23.5834,42.0,12.75,281.68255615234375
712,Rome,41.9028,12.4964,19790202,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.51220703125
734,Rome,41.9028,12.4964,19790203,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.7900390625
756,Rome,41.9028,12.4964,19790204,1200,2 metre temperature,2t,23.5834,42.0,12.75,286.0691833496094
778,Rome,41.9028,12.4964,19790205,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.1139068603516
800,Rome,41.9028,12.4964,19790206,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.6654968261719
822,Rome,41.9028,12.4964,19790207,1200,2 metre temperature,2t,23.5834,42.0,12.75,284.302001953125
844,Rome,41.9028,12.4964,19790208,1200,2 metre temperature,2t,23.5834,42.0,12.75,285.226318359375
866,Rome,41.9028,12.4964,19790209,1200,2 metre temperature,2t,23.5834,42.0,12.75,283.895751953125
888,Rome,41.9028,12.4964,19790210,1200,2 metre temperature,2t,23.5834,42.0,12.75,289.2984313964844
910,Rome,41.9028,12.4964,19790211,1200,2 metre temperature,2t,23.5834,42.0,12.75,287.6759796142578
932,Rome,41.9028,12.4964,19790212,1200,2 metre temperature,2t,23.5834,42.0,12.75,286.6793365478516
