CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
Santiago del Cile,-33.4489,-70.6693,19790101,1200,2 metre temperature,2t,36.9498,-33.75,289.5,286.082763671875
Santiago del Cile,-33.4489,-70.6693,19790102,1200,2 metre temperature,2t,36.9498,-33.75,289.5,286.513916015625
Santiago del Cile,-33.4489,-70.6693,19790103,1200,2 metre temperature,2t,36.9498,-33.75,289.5,285.51025390625
Santiago del Cile,-33.4489,-70.6693,19790104,1200,2 metre temperature,2t,36.9498,-33.75,289.5,288.320068359375
Santiago del Cile,-33.4489,-70.6693,19790105,1200,2 metre temperature,2t,36.9498,-33.75,289.5,288.779296875
Santiago del Cile,-33.4489,-70.6693,19790106,1200,2 metre temperature,2t,36.9498,-33.75,289.5,288.009765625
Santiago del Cile,-33.4489,-70.6693,19790107,1200,2 metre temperature,2t,36.9498,-33.75,289.5,287.692138671875
Santiago del Cile,-33.4489,-70.6693,19790108,1200,2 metre temperature,2t,36.9498,-33.75,289.5,287.194580078125
Santiago del Cile,-33.4489,-70.6693,19790109,1200,2 metre temperature,2t,36.9498,-33.75,289.5,288.01708984375
Santiago del Cile,-33.4489,-70.6693,19790110,1200,2 metre temperature,2t,36.9498,-33.75,289.5,287.294921875
Santiago del Cile,-33.4489,-70.6693,19790111,1200,2 metre temperature,2t,36.9498,-33.75,289.5,286.89453125
Santiago del Cile,-33.4489,-70.6693,19790112,1200,2 metre temperature,2t,36.9498,-33.75,289.5,282.12744140625
Santiago del Cile,-33.4489,-70.6693,19790113,1200,2 metre temperature,2t,36.9498,-33.75,289.5,283.92041015625
Santiago del Cile,-33.4489,-70.6693,19790114,1200,2 metre temperature,2t,36.9498,-33.75,289.5,287.35009765625
Santiago del Cile,-33.4489,-70.6693,19790115,1200,2 metre temperature,2t,36.9498,-33.75,289.5,287.956787109375
Santiago del Cile,-33.4489,-70.6693,19790116,1200,2 metre temperature,2t,36.9498,-33.75,289.5,286.506103515625
