,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
1,Stockholm,59.3293,18.0686,19790101,1200,2 metre temperature,2t,9.6365,59.25,18.0,260.18084716796875
23,Stockholm,59.3293,18.0686,19790102,1200,2 metre temperature,2t,9.6365,59.25,18.0,264.7377471923828
45,Stockholm,59.3293,18.0686,19790103,1200,2 metre temperature,2t,9.6365,59.25,18.0,265.59439086914057
67,Stockholm,59.3293,18.0686,19790104,1200,2 metre temperature,2t,9.6365,59.25,18.0,264.92303466796875
89,Stockholm,59.3293,18.0686,19790105,1200,2 metre temperature,2t,9.6365,59.25,18.0,264.23275756835943
111,Stockholm,59.3293,18.0686,19790106,1200,2 metre temperature,2t,9.6365,59.25,18.0,259.7901153564453
133,Stockholm,59.3293,18.0686,19790107,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.696533203125
155,Stockholm,59.3293,18.0686,19790108,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.567626953125
177,Stockholm,59.3293,18.0686,19790109,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.06396484375
199,Stockholm,59.3293,18.0686,19790110,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.62841796875
221,Stockholm,59.3293,18.0686,19790111,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.90188598632807
243,Stockholm,59.3293,18.0686,19790112,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.920166015625
265,Stockholm,59.3293,18.0686,19790113,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.020263671875
287,Stockholm,59.3293,18.0686,19790114,1200,2 metre temperature,2t,9.6365,59.25,18.0,272.35009765625
309,Stockholm,59.3293,18.0686,19790115,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.89956665039057
331,Stockholm,59.3293,18.0686,19790116,1200,2 metre temperature,2t,9.6365,59.25,18.0,267.860107421875
353,Stockholm,59.3293,18.0686,19790117,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.070556640625
375,Stockholm,59.3293,18.0686,19790118,1200,2 metre temperature,2t,9.6365,59.25,18.0,269.376953125
397,Stockholm,59.3293,18.0686,19790119,1200,2 metre temperature,2t,9.6365,59.25,18.0,268.97216796875
419,Stockholm,59.3293,18.0686,19790120,1200,2 metre temperature,2t,9.6365,59.25,18.0,265.5234375
441,Stockholm,59.3293,18.0686,19790121,1200,2 metre temperature,2t,9.6365,59.25,18.0,269.44171142578125
463,Stockholm,59.3293,18.0686,19790122,1200,2 metre temperature,2t,9.6365,59.25,18.0,268.23388671875
485,Stockholm,59.3293,18.0686,19790123,1200,2 metre temperature,2t,9.6365,59.25,18.0,266.7700042724609
507,Stockholm,59.3293,18.0686,19790124,1200,2 metre temperature,2t,9.6365,59.25,18.0,267.08653259277344
529,Stockholm,59.3293,18.0686,19790125,1200,2 metre temperature,2t,9.6365,59.25,18.0,260.43418884277344
551,Stockholm,59.3293,18.0686,19790126,1200,2 metre temperature,2t,9.6365,59.25,18.0,263.01133728027344
573,Stockholm,59.3293,18.0686,19790127,1200,2 metre temperature,2t,9.6365,59.25,18.0,257.4687957763672
595,Stockholm,59.3293,18.0686,19790128,1200,2 metre temperature,2t,9.6365,59.25,18.0,257.53208923339844
617,Stockholm,59.3293,18.0686,19790129,1200,2 metre temperature,2t,9.6365,59.25,18.0,268.06045532226557
639,Stockholm,59.3293,18.0686,19790130,1200,2 metre temperature,2t,9.6365,59.25,18.0,268.01473999023443
661,Stockholm,59.3293,18.0686,19790131,1200,2 metre temperature,2t,9.6365,59.25,18.0,267.098648071289
683,Stockholm,59.3293,18.0686,19790201,1200,2 metre temperature,2t,9.6365,59.25,18.0,265.9081420898437
705,Stockholm,59.3293,18.0686,19790202,1200,2 metre temperature,2t,9.6365,59.25,18.0,269.14306640625
727,Stockholm,59.3293,18.0686,19790203,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.9599609375
749,Stockholm,59.3293,18.0686,19790204,1200,2 metre temperature,2t,9.6365,59.25,18.0,263.13949584960943
771,Stockholm,59.3293,18.0686,19790205,1200,2 metre temperature,2t,9.6365,59.25,18.0,260.9537506103516
793,Stockholm,59.3293,18.0686,19790206,1200,2 metre temperature,2t,9.6365,59.25,18.0,260.09225463867193
815,Stockholm,59.3293,18.0686,19790207,1200,2 metre temperature,2t,9.6365,59.25,18.0,269.230712890625
837,Stockholm,59.3293,18.0686,19790208,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.355224609375
859,Stockholm,59.3293,18.0686,19790209,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.389892578125
881,Stockholm,59.3293,18.0686,19790210,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.82284545898443
903,Stockholm,59.3293,18.0686,19790211,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.3478546142578
925,Stockholm,59.3293,18.0686,19790212,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.0308990478516
947,Stockholm,59.3293,18.0686,19790213,1200,2 metre temperature,2t,9.6365,59.25,18.0,260.30398559570307
969,Stockholm,59.3293,18.0686,19790214,1200,2 metre temperature,2t,9.6365,59.25,18.0,257.9887542724609
991,Stockholm,59.3293,18.0686,19790215,1200,2 metre temperature,2t,9.6365,59.25,18.0,261.3583221435547
1013,Stockholm,59.3293,18.0686,19790216,1200,2 metre temperature,2t,9.6365,59.25,18.0,264.49560546875
1035,Stockholm,59.3293,18.0686,19790217,1200,2 metre temperature,2t,9.6365,59.25,18.0,266.160400390625
1057,Stockholm,59.3293,18.0686,19790218,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.542724609375
1079,Stockholm,59.3293,18.0686,19790219,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.041015625
1101,Stockholm,59.3293,18.0686,19790220,1200,2 metre temperature,2t,9.6365,59.25,18.0,274.350830078125
1123,Stockholm,59.3293,18.0686,19790221,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.719482421875
1145,Stockholm,59.3293,18.0686,19790222,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.68896484375
1167,Stockholm,59.3293,18.0686,19790223,1200,2 metre temperature,2t,9.6365,59.25,18.0,271.4482421875
1189,Stockholm,59.3293,18.0686,19790224,1200,2 metre temperature,2t,9.6365,59.25,18.0,274.79931640625
1211,Stockholm,59.3293,18.0686,19790225,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.320068359375
1233,Stockholm,59.3293,18.0686,19790226,1200,2 metre temperature,2t,9.6365,59.25,18.0,277.15380859375
1255,Stockholm,59.3293,18.0686,19790227,1200,2 metre temperature,2t,9.6365,59.25,18.0,278.23974609375
1277,Stockholm,59.3293,18.0686,19790228,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.189453125
1299,Stockholm,59.3293,18.0686,19790301,1200,2 metre temperature,2t,9.6365,59.25,18.0,275.235107421875
1321,Stockholm,59.3293,18.0686,19790302,1200,2 metre temperature,2t,9.6365,59.25,18.0,275.738525390625
1343,Stockholm,59.3293,18.0686,19790303,1200,2 metre temperature,2t,9.6365,59.25,18.0,279.26708984375
1365,Stockholm,59.3293,18.0686,19790304,1200,2 metre temperature,2t,9.6365,59.25,18.0,278.578369140625
1387,Stockholm,59.3293,18.0686,19790305,1200,2 metre temperature,2t,9.6365,59.25,18.0,279.322265625
1409,Stockholm,59.3293,18.0686,19790306,1200,2 metre temperature,2t,9.6365,59.25,18.0,279.63232421875
1431,Stockholm,59.3293,18.0686,19790307,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.990234375
1453,Stockholm,59.3293,18.0686,19790308,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.641845703125
1475,Stockholm,59.3293,18.0686,19790309,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.25927734375
1497,Stockholm,59.3293,18.0686,19790310,1200,2 metre temperature,2t,9.6365,59.25,18.0,274.5419921875
1519,Stockholm,59.3293,18.0686,19790311,1200,2 metre temperature,2t,9.6365,59.25,18.0,275.254150390625
1541,Stockholm,59.3293,18.0686,19790312,1200,2 metre temperature,2t,9.6365,59.25,18.0,274.322998046875
1563,Stockholm,59.3293,18.0686,19790313,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.49365234375
1585,Stockholm,59.3293,18.0686,19790314,1200,2 metre temperature,2t,9.6365,59.25,18.0,272.6025390625
1607,Stockholm,59.3293,18.0686,19790315,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.150146484375
1629,Stockholm,59.3293,18.0686,19790316,1200,2 metre temperature,2t,9.6365,59.25,18.0,270.175537109375
1651,Stockholm,59.3293,18.0686,19790317,1200,2 metre temperature,2t,9.6365,59.25,18.0,265.235595703125
1673,Stockholm,59.3293,18.0686,19790318,1200,2 metre temperature,2t,9.6365,59.25,18.0,266.672607421875
1695,Stockholm,59.3293,18.0686,19790319,1200,2 metre temperature,2t,9.6365,59.25,18.0,269.2080078125
1717,Stockholm,59.3293,18.0686,19790320,1200,2 metre temperature,2t,9.6365,59.25,18.0,274.143798828125
1739,Stockholm,59.3293,18.0686,19790321,1200,2 metre temperature,2t,9.6365,59.25,18.0,273.900146484375
1761,Stockholm,59.3293,18.0686,19790322,1200,2 metre temperature,2t,9.6365,59.25,18.0,275.395263671875
1783,Stockholm,59.3293,18.0686,19790323,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.070556640625
1805,Stockholm,59.3293,18.0686,19790324,1200,2 metre temperature,2t,9.6365,59.25,18.0,276.28466796875
1827,Stockholm,59.3293,18.0686,19790325,1200,2 metre temperature,2t,9.6365,59.25,18.0,278.52978515625
1849,Stockholm,59.3293,18.0686,19790326,1200,2 metre temperature,2t,9.6365,59.25,18.0,275.012939453125
1871,Stockholm,59.3293,18.0686,19790327,1200,2 metre temperature,2t,9.6365,59.25,18.0,277.54296875
