,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
10,Tirana,41.3275,19.8187,19790101,1200,2 metre temperature,2t,27.9734,41.25,19.5,286.97381591796875
32,Tirana,41.3275,19.8187,19790102,1200,2 metre temperature,2t,27.9734,41.25,19.5,277.3148956298828
54,Tirana,41.3275,19.8187,19790103,1200,2 metre temperature,2t,27.9734,41.25,19.5,269.46450805664057
76,Tirana,41.3275,19.8187,19790104,1200,2 metre temperature,2t,27.9734,41.25,19.5,273.51678466796875
98,Tirana,41.3275,19.8187,19790105,1200,2 metre temperature,2t,27.9734,41.25,19.5,280.84994506835943
120,Tirana,41.3275,19.8187,19790106,1200,2 metre temperature,2t,27.9734,41.25,19.5,276.2871856689453
142,Tirana,41.3275,19.8187,19790107,1200,2 metre temperature,2t,27.9734,41.25,19.5,276.135009765625
164,Tirana,41.3275,19.8187,19790108,1200,2 metre temperature,2t,27.9734,41.25,19.5,276.209228515625
186,Tirana,41.3275,19.8187,19790109,1200,2 metre temperature,2t,27.9734,41.25,19.5,279.31005859375
208,Tirana,41.3275,19.8187,19790110,1200,2 metre temperature,2t,27.9734,41.25,19.5,283.25341796875
230,Tirana,41.3275,19.8187,19790111,1200,2 metre temperature,2t,27.9734,41.25,19.5,283.9165344238281
252,Tirana,41.3275,19.8187,19790112,1200,2 metre temperature,2t,27.9734,41.25,19.5,280.801025390625
274,Tirana,41.3275,19.8187,19790113,1200,2 metre temperature,2t,27.9734,41.25,19.5,278.057373046875
296,Tirana,41.3275,19.8187,19790114,1200,2 metre temperature,2t,27.9734,41.25,19.5,277.36669921875
318,Tirana,41.3275,19.8187,19790115,1200,2 metre temperature,2t,27.9734,41.25,19.5,276.56265258789057
340,Tirana,41.3275,19.8187,19790116,1200,2 metre temperature,2t,27.9734,41.25,19.5,275.726318359375
362,Tirana,41.3275,19.8187,19790117,1200,2 metre temperature,2t,27.9734,41.25,19.5,275.882080078125
384,Tirana,41.3275,19.8187,19790118,1200,2 metre temperature,2t,27.9734,41.25,19.5,277.0595703125
406,Tirana,41.3275,19.8187,19790119,1200,2 metre temperature,2t,27.9734,41.25,19.5,277.16650390625
428,Tirana,41.3275,19.8187,19790120,1200,2 metre temperature,2t,27.9734,41.25,19.5,278.8134765625
450,Tirana,41.3275,19.8187,19790121,1200,2 metre temperature,2t,27.9734,41.25,19.5,278.82745361328125
472,Tirana,41.3275,19.8187,19790122,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.02294921875
494,Tirana,41.3275,19.8187,19790123,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.80223083496094
516,Tirana,41.3275,19.8187,19790124,1200,2 metre temperature,2t,27.9734,41.25,19.5,283.15782165527344
538,Tirana,41.3275,19.8187,19790125,1200,2 metre temperature,2t,27.9734,41.25,19.5,285.42930603027344
560,Tirana,41.3275,19.8187,19790126,1200,2 metre temperature,2t,27.9734,41.25,19.5,286.32383728027344
582,Tirana,41.3275,19.8187,19790127,1200,2 metre temperature,2t,27.9734,41.25,19.5,285.4121551513672
604,Tirana,41.3275,19.8187,19790128,1200,2 metre temperature,2t,27.9734,41.25,19.5,288.21177673339844
626,Tirana,41.3275,19.8187,19790129,1200,2 metre temperature,2t,27.9734,41.25,19.5,288.6493225097656
648,Tirana,41.3275,19.8187,19790130,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.4659118652344
670,Tirana,41.3275,19.8187,19790131,1200,2 metre temperature,2t,27.9734,41.25,19.5,281.93458557128906
692,Tirana,41.3275,19.8187,19790201,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.14056396484375
714,Tirana,41.3275,19.8187,19790202,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.71240234375
736,Tirana,41.3275,19.8187,19790203,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.3359375
758,Tirana,41.3275,19.8187,19790204,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.0935974121094
780,Tirana,41.3275,19.8187,19790205,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.8990631103516
802,Tirana,41.3275,19.8187,19790206,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.4428405761719
824,Tirana,41.3275,19.8187,19790207,1200,2 metre temperature,2t,27.9734,41.25,19.5,283.238525390625
846,Tirana,41.3275,19.8187,19790208,1200,2 metre temperature,2t,27.9734,41.25,19.5,280.336669921875
868,Tirana,41.3275,19.8187,19790209,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.663330078125
890,Tirana,41.3275,19.8187,19790210,1200,2 metre temperature,2t,27.9734,41.25,19.5,289.5249938964844
912,Tirana,41.3275,19.8187,19790211,1200,2 metre temperature,2t,27.9734,41.25,19.5,290.6691436767578
934,Tirana,41.3275,19.8187,19790212,1200,2 metre temperature,2t,27.9734,41.25,19.5,294.3834381103516
956,Tirana,41.3275,19.8187,19790213,1200,2 metre temperature,2t,27.9734,41.25,19.5,286.6711730957031
978,Tirana,41.3275,19.8187,19790214,1200,2 metre temperature,2t,27.9734,41.25,19.5,286.51609802246094
1000,Tirana,41.3275,19.8187,19790215,1200,2 metre temperature,2t,27.9734,41.25,19.5,286.4764862060547
1022,Tirana,41.3275,19.8187,19790216,1200,2 metre temperature,2t,27.9734,41.25,19.5,290.44580078125
1044,Tirana,41.3275,19.8187,19790217,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.296142578125
1066,Tirana,41.3275,19.8187,19790218,1200,2 metre temperature,2t,27.9734,41.25,19.5,285.767333984375
1088,Tirana,41.3275,19.8187,19790219,1200,2 metre temperature,2t,27.9734,41.25,19.5,284.828125
1110,Tirana,41.3275,19.8187,19790220,1200,2 metre temperature,2t,27.9734,41.25,19.5,281.439697265625
1132,Tirana,41.3275,19.8187,19790221,1200,2 metre temperature,2t,27.9734,41.25,19.5,279.627685546875
1154,Tirana,41.3275,19.8187,19790222,1200,2 metre temperature,2t,27.9734,41.25,19.5,280.00537109375
1176,Tirana,41.3275,19.8187,19790223,1200,2 metre temperature,2t,27.9734,41.25,19.5,281.177734375
1198,Tirana,41.3275,19.8187,19790224,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.37548828125
1220,Tirana,41.3275,19.8187,19790225,1200,2 metre temperature,2t,27.9734,41.25,19.5,282.701904296875
1242,Tirana,41.3275,19.8187,19790226,1200,2 metre temperature,2t,27.9734,41.25,19.5,281.39990234375
1264,Tirana,41.3275,19.8187,19790227,1200,2 metre temperature,2t,27.9734,41.25,19.5,281.19482421875
1286,Tirana,41.3275,19.8187,19790228,1200,2 metre temperature,2t,27.9734,41.25,19.5,278.873046875
1308,Tirana,41.3275,19.8187,19790301,1200,2 metre temperature,2t,27.9734,41.25,19.5,283.435302734375
1330,Tirana,41.3275,19.8187,19790302,1200,2 metre temperature,2t,27.9734,41.25,19.5,287.621337890625
