,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
3,Toronto,43.6532,-79.3832,19790101,1200,2 metre temperature,2t,19.4531,43.5,280.5,276.8887481689453
8,Toronto,43.6532,-79.3832,19790102,1200,2 metre temperature,2t,19.4531,43.5,280.5,267.8927459716797
13,Toronto,43.6532,-79.3832,19790103,1200,2 metre temperature,2t,19.4531,43.5,280.5,256.27578735351557
18,Toronto,43.6532,-79.3832,19790104,1200,2 metre temperature,2t,19.4531,43.5,280.5,261.1415863037109
23,Toronto,43.6532,-79.3832,19790105,1200,2 metre temperature,2t,19.4531,43.5,280.5,257.7077178955078
28,Toronto,43.6532,-79.3832,19790106,1200,2 metre temperature,2t,19.4531,43.5,280.5,259.894775390625
33,Toronto,43.6532,-79.3832,19790107,1200,2 metre temperature,2t,19.4531,43.5,280.5,262.1798095703125
38,Toronto,43.6532,-79.3832,19790108,1200,2 metre temperature,2t,19.4531,43.5,280.5,265.01031494140625
43,Toronto,43.6532,-79.3832,19790109,1200,2 metre temperature,2t,19.4531,43.5,280.5,259.44119262695307
48,Toronto,43.6532,-79.3832,19790110,1200,2 metre temperature,2t,19.4531,43.5,280.5,261.00930786132807
53,Toronto,43.6532,-79.3832,19790111,1200,2 metre temperature,2t,19.4531,43.5,280.5,253.710205078125
58,Toronto,43.6532,-79.3832,19790112,1200,2 metre temperature,2t,19.4531,43.5,280.5,255.952392578125
63,Toronto,43.6532,-79.3832,19790113,1200,2 metre temperature,2t,19.4531,43.5,280.5,266.58041381835943
68,Toronto,43.6532,-79.3832,19790114,1200,2 metre temperature,2t,19.4531,43.5,280.5,275.2349090576172
73,Toronto,43.6532,-79.3832,19790115,1200,2 metre temperature,2t,19.4531,43.5,280.5,258.9498748779297
78,Toronto,43.6532,-79.3832,19790116,1200,2 metre temperature,2t,19.4531,43.5,280.5,261.93002319335943
83,Toronto,43.6532,-79.3832,19790117,1200,2 metre temperature,2t,19.4531,43.5,280.5,264.100341796875
88,Toronto,43.6532,-79.3832,19790118,1200,2 metre temperature,2t,19.4531,43.5,280.5,259.6652984619141
93,Toronto,43.6532,-79.3832,19790119,1200,2 metre temperature,2t,19.4531,43.5,280.5,252.5982666015625
98,Toronto,43.6532,-79.3832,19790120,1200,2 metre temperature,2t,19.4531,43.5,280.5,265.83306884765625
103,Toronto,43.6532,-79.3832,19790121,1200,2 metre temperature,2t,19.4531,43.5,280.5,268.92413330078125
108,Toronto,43.6532,-79.3832,19790122,1200,2 metre temperature,2t,19.4531,43.5,280.5,269.36325073242193
113,Toronto,43.6532,-79.3832,19790123,1200,2 metre temperature,2t,19.4531,43.5,280.5,268.27264404296875
118,Toronto,43.6532,-79.3832,19790124,1200,2 metre temperature,2t,19.4531,43.5,280.5,269.80508422851557
123,Toronto,43.6532,-79.3832,19790125,1200,2 metre temperature,2t,19.4531,43.5,280.5,272.7885589599609
128,Toronto,43.6532,-79.3832,19790126,1200,2 metre temperature,2t,19.4531,43.5,280.5,273.5653839111328
133,Toronto,43.6532,-79.3832,19790127,1200,2 metre temperature,2t,19.4531,43.5,280.5,272.81805419921875
138,Toronto,43.6532,-79.3832,19790128,1200,2 metre temperature,2t,19.4531,43.5,280.5,272.6408233642578
143,Toronto,43.6532,-79.3832,19790129,1200,2 metre temperature,2t,19.4531,43.5,280.5,269.3112335205078
148,Toronto,43.6532,-79.3832,19790130,1200,2 metre temperature,2t,19.4531,43.5,280.5,267.439453125
153,Toronto,43.6532,-79.3832,19790131,1200,2 metre temperature,2t,19.4531,43.5,280.5,264.3444061279297
158,Toronto,43.6532,-79.3832,19790201,1200,2 metre temperature,2t,19.4531,43.5,280.5,261.3710174560547
163,Toronto,43.6532,-79.3832,19790202,1200,2 metre temperature,2t,19.4531,43.5,280.5,259.6444854736328
168,Toronto,43.6532,-79.3832,19790203,1200,2 metre temperature,2t,19.4531,43.5,280.5,257.62075805664057
173,Toronto,43.6532,-79.3832,19790204,1200,2 metre temperature,2t,19.4531,43.5,280.5,267.60202026367193
