,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
15,Tunis,36.8065,10.1815,19790101,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.72967529296875
37,Tunis,36.8065,10.1815,19790102,1200,2 metre temperature,2t,29.0348,36.75,10.5,284.4398956298828
59,Tunis,36.8065,10.1815,19790103,1200,2 metre temperature,2t,29.0348,36.75,10.5,283.3385314941406
81,Tunis,36.8065,10.1815,19790104,1200,2 metre temperature,2t,29.0348,36.75,10.5,287.30780029296875
103,Tunis,36.8065,10.1815,19790105,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.3401794433594
125,Tunis,36.8065,10.1815,19790106,1200,2 metre temperature,2t,29.0348,36.75,10.5,293.3291778564453
147,Tunis,36.8065,10.1815,19790107,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.434814453125
169,Tunis,36.8065,10.1815,19790108,1200,2 metre temperature,2t,29.0348,36.75,10.5,288.150634765625
191,Tunis,36.8065,10.1815,19790109,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.44970703125
213,Tunis,36.8065,10.1815,19790110,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.56005859375
235,Tunis,36.8065,10.1815,19790111,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.4770812988281
257,Tunis,36.8065,10.1815,19790112,1200,2 metre temperature,2t,29.0348,36.75,10.5,287.047119140625
279,Tunis,36.8065,10.1815,19790113,1200,2 metre temperature,2t,29.0348,36.75,10.5,286.078857421875
301,Tunis,36.8065,10.1815,19790114,1200,2 metre temperature,2t,29.0348,36.75,10.5,285.12841796875
323,Tunis,36.8065,10.1815,19790115,1200,2 metre temperature,2t,29.0348,36.75,10.5,284.2149963378906
345,Tunis,36.8065,10.1815,19790116,1200,2 metre temperature,2t,29.0348,36.75,10.5,282.775146484375
367,Tunis,36.8065,10.1815,19790117,1200,2 metre temperature,2t,29.0348,36.75,10.5,283.019775390625
389,Tunis,36.8065,10.1815,19790118,1200,2 metre temperature,2t,29.0348,36.75,10.5,284.6904296875
411,Tunis,36.8065,10.1815,19790119,1200,2 metre temperature,2t,29.0348,36.75,10.5,288.34033203125
433,Tunis,36.8065,10.1815,19790120,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.400390625
455,Tunis,36.8065,10.1815,19790121,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.84796142578125
477,Tunis,36.8065,10.1815,19790122,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.66455078125
499,Tunis,36.8065,10.1815,19790123,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.62742614746094
521,Tunis,36.8065,10.1815,19790124,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.08360290527344
543,Tunis,36.8065,10.1815,19790125,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.78184509277344
565,Tunis,36.8065,10.1815,19790126,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.95274353027344
587,Tunis,36.8065,10.1815,19790127,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.8125457763672
609,Tunis,36.8065,10.1815,19790128,1200,2 metre temperature,2t,29.0348,36.75,10.5,294.53404235839844
631,Tunis,36.8065,10.1815,19790129,1200,2 metre temperature,2t,29.0348,36.75,10.5,288.2635803222656
653,Tunis,36.8065,10.1815,19790130,1200,2 metre temperature,2t,29.0348,36.75,10.5,287.7705993652344
675,Tunis,36.8065,10.1815,19790131,1200,2 metre temperature,2t,29.0348,36.75,10.5,286.92091369628906
697,Tunis,36.8065,10.1815,19790201,1200,2 metre temperature,2t,29.0348,36.75,10.5,286.35443115234375
719,Tunis,36.8065,10.1815,19790202,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.52880859375
741,Tunis,36.8065,10.1815,19790203,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.236328125
763,Tunis,36.8065,10.1815,19790204,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.8943786621094
785,Tunis,36.8065,10.1815,19790205,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.6334381103516
807,Tunis,36.8065,10.1815,19790206,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.5160827636719
829,Tunis,36.8065,10.1815,19790207,1200,2 metre temperature,2t,29.0348,36.75,10.5,291.525634765625
851,Tunis,36.8065,10.1815,19790208,1200,2 metre temperature,2t,29.0348,36.75,10.5,290.724365234375
873,Tunis,36.8065,10.1815,19790209,1200,2 metre temperature,2t,29.0348,36.75,10.5,293.749267578125
895,Tunis,36.8065,10.1815,19790210,1200,2 metre temperature,2t,29.0348,36.75,10.5,295.4283142089844
917,Tunis,36.8065,10.1815,19790211,1200,2 metre temperature,2t,29.0348,36.75,10.5,295.0656280517578
939,Tunis,36.8065,10.1815,19790212,1200,2 metre temperature,2t,29.0348,36.75,10.5,288.0094146728516
961,Tunis,36.8065,10.1815,19790213,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.4602355957031
983,Tunis,36.8065,10.1815,19790214,1200,2 metre temperature,2t,29.0348,36.75,10.5,289.05516052246094
1005,Tunis,36.8065,10.1815,19790215,1200,2 metre temperature,2t,29.0348,36.75,10.5,288.9940643310547
1027,Tunis,36.8065,10.1815,19790216,1200,2 metre temperature,2t,29.0348,36.75,10.5,285.10009765625
1049,Tunis,36.8065,10.1815,19790217,1200,2 metre temperature,2t,29.0348,36.75,10.5,284.789306640625
1071,Tunis,36.8065,10.1815,19790218,1200,2 metre temperature,2t,29.0348,36.75,10.5,284.334716796875
1093,Tunis,36.8065,10.1815,19790219,1200,2 metre temperature,2t,29.0348,36.75,10.5,287.1708984375
1115,Tunis,36.8065,10.1815,19790220,1200,2 metre temperature,2t,29.0348,36.75,10.5,286.145751953125
