,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
2,Vienna,48.2082,16.3738,19790101,1200,2 metre temperature,2t,24.9584,48.0,16.5,268.2967071533203
6,Vienna,48.2082,16.3738,19790102,1200,2 metre temperature,2t,24.9584,48.0,16.5,266.4036102294922
10,Vienna,48.2082,16.3738,19790103,1200,2 metre temperature,2t,24.9584,48.0,16.5,267.2136383056641
14,Vienna,48.2082,16.3738,19790104,1200,2 metre temperature,2t,24.9584,48.0,16.5,268.1278686523437
18,Vienna,48.2082,16.3738,19790105,1200,2 metre temperature,2t,24.9584,48.0,16.5,266.739013671875
22,Vienna,48.2082,16.3738,19790106,1200,2 metre temperature,2t,24.9584,48.0,16.5,265.672119140625
26,Vienna,48.2082,16.3738,19790107,1200,2 metre temperature,2t,24.9584,48.0,16.5,267.047119140625
30,Vienna,48.2082,16.3738,19790108,1200,2 metre temperature,2t,24.9584,48.0,16.5,269.22021484375
34,Vienna,48.2082,16.3738,19790109,1200,2 metre temperature,2t,24.9584,48.0,16.5,269.681396484375
38,Vienna,48.2082,16.3738,19790110,1200,2 metre temperature,2t,24.9584,48.0,16.5,274.729248046875
42,Vienna,48.2082,16.3738,19790111,1200,2 metre temperature,2t,24.9584,48.0,16.5,273.185546875
46,Vienna,48.2082,16.3738,19790112,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.10302734375
50,Vienna,48.2082,16.3738,19790113,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.154296875
54,Vienna,48.2082,16.3738,19790114,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.82470703125
58,Vienna,48.2082,16.3738,19790115,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.083251953125
62,Vienna,48.2082,16.3738,19790116,1200,2 metre temperature,2t,24.9584,48.0,16.5,271.57470703125
66,Vienna,48.2082,16.3738,19790117,1200,2 metre temperature,2t,24.9584,48.0,16.5,268.302001953125
70,Vienna,48.2082,16.3738,19790118,1200,2 metre temperature,2t,24.9584,48.0,16.5,266.82958984375
74,Vienna,48.2082,16.3738,19790119,1200,2 metre temperature,2t,24.9584,48.0,16.5,266.103271484375
78,Vienna,48.2082,16.3738,19790120,1200,2 metre temperature,2t,24.9584,48.0,16.5,267.369140625
82,Vienna,48.2082,16.3738,19790121,1200,2 metre temperature,2t,24.9584,48.0,16.5,269.629638671875
86,Vienna,48.2082,16.3738,19790122,1200,2 metre temperature,2t,24.9584,48.0,16.5,270.3193359375
90,Vienna,48.2082,16.3738,19790123,1200,2 metre temperature,2t,24.9584,48.0,16.5,271.402099609375
94,Vienna,48.2082,16.3738,19790124,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.265869140625
98,Vienna,48.2082,16.3738,19790125,1200,2 metre temperature,2t,24.9584,48.0,16.5,273.92529296875
102,Vienna,48.2082,16.3738,19790126,1200,2 metre temperature,2t,24.9584,48.0,16.5,273.09130859375
106,Vienna,48.2082,16.3738,19790127,1200,2 metre temperature,2t,24.9584,48.0,16.5,273.1552734375
110,Vienna,48.2082,16.3738,19790128,1200,2 metre temperature,2t,24.9584,48.0,16.5,279.279052734375
114,Vienna,48.2082,16.3738,19790129,1200,2 metre temperature,2t,24.9584,48.0,16.5,275.28271484375
118,Vienna,48.2082,16.3738,19790130,1200,2 metre temperature,2t,24.9584,48.0,16.5,276.5478515625
122,Vienna,48.2082,16.3738,19790131,1200,2 metre temperature,2t,24.9584,48.0,16.5,276.3115234375
126,Vienna,48.2082,16.3738,19790201,1200,2 metre temperature,2t,24.9584,48.0,16.5,276.498779296875
130,Vienna,48.2082,16.3738,19790202,1200,2 metre temperature,2t,24.9584,48.0,16.5,277.090576171875
134,Vienna,48.2082,16.3738,19790203,1200,2 metre temperature,2t,24.9584,48.0,16.5,277.607666015625
138,Vienna,48.2082,16.3738,19790204,1200,2 metre temperature,2t,24.9584,48.0,16.5,277.855224609375
142,Vienna,48.2082,16.3738,19790205,1200,2 metre temperature,2t,24.9584,48.0,16.5,276.5849609375
146,Vienna,48.2082,16.3738,19790206,1200,2 metre temperature,2t,24.9584,48.0,16.5,276.052490234375
150,Vienna,48.2082,16.3738,19790207,1200,2 metre temperature,2t,24.9584,48.0,16.5,273.545654296875
154,Vienna,48.2082,16.3738,19790208,1200,2 metre temperature,2t,24.9584,48.0,16.5,275.692626953125
158,Vienna,48.2082,16.3738,19790209,1200,2 metre temperature,2t,24.9584,48.0,16.5,274.923095703125
162,Vienna,48.2082,16.3738,19790210,1200,2 metre temperature,2t,24.9584,48.0,16.5,272.146240234375
166,Vienna,48.2082,16.3738,19790211,1200,2 metre temperature,2t,24.9584,48.0,16.5,271.283447265625
