,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
12,Warsaw,52.2297,21.0122,19790101,1200,2 metre temperature,2t,30.0535,52.5,21.0,254.84295654296875
34,Warsaw,52.2297,21.0122,19790102,1200,2 metre temperature,2t,30.0535,52.5,21.0,260.5697784423828
56,Warsaw,52.2297,21.0122,19790103,1200,2 metre temperature,2t,30.0535,52.5,21.0,263.92153930664057
78,Warsaw,52.2297,21.0122,19790104,1200,2 metre temperature,2t,30.0535,52.5,21.0,255.40936279296875
100,Warsaw,52.2297,21.0122,19790105,1200,2 metre temperature,2t,30.0535,52.5,21.0,263.69174194335943
122,Warsaw,52.2297,21.0122,19790106,1200,2 metre temperature,2t,30.0535,52.5,21.0,265.4287872314453
144,Warsaw,52.2297,21.0122,19790107,1200,2 metre temperature,2t,30.0535,52.5,21.0,261.471923828125
166,Warsaw,52.2297,21.0122,19790108,1200,2 metre temperature,2t,30.0535,52.5,21.0,271.315673828125
188,Warsaw,52.2297,21.0122,19790109,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.16455078125
210,Warsaw,52.2297,21.0122,19790110,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.55810546875
232,Warsaw,52.2297,21.0122,19790111,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.48196411132807
254,Warsaw,52.2297,21.0122,19790112,1200,2 metre temperature,2t,30.0535,52.5,21.0,271.843994140625
276,Warsaw,52.2297,21.0122,19790113,1200,2 metre temperature,2t,30.0535,52.5,21.0,266.514404296875
298,Warsaw,52.2297,21.0122,19790114,1200,2 metre temperature,2t,30.0535,52.5,21.0,267.79638671875
320,Warsaw,52.2297,21.0122,19790115,1200,2 metre temperature,2t,30.0535,52.5,21.0,271.50308227539057
342,Warsaw,52.2297,21.0122,19790116,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.909912109375
364,Warsaw,52.2297,21.0122,19790117,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.264892578125
386,Warsaw,52.2297,21.0122,19790118,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.65234375
408,Warsaw,52.2297,21.0122,19790119,1200,2 metre temperature,2t,30.0535,52.5,21.0,267.16259765625
430,Warsaw,52.2297,21.0122,19790120,1200,2 metre temperature,2t,30.0535,52.5,21.0,266.15234375
452,Warsaw,52.2297,21.0122,19790121,1200,2 metre temperature,2t,30.0535,52.5,21.0,262.06182861328125
474,Warsaw,52.2297,21.0122,19790122,1200,2 metre temperature,2t,30.0535,52.5,21.0,263.82275390625
496,Warsaw,52.2297,21.0122,19790123,1200,2 metre temperature,2t,30.0535,52.5,21.0,265.0336761474609
518,Warsaw,52.2297,21.0122,19790124,1200,2 metre temperature,2t,30.0535,52.5,21.0,271.97325134277344
540,Warsaw,52.2297,21.0122,19790125,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.80430603027344
562,Warsaw,52.2297,21.0122,19790126,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.85313415527344
584,Warsaw,52.2297,21.0122,19790127,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.2012176513672
606,Warsaw,52.2297,21.0122,19790128,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.70591735839844
628,Warsaw,52.2297,21.0122,19790129,1200,2 metre temperature,2t,30.0535,52.5,21.0,270.74014282226557
650,Warsaw,52.2297,21.0122,19790130,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.29696655273443
672,Warsaw,52.2297,21.0122,19790131,1200,2 metre temperature,2t,30.0535,52.5,21.0,270.092788696289
694,Warsaw,52.2297,21.0122,19790201,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.3954467773437
716,Warsaw,52.2297,21.0122,19790202,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.87060546875
738,Warsaw,52.2297,21.0122,19790203,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.4794921875
760,Warsaw,52.2297,21.0122,19790204,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.15609741210943
782,Warsaw,52.2297,21.0122,19790205,1200,2 metre temperature,2t,30.0535,52.5,21.0,270.6939849853516
804,Warsaw,52.2297,21.0122,19790206,1200,2 metre temperature,2t,30.0535,52.5,21.0,266.98971557617193
826,Warsaw,52.2297,21.0122,19790207,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.837158203125
848,Warsaw,52.2297,21.0122,19790208,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.809326171875
870,Warsaw,52.2297,21.0122,19790209,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.765869140625
892,Warsaw,52.2297,21.0122,19790210,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.20468139648443
914,Warsaw,52.2297,21.0122,19790211,1200,2 metre temperature,2t,30.0535,52.5,21.0,268.5890655517578
936,Warsaw,52.2297,21.0122,19790212,1200,2 metre temperature,2t,30.0535,52.5,21.0,268.6432037353516
958,Warsaw,52.2297,21.0122,19790213,1200,2 metre temperature,2t,30.0535,52.5,21.0,268.80984497070307
980,Warsaw,52.2297,21.0122,19790214,1200,2 metre temperature,2t,30.0535,52.5,21.0,264.0746917724609
1002,Warsaw,52.2297,21.0122,19790215,1200,2 metre temperature,2t,30.0535,52.5,21.0,264.1561737060547
1024,Warsaw,52.2297,21.0122,19790216,1200,2 metre temperature,2t,30.0535,52.5,21.0,260.47119140625
1046,Warsaw,52.2297,21.0122,19790217,1200,2 metre temperature,2t,30.0535,52.5,21.0,263.992431640625
1068,Warsaw,52.2297,21.0122,19790218,1200,2 metre temperature,2t,30.0535,52.5,21.0,268.819091796875
1090,Warsaw,52.2297,21.0122,19790219,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.279296875
1112,Warsaw,52.2297,21.0122,19790220,1200,2 metre temperature,2t,30.0535,52.5,21.0,268.395751953125
1134,Warsaw,52.2297,21.0122,19790221,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.119873046875
1156,Warsaw,52.2297,21.0122,19790222,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.14404296875
1178,Warsaw,52.2297,21.0122,19790223,1200,2 metre temperature,2t,30.0535,52.5,21.0,270.19140625
1200,Warsaw,52.2297,21.0122,19790224,1200,2 metre temperature,2t,30.0535,52.5,21.0,267.52392578125
1222,Warsaw,52.2297,21.0122,19790225,1200,2 metre temperature,2t,30.0535,52.5,21.0,269.781005859375
1244,Warsaw,52.2297,21.0122,19790226,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.01318359375
1266,Warsaw,52.2297,21.0122,19790227,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.67822265625
1288,Warsaw,52.2297,21.0122,19790228,1200,2 metre temperature,2t,30.0535,52.5,21.0,275.3994140625
1310,Warsaw,52.2297,21.0122,19790301,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.560302734375
1332,Warsaw,52.2297,21.0122,19790302,1200,2 metre temperature,2t,30.0535,52.5,21.0,277.089111328125
1354,Warsaw,52.2297,21.0122,19790303,1200,2 metre temperature,2t,30.0535,52.5,21.0,277.14111328125
1376,Warsaw,52.2297,21.0122,19790304,1200,2 metre temperature,2t,30.0535,52.5,21.0,277.963134765625
1398,Warsaw,52.2297,21.0122,19790305,1200,2 metre temperature,2t,30.0535,52.5,21.0,275.54296875
1420,Warsaw,52.2297,21.0122,19790306,1200,2 metre temperature,2t,30.0535,52.5,21.0,272.74169921875
1442,Warsaw,52.2297,21.0122,19790307,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.5087890625
1464,Warsaw,52.2297,21.0122,19790308,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.380126953125
1486,Warsaw,52.2297,21.0122,19790309,1200,2 metre temperature,2t,30.0535,52.5,21.0,276.25537109375
1508,Warsaw,52.2297,21.0122,19790310,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.3369140625
1530,Warsaw,52.2297,21.0122,19790311,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.541259765625
1552,Warsaw,52.2297,21.0122,19790312,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.175537109375
1574,Warsaw,52.2297,21.0122,19790313,1200,2 metre temperature,2t,30.0535,52.5,21.0,277.21728515625
1596,Warsaw,52.2297,21.0122,19790314,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.5263671875
1618,Warsaw,52.2297,21.0122,19790315,1200,2 metre temperature,2t,30.0535,52.5,21.0,274.487060546875
1640,Warsaw,52.2297,21.0122,19790316,1200,2 metre temperature,2t,30.0535,52.5,21.0,273.669677734375
1662,Warsaw,52.2297,21.0122,19790317,1200,2 metre temperature,2t,30.0535,52.5,21.0,275.677001953125
1684,Warsaw,52.2297,21.0122,19790318,1200,2 metre temperature,2t,30.0535,52.5,21.0,267.197021484375
1706,Warsaw,52.2297,21.0122,19790319,1200,2 metre temperature,2t,30.0535,52.5,21.0,270.736328125
