,CityName,Latitude,Longitude,Date,Time,Parameter Name,Short Name,Distance to MetPoint,Latitude of MetPoint,Longitude of MetPoint,Value at MetPoint
3,Zürich,47.3769,8.5417,19790101,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,263.0691680908203
7,Zürich,47.3769,8.5417,19790102,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,262.1057586669922
11,Zürich,47.3769,8.5417,19790103,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,265.9958648681641
15,Zürich,47.3769,8.5417,19790104,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,265.6591186523437
19,Zürich,47.3769,8.5417,19790105,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,266.429931640625
23,Zürich,47.3769,8.5417,19790106,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,268.789306640625
27,Zürich,47.3769,8.5417,19790107,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,270.776611328125
31,Zürich,47.3769,8.5417,19790108,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.935546875
35,Zürich,47.3769,8.5417,19790109,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.145263671875
39,Zürich,47.3769,8.5417,19790110,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.115478515625
43,Zürich,47.3769,8.5417,19790111,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.44189453125
47,Zürich,47.3769,8.5417,19790112,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,270.7333984375
51,Zürich,47.3769,8.5417,19790113,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,269.68115234375
55,Zürich,47.3769,8.5417,19790114,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,267.92578125
59,Zürich,47.3769,8.5417,19790115,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,267.393310546875
63,Zürich,47.3769,8.5417,19790116,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,264.85986328125
67,Zürich,47.3769,8.5417,19790117,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,267.596435546875
71,Zürich,47.3769,8.5417,19790118,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,267.912109375
75,Zürich,47.3769,8.5417,19790119,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,270.663330078125
79,Zürich,47.3769,8.5417,19790120,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.19189453125
83,Zürich,47.3769,8.5417,19790121,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.829833984375
87,Zürich,47.3769,8.5417,19790122,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,275.818359375
91,Zürich,47.3769,8.5417,19790123,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,275.270751953125
95,Zürich,47.3769,8.5417,19790124,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.963134765625
99,Zürich,47.3769,8.5417,19790125,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.40283203125
103,Zürich,47.3769,8.5417,19790126,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.73681640625
107,Zürich,47.3769,8.5417,19790127,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.89306640625
111,Zürich,47.3769,8.5417,19790128,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.385986328125
115,Zürich,47.3769,8.5417,19790129,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.59765625
119,Zürich,47.3769,8.5417,19790130,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.38818359375
123,Zürich,47.3769,8.5417,19790131,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.9599609375
127,Zürich,47.3769,8.5417,19790201,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.883056640625
131,Zürich,47.3769,8.5417,19790202,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,277.855224609375
135,Zürich,47.3769,8.5417,19790203,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,276.583740234375
139,Zürich,47.3769,8.5417,19790204,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,276.621337890625
143,Zürich,47.3769,8.5417,19790205,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,276.64111328125
147,Zürich,47.3769,8.5417,19790206,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.481689453125
151,Zürich,47.3769,8.5417,19790207,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,275.958251953125
155,Zürich,47.3769,8.5417,19790208,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,277.048095703125
159,Zürich,47.3769,8.5417,19790209,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,277.290283203125
163,Zürich,47.3769,8.5417,19790210,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.991943359375
167,Zürich,47.3769,8.5417,19790211,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,277.034423828125
171,Zürich,47.3769,8.5417,19790212,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,279.232421875
175,Zürich,47.3769,8.5417,19790213,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,280.312744140625
179,Zürich,47.3769,8.5417,19790214,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,279.727783203125
183,Zürich,47.3769,8.5417,19790215,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,278.51791381835943
187,Zürich,47.3769,8.5417,19790216,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.22314453125
191,Zürich,47.3769,8.5417,19790217,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.7822265625
195,Zürich,47.3769,8.5417,19790218,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.13818359375
199,Zürich,47.3769,8.5417,19790219,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.123291015625
203,Zürich,47.3769,8.5417,19790220,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.686279296875
207,Zürich,47.3769,8.5417,19790221,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,275.64306640625
211,Zürich,47.3769,8.5417,19790222,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.8671875
215,Zürich,47.3769,8.5417,19790223,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.08251953125
219,Zürich,47.3769,8.5417,19790224,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.9375
223,Zürich,47.3769,8.5417,19790225,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.3828125
227,Zürich,47.3769,8.5417,19790226,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,271.62255859375
231,Zürich,47.3769,8.5417,19790227,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,272.8388671875
235,Zürich,47.3769,8.5417,19790228,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,274.750732421875
239,Zürich,47.3769,8.5417,19790301,1200,2 metre temperature,2t,26.113000000000003,47.25,8.25,273.890625
